candidate,constituency_count
ASOKE KUMAR PATRA,1
ASTAMI ROY,1
ASTAM MAL,1
ASTIKMONI MALICK,1
ATANU DAS,1
ATANU HALDER,1
ATANU MAJI,1
ATASI PAKREY,1
ATAUR RAHAMAN,1
ATIN GHOSH,1
A.T.M. MODABBAR HOSSAIN,1
ATRASTA NATH,1
AVHIJIT MUKHERJEE,1
AVIJIT BASKEY,1
AVIJIT DAS,1
AVIJIT DE BHOWMIK,1
AVIJIT PODDER,1
AVIJIT ROY,1
AVIK BASU THAKUR,1
AVISEK DAS,1
AVISHEK CHAKRABORTY,1
AVISHEK ROY,1
AVOYANANDA MUKHOPADHYAY,1
AYAN CHAKRABORTY,1
AYASANUL HAQUE SK.,1
AYESHA SIDDIQUA,1
AYNUL AREFIN(RAJU AHMED),1
AYUB KHAN,1
AZAD MINHAJUL ARFIN,1
AZAD SAIF,1
AZFAR ALI KHAN,1
AZHERUDDIN MD (SIZAR),1
AZIZUR RAHMAN,1
AZMERUL SK,1
BABAN GHOSH,1
BABAR ALI,1
BABAR ALI,1
BABITA BARA TIRKEY,1
BABLU HALDAR,1
BABLU SARKAR,1
BABLUZZAMAN MD,1
BABULAL HASDA,1
BADAN GHOSH,1
BADIRUL ISLAM,1
BAG HEMANTA,1
BAG MITA,1
BAHAMONI HANSDA,1
BAISAKHI MALIK,1
BAISHAKHI RAVA ROY,1
BALIRAM GOND,1
BANCHHARAM MAL,1
BANDANA RAI,1
BANDYOPADHYAY NAYNA,1
BANERJEE SANDIP,1
BANKA CHAND MANDI,1
BANKIM CHANDRA GHOSH,1
BANKIM CHANDRA HAZRA,1
BANKIM CHANDRA TOPPO,1
BANTI RAJAK,1
BAPAN GHOSH,1
BAPI BAGANI,1
BAPI ROY,1
BAPI SK,1
BAPI SOREN,1
BAPPAI HORO,1
BAPPA SK,1
BAPTU,1
BAREN BHUIN,1
BARNALI BISWAS,1
BARNALI DAS,1
BARNALI DEY ROY,1
BARNALI DHALI NASKAR,1
BARNALI DHARA,1
BARNALI GHOSH,1
BARNALI MONDAL,1
BARSHA MAHAPATRA,1
BARUNA DAS,1
BARUN KUMAR MALIK,1
BARUN MANDAL,1
BARUN PATRA,1
BASANTI BAG(MAJHI),1
BASIRUJJAMAN KAYAL,1
BASUDEB DEBSHARMA,1
BASUDEB DINDA,1
BASUDEB KABRI,1
BASUDEB PAN,1
BASUDEB SARKAR,1
BASUDEV MURMU,1
BAURI SULEKHA,1
BAYRON BISWAS,1
BECHARAM DAS,1
BECHARAM MANNA,1
BECHURAM MALICK,1
BEDODYUTI ROY,1
BEDORA BIBI,1
BEGAM SAHANAJ,1
BHABADEB BISWAS,1
BHABANI CHARAN ACHARYA,1
BHABANI PRASAD MONDAL,1
BHABATARAN SAHOO,1
BHADRA HEMRAM,1
BHAKTA PRASAD SAHA,1
BHARAT KUMAR CHETRI,1
BHARAT KUMAR JHAWAR,1
BHARATRAM TEWARI,1
BHASKAR BHATTACHARJEE,1
BHASKAR BHATTACHARYA,1
BHASKAR CHANDRA NASKAR,1
BHASKAR DAS,1
BHASKAR JYOTI DUTTA,1
BHASKAR KUMAR MONDAL,1
BHASKAR MANDAL,1
BHASKAR ROY,1
BHASKAR SARKAR,1
BHASWATI GANGOPADHYAY,1
BHERNONE BRITTO LEPCHA,1
BHIM SAREN,1
BHOLANATH MONDAL,1
BHOLANATH MURMMU,1
BHOLANATH PATRA,1
BHOLANATH SARDAR,1
BHOLANATH SARKAR,1
BHOLA SAHA,1
BHUBAN MOHAN SAHA,1
BHUDEB DAS,1
BHUPAL CHANDRA DAS,1
BHUPENDRA NATH HALDER (ARJUN),1
BHUPESH DAS,1
BHUTNATH MALIK,1
BHUTNATH SARDAR,1
BIBEKANANDA SADHU,1
BIBHAS DAKUA,1
BIDESH CHANDRA PAUL,1
BIDESH RANJAN BOSE,1
BIDHAN BARMA,1
BIDHAN CHANDRA MAJHI,1
BIDHAN CHANDRA MALIK,1
BIDHAN GHOSH,1
BIDHAN HALDER,1
BIDHAN UPADHYAY,1
BIDYUT GAYEN,1
BIDYUT KUMAR ROY,1
BIDYUT MONDAL,1
BIJAY KUMAR MANDI,1
BIJAY MAJUMDAR,1
BIJOY BAGDI,1
BIJOY GHORAI,1
BIJOY KRISNA SARDAR,1
BIJOY KUMAR BISWAS,1
BIJOY KUMAR MAJHI,1
BIJOY KUMAR RAI,1
BIJOY MONDAL,1
BIJOY OJHA,1
BIJOY SEKH,1
BIKARNA NASKAR,1
BIKASH BARMAN,1
BIKASH CHANDRA DAS,1
BIKASH CHANDRA DOLUI,1
BIKASH CHANDRA MONDAL,1
BIKASH DAS,1
BIKASH GOLDER,1
BIKASH MONDAL,1
BIKASH NONA,1
BIKASH ORAON,1
BIKASHRANJAN BHATTACHARYA,1
BIKASH SARDAR,1
BIKASH SHARANGI,1
BIKAS MANDAL,1
BILASH SARKAR,1
BILLESWAR SINHA,1
BIMALENDU SHEE,1
BIMALESH KUMAR HELA,1
BIMAL KANTI NASKAR,1
BIMAL KUMAR DAS,1
BIMAL KUMAR MAITY,1
BIMAL MURMU,1
BIMAL PAL,1
BIMAL PORIA (DR.),1
BIMAL ROY,1
BIMAN BANERJEE,1
BIMAN DAS,1
BIMAN GHOSH,1
BIMAN MAHATA,1
BINA MONDAL,1
BINA MONDAL,1
BINAPANI RAY,1
BINAY SINGH,1
BINDU BISWAS,1
BIPAD TARAN DOM,1
BIPLAB BARMAN,1
BIPLAB BISWAS,1
BIPLAB CHANDRA DAS,1
BIPLAB KUMAR MANDAL,1
BIPLAB MAZUMDER,1
BIPLAB MITRA,1
BIPLAB TIKADAR,1
BIPLOB MITRA,1
BIPUL TUDU,1
BIRAJ BISWAS,1
BIRAJ BISWAS,1
BIRAJ SARKAR,1
BIR BAHADUR SINGH,1
BIRBAHA HANSDA,1
BIRENDRA BARA (ORAON),1
BIRENDRANATH PODDER,1
BIRENDRA NATH SINHA,1
BIRJU SHAW,1
BISHAL KUMAR MANDAL,1
BISHAL LAMA,1
BISHNU DAS,1
BISHNU KUMAR SAHU,1
BISHNUPADA BISWAS,1
BISHWAJIT DAS,1
BISWAJIT BAG,1
BISWAJIT BAURI (BAPI),1
BISWAJIT BISWAS,1
BISWAJIT DAS,1
BISWAJIT HALDER,1
BISWAJIT JANA,1
BISWAJIT KHANRA,1
BISWAJIT MAHATO,1
BISWAJIT MAITY,1
BISWAJIT MANDAL,1
BISWAJIT  MONDAL,1
BISWAJIT PANIGRAHI,1
BISWAJIT PAUL,1
BISWAJIT PRAMANIK,1
BISWAJIT ROY,1
BISWAJIT SARKAR,1
BISWAJIT SING,1
BISWANATH BERA,1
BISWANATH BHALLA,1
BISWANATH DAS,1
BISWANATH DEY,1
BITHIKA PANDIT,1
BIVASH DAS,1
BIVASH SINGHA,1
BIVAS SARDAR,1
BOMKESH GHOSH,1
BOTHAM CHOWDHURY,1
BRAJAKISHORE GOSWAMI,1
BRATYABRATA BASU,1
BRIJESH HEMBRAM,1
BRIJ NANDAN PRASAD,1
BUDDHADEB (ALI),1
BUDHRAI TUDU,1
BULA ADHIKARY,1
BULU CHIK BARAIK,1
BURHANUL MUKADDIM (LITON),1
BYAPARI SANJOY,1
CHAINA BISWAS BALA,1
CHALAK SAMIR,1
CHAMPA BIBI,1
CHANCHAL KUMAR MAJHI,1
CHANDANA BAURI,1
CHANDANA SARKAR,1
CHANDAN DEY,1
CHANDAN LOHARA,1
CHANDAN MAITI,1
CHANDAN MANDAL,1
CHANDAN MONDAL,1
CHANDAN ROY,1
CHANDAN SAHA,1
CHANDRA KANTA JAISWAL,1
CHANDRAKANTA ROY,1
CHANDRANATH BANERJEE,1
CHANDRANATH SINHA,1
CHANDRA SEKHAR BANERJEE,1
CHANDRA SEKHAR DEY,1
CHANDRA SHEKHAR CHOWDHURI,1
CHANDRIMA BHATTACHARYA,1
CHAND SARADER,1
CHARLESH KISKU,1
CHATTERJEE RANAJIT,1
CHAYANA KHAN,1
CHHADEK MONDAL,1
CHHAYA GHOSH,1
CHINMOY DEB BARMAN,1
CHINTAMANI BIHA,1
CHIRAN BERA,1
CHIRAN DAS,1
CHITRAJIT ROY,1
CHITTA MUKHERJEE,1
CHITTA RANJAN JANA,1
CHOWDHURI SIDDIQULLAH,1
CHUNARAM SAREN,1
CHUNKU TUDU,1
DADHIRAM RAY,1
DALIM CHANDRA ROY,1
DANA GOSWAMI,1
DANISH AZIZ,1
DASGUPTA SWAPAN,1
DASRATH DAS,1
DAS SAMIRAN,1
DAYA RAM JAISWARA,1
DEBABRATA BALA,1
DEBABRATA BERA,1
DEBABRATA BISWAS,1
DEBABRATA DAS,1
DEBABRATA MAJUMDAR (MALAY),1
DEBABRATA MAJUMDER,1
DEBABRATA MONDAL,1
DEBAJYOTI DAS (SUBHO),1
DEBAJYOTI MAJUMDER,1
DEBAJYOTI SINHA (BABU),1
DEBANGSHU BHATTACHARYA,1
DEBANGSHU PANDA,1
DEBANJAN PODDAR,1
DEBANSHU PURKAIT,1
DEBASHIS BARMAN,1
DEBASHIS CHATTERJEE,1
DEBASHIS DAS,1
DEBASHISH BISWAS,1
DEBASHISH MUKHERJEE,1
DEBASHIS NATH,1
DEBASIS BHUNYA,1
DEBASISH BHADRA,1
DEBASISH BISWAS,1
DEBASISH  CHAKRABORTY(DEBU),1
DEBASISH DHAR,1
DEBASISH GHORUI,1
DEBASISH GHOSH DASTIDAR,1
DEBASISH KUMAR (DEBA),1
DEBASISH MUKHERJEE,1
DEBASISH RAKSHIT,1
DEBASIS OJHA (HAKU DA),1
DEBASRI SAHU,1
DEBDAS MONDAL,1
DEBDAS MONDAL,1
DEBDYUTI  DEB,1
DEBENDRANATH BARMA,1
DEBENDRANATH ROY,1
DEBESH CHAKRABORTY,1
DEBJIT MUKHERJEE,1
DEBKANTI MAHANTI,1
DEBLINA HEMBRAM,1
DEBNATH KUNDU,1
DEBO PRASAD BAG (POLTU),1
DEBRAJ BARMAN,1
DEBRAJ GAYEN,1
DEBSHWAR BESRA,1
DEBU CHUNARI,1
DEEPAK SINGH,1
Deepanjan Kumar Guha,1
DEEPSHIKHA BHOWMICK,1
DEVADEEP PUROHIT,1
DEV KUMAR BISWAS,1
DHANABALA ROY,1
DHANANJAY BANERJEE,1
DHANANJAY MAITRA,1
DHANANJOY RAVA,1
DHANAPATI CHOUDHURY,1
DHANAPATI MONDAL,1
DHANESWAR HANSDA,1
DHARANI DHAR BAURI,1
DHARANIKANTA SARKAR,1
DHARMAPAL BISUI,1
DHARMENDRA SHAW,1
DHARMPAL MISHRA,1
DHIRENDRANATH MAHATO,1
DHIREN MURMU,1
DHIREN RAJAK,1
DHRUBAJOTI SAHA,1
DHRUBA SAHA,1
DHRUBOJYOTI MUKHERJEE,1
DHULESH SARKAR,1
DHURJATI MAJI,1
DIBAKAR GHARAMI,1
DIBYAJOTI SINGH DEO,1
DIBYAJYOTI PRASAD SINGH DEO,1
DIBYENDU GHOSH,1
DIBYENDU MAITY,1
DILIP BARMAN,1
DILIP CHANDRA HALDER,1
DILIP DAS,1
DILIP DAS,1
DILIP GAYEN,1
DILIP KUMAR BARMAN,1
DILIP KUMAR KISKU,1
DILIP KUMAR PODDAR,1
DILIP KUMAR SAHA,1
DILIP MONDAL,1
DILIP SAHA,1
DILIP SANFUI,1
DILIP SINGH,1
DILIP SINGH,1
DILIP SINGH,1
DIL KUMAR ORAON,1
DINABANDHU MONDAL,1
DINEN ROY,1
DINESH DAS,1
DINESH KUMAR SHARMA,1
DINESH SARKAR,1
DINESH SHAW,1
DIPAK BARMAN,1
DIPAK BARMAN,1
DIPAK CHATTERJEE,1
DIPAK DHALI,1
DIPAK GHOSH,1
DIPAK HALDAR,1
DIPAK HALDER,1
DIPAK KUMAR HALDER,1
DIPAK KUMAR MONDAL,1
DIPAK KUMAR PATRA,1
DIPAK MAHATO,1
DIPAK PATRA,1
DIPAK RABIDAS,1
DIPAK ROY,1
DIPALI ADITYA,1
DIPALI BAURI,1
DIPANJAN CHAKRABORTY,1
DIPANKAR BARMAN,1
DIPANKAR BARMAN,1
DIPANKAR JANA,1
DIPANKAR JANA,1
DIPANKAR MAITY,1
DIPANKAR METYA,1
DIPANKAR ROY,1
DIPEN BAURI,1
DIPENDRA NARAYAN ROY,1
DIPENDU ISAR,1
DIP HATI,1
DIPIKA BAURI,1
DIPIKA SABAR,1
DIPSITA DHAR,1
DIPU DAS,1
DITI BHATTACHARJEE,1
DOLA SARKAR,1
DOLOI SURJYA KANTA,1
DR ABDUL KARIM,1
DR. ANUP MANDAL,1
DR. ATINDRA NATH MONDAL,1
DR. BIJAN MUKHERJEE,1
DR.CHANDRACHUR GOSWAMI,1
DR. CHANDRA SEKHAR MONDAL,1
DR. HAREKRISHNA SARKAR,1
DR. HIRANMOY CHATTOPADHYAYA (HIRAAN),1
DR. INDRANIL KHAN,1
DR. JAGANNATH BHATTACHARYYA,1
DR. MOSARRAF HOSSAIN,1
DR NILAY MAJUMDAR,1
DR. NIRMAL MAJI,1
DR. PAPIYA CHAKRABORTY,1
DR. PRANAT TUDU,1
DR. PRIYANKA TIBREWAL,1
DR. PULIN BIHARI BASKE,1
DR. RAJESH KUMAR,1
DR. RAJIB BISWAS.,1
DR. RANA CHATTERJEE,1
DR. SABLU BARMAN,1
DR. SHAHRIAR ALAM,1
DR. SOURYA BANERJEE,1
DR. SUMAY HIRA,1
DR TARUN KUMAR ADAK,1
DUDH KUMAR MONDAL,1
DUKHEN LET,1
DULAL BARMAN,1
DULAL BISWAS,1
DULAL CHANDRA BAR,1
DULAL CHANDRA SARKAR,1
DULAL KANTI BHATTACHARYA,1
DULAL MURMU,1
DULU DAS,1
DULU DEY,1
DUNDUBHI SAHA(PAPAN),1
DURGA MURMU,1
DWARIK NATH BARMAN,1
EFRAJUL HOQUE,1
EKRAMUL SEKH,1
EMANI BISWAS,1
EMON SAYED,1
ENAMUL HAQUE,1
FAISAL KHAN,1
FAIYAZ AHMAD KHAN,1
FAIZ AHMAD,1
FAJAR ALI SEIKH,1
FAJLUR RAHAMAN SEKH,1
FAKIRA MD,1
FALGUNI BAURI,1
FALGUNI SINGHABABU,1
FARID MOLLAH,1
FAYEZUL HAQUE (KAJAL SK),1
