constituency,constituency_code,runner_up_votes,winning_party,winning_votes,vote_difference
KARIMPUR,S2577,95049,Bharatiya Janata Party,105234,10185
SAINTHIA,S25289,104748,Bharatiya Janata Party,115054,10306
KANDI,S2568,63020,Bharatiya Janata Party,73355,10335
DANTAN,S25219,99883,Bharatiya Janata Party,110259,10376
UTTARPARA,S25185,70197,Bharatiya Janata Party,80612,10415
NAIHATI,S25104,67054,Bharatiya Janata Party,77484,10430
GALSI,S25274,100146,Bharatiya Janata Party,110640,10494
JANGIPUR,S2558,80659,Bharatiya Janata Party,91201,10542
SABANG,S25226,116647,Bharatiya Janata Party,127783,11136
JAMALPUR,S25262,88758,Bharatiya Janata Party,99936,11178
HOWRAH UTTAR,S25170,56289,Bharatiya Janata Party,67539,11250
ASANSOL UTTAR,S25281,92901,Bharatiya Janata Party,104516,11615
BARABANI,S25283,80055,Bharatiya Janata Party,91777,11722
BALLY,S25169,45642,Bharatiya Janata Party,57639,11997
HEMTABAD,S2533,103168,Bharatiya Janata Party,115529,12361
AUSGRAM,S25273,95157,Bharatiya Janata Party,107692,12535
MANGALKOT,S25272,91297,Bharatiya Janata Party,104020,12723
BELDANGA,S2571,59664,Bharatiya Janata Party,72872,13208
BIJPUR,S25103,58456,Bharatiya Janata Party,71799,13343
CHANDANNAGAR,S25189,72832,Bharatiya Janata Party,86273,13441
MANIKCHAK,S2549,96180,Bharatiya Janata Party,110118,13938
SHYAMPUKUR,S25166,45615,Bharatiya Janata Party,60248,14633
MONTESWAR,S25263,81761,Bharatiya Janata Party,96559,14798
BHABANIPUR,S25159,58812,Bharatiya Janata Party,73917,15105
SALBONI,S25234,117613,Bharatiya Janata Party,132856,15243
MAL,S2520,96603,Bharatiya Janata Party,112095,15492
MANIKTALA,S25167,60726,Bharatiya Janata Party,76370,15644
BARRACKPUR,S25108,62644,Bharatiya Janata Party,78466,15822
KESHIARY,S25223,97826,Bharatiya Janata Party,113713,15887
SHIBPUR,S25172,73557,Bharatiya Janata Party,89615,16058
GOSABA,S25127,92392,Bharatiya Janata Party,108492,16100
MOYNA,S25206,110925,Bharatiya Janata Party,127166,16241
DOMKAL,S2575,91586,Communist Party of India (Marxist),107882,16296
PURBASTHALI DAKSHIN,S25268,94342,Bharatiya Janata Party,111004,16662
BARANAGAR,S25113,64774,Bharatiya Janata Party,81730,16956
NAKASHIPARA,S2581,83273,Bharatiya Janata Party,100600,17327
DINHATA,S257,120808,Bharatiya Janata Party,138255,17447
SANDESHKHALI,S25123,89679,Bharatiya Janata Party,107189,17510
NOAPARA,S25107,76759,Bharatiya Janata Party,94415,17656
RANIGANJ,S25278,79630,Bharatiya Janata Party,97416,17786
PANSKURA PURBA,S25204,91361,Bharatiya Janata Party,109264,17903
PINGLA,S25227,105709,Bharatiya Janata Party,124189,18480
KARANDIGHI,S2532,76391,Bharatiya Janata Party,96260,19869
KANTHI UTTAR,S25213,110033,Bharatiya Janata Party,130088,20055
CHANDIPUR,S25211,105777,Bharatiya Janata Party,126047,20270
NARAYANGARH,S25225,95683,Bharatiya Janata Party,116050,20367
RASHBEHARI,S25160,53258,Bharatiya Janata Party,74123,20865
BHAGABANPUR,S25214,109708,Bharatiya Janata Party,130586,20878
JAGATDAL,S25106,73442,Bharatiya Janata Party,94351,20909
MAYURESWAR,S25290,86054,Bharatiya Janata Party,107056,21002
KASHIPUR,S25244,85295,Bharatiya Janata Party,106571,21276
SINGUR,S25188,91570,Bharatiya Janata Party,113008,21438
NABADWIP,S2584,87187,Bharatiya Janata Party,108631,21444
RAJGANJ,S2518,93180,Bharatiya Janata Party,114657,21477
HARINGHATA,S2593,85845,Bharatiya Janata Party,107900,22055
JOYPUR,S25241,82450,Bharatiya Janata Party,104668,22218
SHYAMPUR,S25179,103391,Bharatiya Janata Party,125651,22260
BURWAN,S2567,69361,Bharatiya Janata Party,91661,22300
JAMURIA,S25279,67636,Bharatiya Janata Party,90150,22514
BHATPARA,S25105,38876,Bharatiya Janata Party,61683,22807
BINPUR,S25237,84261,Bharatiya Janata Party,107238,22977
COOCHBEHAR DAKSHIN,S254,85198,Bharatiya Janata Party,108482,23284
SAPTAGRAM,S25193,79125,Bharatiya Janata Party,102414,23289
RAMPURHAT,S25291,87687,Bharatiya Janata Party,111920,24233
KHARDAHA,S25109,73266,Bharatiya Janata Party,97752,24486
