constituency_code,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S04104,BIHAR,HATHUA,RAMSEWAK SINGH,Janata Dal (United),92121,RAJESH KUMAR SINGH,Rashtriya Janata Dal,79773,12348
S04100,BIHAR,BARAULI,MANJEET KUMAR SINGH,Janata Dal (United),88657,DILIP KUMAR SINGH,Rashtriya Janata Dal,76283,12374
S04111,BIHAR,GORIAKOTHI,DEVESH KANT SINGH,Bharatiya Janata Party,105909,ANWARUL HAQUE,Rashtriya Janata Dal,93524,12385
S04234,BIHAR,WAZIRGANJ,BIRENDRA SINGH,Bharatiya Janata Party,94574,AWADHESH KUMAR SINGH,Indian National Congress,81841,12733
S0449,BIHAR,ARARIA,ABIDUR RAHMAN,Indian National Congress,91529,SHAGUFTA AZIM,Janata Dal (United),78788,12741
S0454,BIHAR,KISHANGANJ,MD. QAMRUL HODA,Indian National Congress,89669,SWEETY SINGH,Bharatiya Janata Party,76875,12794
S04119,BIHAR,GARKHA,SURENDRA RAM,Rashtriya Janata Dal,91134,SIMANT MRINAL,Lok Janshakti Party (Ram Vilas),78330,12804
S0458,BIHAR,KASBA,NITESH KUMAR SINGH,Lok Janshakti Party (Ram Vilas),86877,MD. IRFAN ALAM,Indian National Congress,74002,12875
S04243,BIHAR,CHAKAI,SAVITRI DEVI,Rashtriya Janata Dal,80357,SUMIT KUMAR SINGH,Janata Dal (United),67385,12972
S0433,BIHAR,KHAJAULI,ARUN SHANKAR PRASAD,Bharatiya Janata Party,101151,BRAJ KISHOR YADAV,Rashtriya Janata Dal,88025,13126
S0474,BIHAR,SONBARSHA,RATNESH SADA,Janata Dal (United),97833,SARITA DEVI,Indian National Congress,84379,13454
S04156,BIHAR,BHAGALPUR,ROHIT PANDEY,Bharatiya Janata Party,100770,AJEET SHARMA,Indian National Congress,87296,13474
S0498,BIHAR,SAHEBGANJ,RAJU KUMAR SINGH,Bharatiya Janata Party,106322,PRITHWINATH RAY,Rashtriya Janata Dal,92800,13522
S04226,BIHAR,SHERGHATI,UDAY KUMAR SINGH,Lok Janshakti Party (Ram Vilas),77270,PRAMOD KUMAR VERMA,Rashtriya Janata Dal,63746,13524
S0419,BIHAR,MOTIHARI,PRAMOD KUMAR,Bharatiya Janata Party,106080,DEWA GUPTA,Rashtriya Janata Dal,92517,13563
S0480,BIHAR,BENIPUR,BINAY KUMAR CHOUDHARY,Janata Dal (United),84207,MITHILESH KUMAR CHOUDHARY,Indian National Congress,70604,13603
S04133,BIHAR,SAMASTIPUR,ASHWAMEDH DEVI,Janata Dal (United),95728,AKHTARUL ISLAM SHAHIN,Rashtriya Janata Dal,81853,13875
S04214,BIHAR,ARWAL,MANOJ KUMAR,Bharatiya Janata Party,79854,MAHANAND SINGH,Communist Party of India (Marxist-Leninist) (Liberation),65761,14093
S0439,BIHAR,PHULPARAS,SHEELA KUMARI,Janata Dal (United),93677,SUBODH MANDAL,Indian National Congress,79578,14099
S04193,BIHAR,BARHARA,RAGHVENDRA PRATAP SINGH,Bharatiya Janata Party,79593,ASHOK KUMAR SINGH,Rashtriya Janata Dal,65190,14403
S04128,BIHAR,RAGHOPUR,TEJASHWI PRASAD YADAV,Rashtriya Janata Dal,118597,SATISH KUMAR,Bharatiya Janata Party,104065,14532
S0492,BIHAR,SAKRA,ADITYA KUMAR,Janata Dal (United),98723,UMESH KUMAR RAM,Indian National Congress,83673,15050
S0467,BIHAR,MANIHARI,MANOHAR PRASAD SINGH,Indian National Congress,114754,SHAMBHU KUMAR SUMAN,Janata Dal (United),99586,15168
S04198,BIHAR,SHAHPUR,RAKESH RANJAN,Bharatiya Janata Party,88655,RAHUL TIWARY,Rashtriya Janata Dal,73430,15225
S04115,BIHAR,BANIAPUR,KEDAR NATH SINGH,Bharatiya Janata Party,95606,CHANDNI DEVI,Rashtriya Janata Dal,80170,15436
S0416,BIHAR,KALYANPUR,SACHINDRA PRASAD SINGH,Bharatiya Janata Party,89057,MANOJ KUMAR YADAV,Rashtriya Janata Dal,73489,15568
S04145,BIHAR,SAHEBPUR KAMAL,SATTANAND SAMBUDDHA ALIAS LALAN JEE,Rashtriya Janata Dal,76798,SURENDRA KUMAR ALIAS SURENDRA VIVEK,Lok Janshakti Party (Ram Vilas),61077,15721
