constituency_code,candidate,party,constituency,state,votes
S04107,VISHNU DEO PASWAN,Lok Janshakti Party (Ram Vilas),DARAULI,BIHAR,83014
S04105,AWADH BIHARI CHOUDHARY,Rashtriya Janata Dal,SIWAN,BIHAR,83009
S0470,NABIN KUMAR,Vikassheel Insaan Party,ALAMNAGAR,BIHAR,82936
S04169,RANDHIR KUMAR SONI,Janata Dal (United),SHEIKHPURA,BIHAR,82922
S0425,GAYETRI DEVI,Bharatiya Janata Party,PARIHAR,BIHAR,82644
S04185,RUPA KUMARI,Lok Janshakti Party (Ram Vilas),FATUHA,BIHAR,82566
S0430,AMIT KUMAR,Lok Janshakti Party (Ram Vilas),BELSAND,BIHAR,82076
S04136,ARBIND KUMAR SAHANI,Rashtriya Janata Dal,SARAIRANJAN,BIHAR,81994
S0455,MD. SARWAR ALAM,All India Majlis-E-Ittehadul Muslimeen,KOCHADHAMAN,BIHAR,81860
S04133,AKHTARUL ISLAM SHAHIN,Rashtriya Janata Dal,SAMASTIPUR,BIHAR,81853
S04234,AWADHESH KUMAR SINGH,Indian National Congress,WAZIRGANJ,BIHAR,81841
S0486,FARAZ FATMI,Rashtriya Janata Dal,KEOTI,BIHAR,81818
S0441,BAIDYANATH MEHTA,Rashtriya Janata Dal,NIRMALI,BIHAR,81594
S04110,ARUN KUMAR GUPTA,Rashtriya Janata Dal,BARHARIA,BIHAR,81464
S04147,SURYAKANT PASWAN,Communist Party of India,BAKHRI,BIHAR,81193
