constituency_code,candidate,party,constituency,state,votes
S0327,IMDAD HUSSAIN,All India United Democratic Front,CHAMARIA,ASSAM,71024
S03108,SURJYA RONGPHAR,Bharatiya Janata Party,BOKAJAN,ASSAM,69851
S0394,SURUJ DEHINGIA,Bharatiya Janata Party,MAHMORA,ASSAM,69530
S03100,HITENDRA NATH GOSWAMI,Bharatiya Janata Party,JORHAT,ASSAM,69439
S0396,KUSHAL DOWARI,Bharatiya Janata Party,SIBSAGAR,ASSAM,69249
S039,REZA AMIN,Independent,BIRSING JARUA,ASSAM,68556
S035,REZAUL KARIM,Bodoland Peoples Front,PARBATJHORA,ASSAM,68106
S0399,PALLABI SAIKIA GOGOI,Indian National Congress,TEOK,ASSAM,67696
S0345,MAHESWAR BARO,Bodoland Peoples Front,BHERGAON,ASSAM,67105
S0389,CHAKRADHAR GOGOI,Bharatiya Janata Party,KHOWANG,ASSAM,67038
S03117,AMIT KUMAR KALWAR,Indian National Congress,BORKHOLA,ASSAM,66162
S0356,AMINUL ISLAM,All India United Democratic Front,RUPAHIHAT,ASSAM,65916
S0384,SUREN PHUKAN,Bharatiya Janata Party,DIGBOI,ASSAM,65690
S0329,PANKAJ LOCHAN GOSWAMI,Assam Jatiya Parishad,PALASBARI,ASSAM,65348
S0373,NARAYAN BHUYAN,Indian National Congress,BIHPURIA,ASSAM,64814
S037,NIZANUR RAHMAN,All India United Democratic Front,GAURIPUR,ASSAM,63874
S03121,RAHUL ROY,Indian National Congress,HAILAKANDI,ASSAM,63774
S0365,BATASH ORANG,Indian National Congress,DHEKIAJULI,ASSAM,63711
S0375,BASANTA DAS,Asom Gana Parishad,NOWBOICHA,ASSAM,63230
S0374,JAYANTA KHAUND,Indian National Congress,RONGONADI,ASSAM,62841
S03119,KARIM UDDIN BARBHUIYA,Asom Gana Parishad,SONAI,ASSAM,62787
S034,RUPAM CHANDRA ROY,Bodoland Peoples Front,BAOKHUNGRI,ASSAM,62677
