candidate,constituency_count
SAYED SAHAB UDDIN,1
SAYNUL HAQUE,1
SEWLI MOHILARY,1
SHAHAB UDDIN MAJUMDAR,1
SHAHAJAHAN LASKAR,1
SHAHANA AKTAR,1
SHAHIDUL HOQUE,1
SHAHIDUR ALAM,1
SHAHINOOR ISLAM,1
SHAMSUL HAQUE LASKAR,1
SHEIKH HEDAYETULLAH,1
SHEIKH MD JIAUL HAQUE,1
SHEIKH MONSHUR RAHMAN,1
SHEIKH SHAH ALAM,1
SHERMAN ALI AHMED,1
SHIBAM CHAKROBORTY,1
SHIB NARAYAN SINGH,1
SHIHAB UDDIN,1
SHILADITYA DEV,1
SHRI KISHOR KUMAR BARUAH,1
SHRI NABA KUMAR DOLEY,1
SHUKUR ALI,1
SIBANATH CHETIA,1
SIBU MISRA,1
SIDDHARTHA BORA,1
SIDDHARTHA DAS,1
SIDDIQUE AHMED,1
SIRAJUL ISLAM BARBHUIYA,1
SIRAJUL ISLAM LASKAR,1
SISIR KUMAR KAKATI,1
SMTI. LILIMAI DOLEY,1
SOMPA DEY,1
SOURAV ROY,1
SRI BABUL SONOWAL,1
SRI BUBUL DAS,1
SRI LALIT PEGU,1
SRI NARENDRA KUMAR PAW,1
SRI PRAMOD CHANDRA BHAGABATI,1
SRI SAILEN SONOWAL,1
SUBASH GOON,1
SUBRATA BHATTACHARJEE,1
SUBRATA KR. CHANDA,1
SUBRATA SARKAR,1
SUBRATA SHILL,1
SUJAM UDDIN LASKAR S/O MANIR UDDIN LASKAR,1
SUJAN PAUL,1
SUJIT DAS,1
SUNIL KUMAR CHHETRI,1
SUREN DAIMARI,1
SUREN PHUKAN,1
SURESH CHANDRA RABHA,1
SURJYA RONGPHAR,1
SURUCHI ROY,1
SURUJ  ALI,1
SURUJ DEHINGIA,1
SUSANTA BORGOHAIN,1
SUZAM UDDIN LASKAR S/O LT. TAZAMUL ALI LASKAR,1
SWAPAN KAR,1
SWAPAN PUDDAR,1
SWARNALATA CHALIHA,1
TANKESWAR RABHA,1
TANZIL HUSSAIN,1
TAPAN GOGOI,1
TAPAS DAS,1
TARANGA GOGOI,1
TARCIUS TOPNO,1
TEHARU GOUR,1
THANESWAR BASUMATARY,1
TIKENDRA THAPA,1
TINKU BHUSHAN NATH,1
TONON DAIMARY,1
TULIRAM RONGHANG,1
TUTIUR RAHMAN,1
UDANGSRI NARZARY,1
UDDHAB CHANDRA DAS,1
UJJAL DEB,1
UNIKE BASUMATARY,1
UTPAL BANIA,1
UTPAL BORAH,1
UTPAL GOGOI,1
UTTAM DAS,1
UTTAM PRASAD,1
VICTOR KUMAR DAS,1
VIJAY KUMAR GUPTA,1
WAKIBUR ISLAM,1
WAZED ALI CHOUDHURY,1
YASWANTA CHAUHAN,1
YOGESH DAS,1
ZABED ISLAM,1
ZAKARIA HUSSAIN,1
ZAKIR HUSSAIN LASKAR,1
ZAKIR ISLAM,1
ZAMER ALI,1
ZUBAIR ANAM MAZUMDER,1
