CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTE_SHARE
"KHAGEN MURMU","Bharatiya Janata Party","MALDAHA UTTAR","WEST BENGAL",37.1774
"MANJULATA MANDAL","Biju Janata Dal",BHADRAK,ODISHA,37.1345
"ASHOK PURKAIT","Bharatiya Janata Party",MATHURAPUR,"WEST BENGAL",37.0765
"MUNGANTIWAR SUDHIR SACCHIDANAND","Bharatiya Janata Party",CHANDRAPUR,MAHARASHTRA,36.8970
"RAJA RAM SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",KARAKAT,BIHAR,36.8917
"DR. GUDURI SRINIVAS","Yuvajana Sramika Rythu Congress Party",RAJAHMUNDRY,"ANDHRA PRADESH",36.7749
"GODSE HEMANT TUKARAM","Shiv Sena",NASHIK,MAHARASHTRA,36.7545
"ANAND SHARMA","Indian National Congress",KANGRA,"HIMACHAL PRADESH",36.7354
"KOTHAPALLI GEETHA","Bharatiya Janata Party",ARAKU,"ANDHRA PRADESH",36.6205
"BHUMARE SANDIPANRAO ASARAM","Shiv Sena",AURANGABAD,MAHARASHTRA,36.5636
"DANVE RAOSAHEB DADARAO","Bharatiya Janata Party",JALNA,MAHARASHTRA,36.5216
"SAMIR KUMAR MOHANTY","Jharkhand Mukti Morcha",JAMSHEDPUR,JHARKHAND,36.5045
"KILARI VENKATA ROSAIAH","Yuvajana Sramika Rythu Congress Party",GUNTUR,"ANDHRA PRADESH",36.4995
"GANESH GODIYAL","Indian National Congress",GARHWAL,UTTARAKHAND,36.4313
"VAISHALI DAREKAR - RANE","Shiv Sena (Uddhav Balasaheb Thackrey)",KALYAN,MAHARASHTRA,36.3851
"ARUNUDAY PAULCHOWDHURY","Bharatiya Janata Party",ULUBERIA,"WEST BENGAL",36.3784
"ADVOCATE J. P. MARAVIYA","Indian National Congress",JAMNAGAR,GUJARAT,36.3421
"SILBHADRA DATTA","Bharatiya Janata Party","DUM DUM","WEST BENGAL",36.3415
"MANICKAM TAGORE B","Indian National Congress",VIRUDHUNAGAR,"TAMIL NADU",36.2798
"PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN","Vikassheel Insaan Party",GOPALGANJ,BIHAR,36.1878
"KARAN BALASAHEB PATIL - PAWAR","Shiv Sena (Uddhav Balasaheb Thackrey)",JALGAON,MAHARASHTRA,36.1535
"IMTIAZ JALEEL SYED","All India Majlis-E-Ittehadul Muslimeen",AURANGABAD,MAHARASHTRA,36.1018
"RUTVIKBHAI LAVJIBHAI MAKWANA","Indian National Congress",SURENDRANAGAR,GUJARAT,36.0739
"OM KUMAR","Bharatiya Janata Party",NAGINA,"UTTAR PRADESH",36.0609
"GURMEET SINGH MEET HAYER","Aam Aadmi Party",SANGRUR,PUNJAB,36.0600
"KALYANI KRISHNA","All India Trinamool Congress",RAIGANJ,"WEST BENGAL",36.0037
"PARS NATH RAI","Bharatiya Janata Party",GHAZIPUR,"UTTAR PRADESH",35.9946
"DR RATHIN CHAKRAVARTY","Bharatiya Janata Party",HOWRAH,"WEST BENGAL",35.9374
"VIJAYAPRABHAKARAN V","Desiya Murpokku Dravida Kazhagam",VIRUDHUNAGAR,"TAMIL NADU",35.8675
"SUNNY HAZARI","Indian National Congress",SAMASTIPUR,BIHAR,35.8613
"A NAMASSIVAYAM","Bharatiya Janata Party",PUDUCHERRY,PUDUCHERRY,35.8305
DEEPAK,"Samajwadi Party",BIJNOR,"UTTAR PRADESH",35.8233
"JAYVEER SINGH","Bharatiya Janata Party",MAINPURI,"UTTAR PRADESH",35.7574
"ABHAY KUMAR SINHA","Rashtriya Janata Dal",AURANGABAD,BIHAR,35.7524
"TALA MARANDI","Bharatiya Janata Party",RAJMAHAL,JHARKHAND,35.7158
"NITESH PARBATBHAI LALAN (MATANG)","Indian National Congress",KACHCHH,GUJARAT,35.6837
"CHANDRA PRAKASH CHOUDHARY","AJSU Party",GIRIDIH,JHARKHAND,35.6679
"SURYA KANTA SARKAR","Indian National Congress",SILCHAR,ASSAM,35.6237
"BOSIRAM SIRAM","Indian National Congress","ARUNACHAL EAST","ARUNACHAL PRADESH",35.6044
"RADHAKRISHNAN P","Bharatiya Janata Party",KANNIYAKUMARI,"TAMIL NADU",35.5997
"SAMIR ORAON","Bharatiya Janata Party",LOHARDAGA,JHARKHAND,35.5590
"SANJAY KUMAR","Communist Party of India  (Marxist)",KHAGARIA,BIHAR,35.5521
"ADV. JOICE GEORGE","Communist Party of India  (Marxist)",IDUKKI,KERALA,35.5252
"RAJEEV CHANDRASEKHAR","Bharatiya Janata Party",THIRUVANANTHAPURAM,KERALA,35.5227
"ABHAY KASHINATH PATIL","Indian National Congress",AKOLA,MAHARASHTRA,35.4969
"PARINITA MISHRA","Biju Janata Dal",BARGARH,ODISHA,35.4764
"DABBU SIDDHARTH SUKHLAL KUSHWAHA","Indian National Congress",SATNA,"MADHYA PRADESH",35.3908
AMARPAL,"Samajwadi Party",BAGHPAT,"UTTAR PRADESH",35.2878
"AAKASH KUMAR SINGH","Indian National Congress",MAHARAJGANJ,BIHAR,35.2664
"BHAGYARAJ. J","All India Anna Dravida Munnetra Kazhagam",VILUPPURAM,"TAMIL NADU",35.2513
"DR. ANJALI NIMBALKAR","Indian National Congress","UTTARA KANNADA",KARNATAKA,35.2455
"KAMPA BORGOYARI","Bodoland Peoples Front",KOKRAJHAR,ASSAM,35.2327
"DOLLY SHARMA","Indian National Congress",GHAZIABAD,"UTTAR PRADESH",35.1737
"BUDI MUTYALA NAIDU","Yuvajana Sramika Rythu Congress Party",ANAKAPALLE,"ANDHRA PRADESH",35.1262
"DR. ARVIND KUMAR SHARMA","Bharatiya Janata Party",ROHTAK,HARYANA,35.1060
"JANKAR MAHADEV JAGANNATH","Rashtriya Samaj Paksha",PARBHANI,MAHARASHTRA,35.1029
"M.V BALAKRISHNAN MASTER","Communist Party of India  (Marxist)",KASARAGOD,KERALA,35.0556
"MAHENDRAJEETSINGH MALVIYA","Bharatiya Janata Party",BANSWARA,RAJASTHAN,35.0537
"MOHAMMAD JAWED","Indian National Congress",KISHANGANJ,BIHAR,34.9970
"UMABALA GUDURI","Yuvajana Sramika Rythu Congress Party",NARSAPURAM,"ANDHRA PRADESH",34.9751
"RAPAKA VARAPRASADA RAO","Yuvajana Sramika Rythu Congress Party",AMALAPURAM,"ANDHRA PRADESH",34.9537
"GEETA KORA","Bharatiya Janata Party",SINGHBHUM,JHARKHAND,34.9110
"URMILA JAIN “BHAYA”","Indian National Congress",JHALAWAR-BARAN,RAJASTHAN,34.7834
"RAMCHANDRA CHOUDHARY","Indian National Congress",AJMER,RAJASTHAN,34.7551
"RAVINDRA SINGH BHATI",Independent,BARMER,RAJASTHAN,34.7442
"PROF C RAVEENDRANATH","Communist Party of India  (Marxist)",CHALAKUDY,KERALA,34.7337
"C P JOSHI","Indian National Congress",BHILWARA,RAJASTHAN,34.7314
"MANI. A.","Dravida Munnetra Kazhagam",DHARMAPURI,"TAMIL NADU",34.6735
"SURENDRA SINGH BHOI","Biju Janata Dal",BOLANGIR,ODISHA,34.6424
"MAHESH PARMAR","Indian National Congress",UJJAIN,"MADHYA PRADESH",34.6418
"RITESH PANDEY","Bharatiya Janata Party","AMBEDKAR NAGAR","UTTAR PRADESH",34.6381
"MAMTA BHUIYAN","Rashtriya Janata Dal",PALAMAU,JHARKHAND,34.6259
"PRAKASH JOSHI","Indian National Congress","NAINITAL-UDHAMSINGH NAGAR",UTTARAKHAND,34.6064
"AJAY NISHAD","Indian National Congress",MUZAFFARPUR,BIHAR,34.5920
"KAPIL MORESHWAR PATIL","Bharatiya Janata Party",BHIWANDI,MAHARASHTRA,34.5734
"PIYA SAHA","Bharatiya Janata Party",BOLPUR,"WEST BENGAL",34.5692
"CHANDRAHAS CHAUPAL","Rashtriya Janata Dal",SUPAUL,BIHAR,34.5407
"TILAK PERADA","Yuvajana Sramika Rythu Congress Party",SRIKAKULAM,"ANDHRA PRADESH",34.5093
"DEBASREE CHAUDHURI","Bharatiya Janata Party","KOLKATA DAKSHIN","WEST BENGAL",34.4231
"CHANDRAHASAN M","All India Anna Dravida Munnetra Kazhagam",CHIDAMBARAM,"TAMIL NADU",34.4049
"ASHOK TANWAR","Bharatiya Janata Party",SIRSA,HARYANA,34.3507
"ELAMARAM KAREEM","Communist Party of India  (Marxist)",KOZHIKODE,KERALA,34.3328
"RAJENDRA RADHAKISHAN MALVIYA","Indian National Congress",DEWAS,"MADHYA PRADESH",34.2873
"AMAR SINGH","Indian National Congress","FATEHGARH SAHIB",PUNJAB,34.1379
"DR. SANDEEP SAURAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",NALANDA,BIHAR,34.1064
"DEBTANU BHATTACHARYA","Bharatiya Janata Party",BIRBHUM,"WEST BENGAL",34.0644
"MADHAVANENI RAGHUNANDAN RAO","Bharatiya Janata Party",MEDAK,TELANGANA,33.9925
"AGATHA K SANGMA","National Peoples Party",TURA,MEGHALAYA,33.9257
"KABIR SHANKAR BOSE","Bharatiya Janata Party",SRERAMPUR,"WEST BENGAL",33.8049
"SUKHJINDER SINGH RANDHAWA","Indian National Congress",GURDASPUR,PUNJAB,33.7757
"BHARAT YOGENDRA MAKWANA","Indian National Congress","AHMEDABAD WEST",GUJARAT,33.6490
"MD SALIM","Communist Party of India  (Marxist)",MURSHIDABAD,"WEST BENGAL",33.6171
"LEKHASRI SAMANTSINGHAR","Biju Janata Dal",BALASORE,ODISHA,33.6155
"RAJENDRA SAHU","Indian National Congress",DURG,CHHATTISGARH,33.5932
"RAMU TEKAM","Indian National Congress",BETUL,"MADHYA PRADESH",33.5579
"A VIJAYARAGHAVAN","Communist Party of India  (Marxist)",PALAKKAD,KERALA,33.3920
"RINKI SINGH","Apna Dal (Soneylal)",ROBERTSGANJ,"UTTAR PRADESH",33.3431
"BHRUGU BAXIPATRA","Biju Janata Dal",BERHAMPUR,ODISHA,33.3319
"ADV ADOOR PRAKASH","Indian National Congress",ATTINGAL,KERALA,33.2931
"RAMJI THAKOR","Indian National Congress",MAHESANA,GUJARAT,33.2793
"ANJANA UDAILAL","Indian National Congress",CHITTORGARH,RAJASTHAN,33.2498
"V JOY","Communist Party of India  (Marxist)",ATTINGAL,KERALA,33.2237
"THOMAS CHAZHIKADAN","Kerala Congress  (M)",KOTTAYAM,KERALA,33.1688
"THOUNAOJAM BASANTA KUMAR SINGH","Bharatiya Janata Party","INNER MANIPUR",MANIPUR,33.1556
"BABURAO KADAM KOHALIKAR","Shiv Sena",HINGOLI,MAHARASHTRA,33.1177
"SOWMIYA ANBUMANI","Pattali Makkal Katchi",DHARMAPURI,"TAMIL NADU",32.9665
"DINESH LAL YADAV “NIRAHUA”","Bharatiya Janata Party",AZAMGARH,"UTTAR PRADESH",32.9253
"KALUSINH DABHI","Indian National Congress",KHEDA,GUJARAT,32.8849
"KAMLESHWAR INDRAJIT KUMAR","Indian National Congress",SIDHI,"MADHYA PRADESH",32.8733
"ANNAMALAI K","Bharatiya Janata Party",COIMBATORE,"TAMIL NADU",32.7885
"DR.T.M.THOMAS ISSAC","Communist Party of India  (Marxist)",PATHANAMTHITTA,KERALA,32.7875
"HARSIMRAT KAUR BADAL","Shiromani Akali Dal",BATHINDA,PUNJAB,32.7109
"ARCHANA RANAJAGJITSINH PATIL","Nationalist Congress Party",OSMANABAD,MAHARASHTRA,32.7002
"KRISHNA NAND TRIPATHI","Indian National Congress",CHATRA,JHARKHAND,32.5484
"THANGAVEL. L","All India Anna Dravida Munnetra Kazhagam",KARUR,"TAMIL NADU",32.5155
"CHANDESHWAR PRASAD","Janata Dal  (United)",JAHANABAD,BIHAR,32.4674
"LURINJYOTI GOGOI","Assam Jatiya Parishad",DIBRUGARH,ASSAM,32.4207
"SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI)","Bharatiya Janata Party","MALDAHA DAKSHIN","WEST BENGAL",32.4157
"NEELAM SONKER","Bharatiya Janata Party",LALGANJ,"UTTAR PRADESH",32.3823
"A. M ARIFF","Communist Party of India  (Marxist)",ALAPPUZHA,KERALA,32.2137
"PREMLAL GANJU","Indian National Congress",SONITPUR,ASSAM,32.1607
"R. K. SINGH PATEL","Bharatiya Janata Party",BANDA,"UTTAR PRADESH",32.1183
"DR. DAMODAR GURJAR","Indian National Congress",RAJSAMAND,RAJASTHAN,32.0642
"ANUPAMA SINGH","Indian National Congress",DHANBAD,JHARKHAND,32.0439
"DR. RAJ KUMAR CHABBEWAL","Aam Aadmi Party",HOSHIARPUR,PUNJAB,32.0362
"M MUKESH","Communist Party of India  (Marxist)",KOLLAM,KERALA,32.0333
"ADVOCATE ARUN SHRIVASTAVA","Indian National Congress",BHOPAL,"MADHYA PRADESH",32.0106
"SUMAN KUMAR MAHASETH","Vikassheel Insaan Party",JHANJHARPUR,BIHAR,31.8963
"K.S HAMZA","Communist Party of India  (Marxist)",PONNANI,KERALA,31.8384
"TARACHAND MEENA","Indian National Congress",UDAIPUR,RAJASTHAN,31.8130
"DR. PRABHABEN KISHORSINH TAVIYAD","Indian National Congress",DAHOD,GUJARAT,31.7482
"ADHIR RANJAN CHOWDHURY","Indian National Congress",BAHARAMPUR,"WEST BENGAL",31.7377
"PRADEEP KUMAR MAJHI","Biju Janata Dal",NABARANGPUR,ODISHA,31.6996
"PRASUN BANERJEE","All India Trinamool Congress","MALDAHA UTTAR","WEST BENGAL",31.6957
"V. VASEEF","Communist Party of India  (Marxist)",MALAPPURAM,KERALA,31.6894
"V  MURALEEDHARAN","Bharatiya Janata Party",ATTINGAL,KERALA,31.6417
"NAINAR NAGENTHRAN","Bharatiya Janata Party",TIRUNELVELI,"TAMIL NADU",31.5403
"JADHAV PRATAPRAO GANPATRAO","Shiv Sena",BULDHANA,MAHARASHTRA,31.5339
"SRINIVAS GOMASE","Bharatiya Janata Party",PEDDAPALLE,TELANGANA,31.4274
"SUKHRAMBHAI HARIYABHAI RATHWA","Indian National Congress","CHHOTA UDAIPUR",GUJARAT,31.3801
"AC SHANMUGAM","Bharatiya Janata Party",VELLORE,"TAMIL NADU",31.2530
"MURTOJA HOSSAIN BOKUL","Indian National Congress",JANGIPUR,"WEST BENGAL",31.2339
"SUDAM MARNDI","Biju Janata Dal",MAYURBHANJ,ODISHA,31.2284
"NEELAM MADHU","Indian National Congress",MEDAK,TELANGANA,31.1691
"BHUSHAN PATIL","Indian National Congress","MUMBAI NORTH",MAHARASHTRA,31.1483
"DILIP SINGH GURJAR","Indian National Congress",MANDSOUR,"MADHYA PRADESH",31.0505
"CHANDRAKANT KHAIRE","Shiv Sena (Uddhav Balasaheb Thackrey)",AURANGABAD,MAHARASHTRA,31.0240
"PATNAM SUNEETHA MAHENDER REDDY","Indian National Congress",MALKAJGIRI,TELANGANA,31.0039
"RAMAKANT KHALAP","Indian National Congress","NORTH GOA",GOA,30.9880
"ADV V S SUNILKUMAR","Communist Party of India",THRISSUR,KERALA,30.9524
"NEELAM ABHAY MISHRA","Indian National Congress",REWA,"MADHYA PRADESH",30.9417
"PANNEERSELVAM O S/O OTTAKARATHEVAR",Independent,RAMANATHAPURAM,"TAMIL NADU",30.8944
"AJIT RAMJIBHAI MAHALA","Indian National Congress","DADAR & NAGAR HAVELI","DADRA & NAGAR HAVELI AND DAMAN & DIU",30.8822
"REKHA PATRA","Bharatiya Janata Party",BASIRHAT,"WEST BENGAL",30.8661
"LAMBODAR NIAL","Biju Janata Dal",KALAHANDI,ODISHA,30.7657
"DILIP KUMAR TIRKEY","Biju Janata Dal",SUNDARGARH,ODISHA,30.7563
"GURPREET SINGH GP","Aam Aadmi Party","FATEHGARH SAHIB",PUNJAB,30.6274
"SHRIRAM DAYARAM PATIL","Nationalist Congress Party – Sharadchandra Pawar",RAVER,MAHARASHTRA,30.6142
SHIVRAM,"Indian National Congress",BULANDSHAHR,"UTTAR PRADESH",30.5554
"SANJAY SHARMA SANJU BHAIYA","Indian National Congress",HOSHANGABAD,"MADHYA PRADESH",30.4436
"AMRINDER SINGH RAJA WARRING","Indian National Congress",LUDHIANA,PUNJAB,30.4227
"BHARATH  PRASAD POTHUGANTI","Bharatiya Janata Party",NAGARKURNOOL,TELANGANA,30.4012
"BHARTI BHARAT KAMDI","Shiv Sena (Uddhav Balasaheb Thackrey)",PALGHAR,MAHARASHTRA,30.3718
"ARUNACHALAM P.","All India Anna Dravida Munnetra Kazhagam",TIRUPPUR,"TAMIL NADU",30.3541
"VINOD KUMAR SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",KODARMA,JHARKHAND,30.2667
"K MURALEEDHARAN","Indian National Congress",THRISSUR,KERALA,30.0789
"MADHAVI LATHA KOMPELLA","Bharatiya Janata Party",HYDERABAD,TELANGANA,29.9812
"VIKAS UPADHYAY","Indian National Congress",RAIPUR,CHHATTISGARH,29.9395
"JAI PRAKASH BHAI PATEL","Indian National Congress",HAZARIBAGH,JHARKHAND,29.8835
"MUJAHID ALAM","Janata Dal  (United)",KISHANGANJ,BIHAR,29.8113
"ASHOK KUMAR","All India Anna Dravida Munnetra Kazhagam",ERODE,"TAMIL NADU",29.7939
