CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTE_SHARE
"DR. PRABHA MALLIKARJUN","Indian National Congress",DAVANAGERE,KARNATAKA,47.9456
"AZAD KIRTI JHA","All India Trinamool Congress",BARDHAMAN-DURGAPUR,"WEST BENGAL",47.9877
"ARVIND DHARMAPURI","Bharatiya Janata Party",NIZAMABAD,TELANGANA,48.0161
"DR. SHARMILA SARKAR","All India Trinamool Congress","BARDHAMAN PURBA","WEST BENGAL",48.1064
"DR. ALOK KUMAR SUMAN","Janata Dal  (United)",GOPALGANJ,BIHAR,48.1517
"MOHMAD HANEEFA",Independent,LADAKH,LADAKH,48.1531
"SHANTANU THAKUR","Bharatiya Janata Party",BANGAON,"WEST BENGAL",48.1884
"DHARMENDRA YADAV","Samajwadi Party",AZAMGARH,"UTTAR PRADESH",48.1962
"RAKESH RATHOR","Indian National Congress",SITAPUR,"UTTAR PRADESH",48.1970
"HANUMAN BENIWAL","Rashtriya Loktantrik Party",NAGAUR,RAJASTHAN,48.2009
"BAIJAYANT PANDA","Bharatiya Janata Party",KENDRAPARA,ODISHA,48.2109
"MANISH TEWARI","Indian National Congress",CHANDIGARH,CHANDIGARH,48.2237
"SUDAMA PRASAD","Communist Party of India  (Marxist-Leninist)  (Liberation)",ARRAH,BIHAR,48.2766
"RAJIV RANJAN SINGH ALIAS LALAN SINGH","Janata Dal  (United)",MUNGER,BIHAR,48.2974
"ALFRED KANNGAM S ARTHUR","Indian National Congress","OUTER MANIPUR",MANIPUR,48.3164
"DILESHWAR KAMAIT","Janata Dal  (United)",SUPAUL,BIHAR,48.3333
"KONDA VISHWESHWAR REDDY","Bharatiya Janata Party",CHEVELLA,TELANGANA,48.3409
"CAPTAIN  VIRIATO FERNANDES","Indian National Congress","SOUTH GOA",GOA,48.3521
"SHASHANK MANI","Bharatiya Janata Party",DEORIA,"UTTAR PRADESH",48.3597
"P V MIDHUN REDDY","Yuvajana Sramika Rythu Congress Party",RAJAMPET,"ANDHRA PRADESH",48.3776
"VEENA DEVI","Lok Janshakti Party(Ram Vilas)",VAISHALI,BIHAR,48.3800
