CANDIDATE,PARTY,CONSTITUENCY,STATE,WINNER_VOTES
"PROF S P SINGH BAGHEL","Bharatiya Janata Party",AGRA,"UTTAR PRADESH",599397
"PRADEEP KUMAR SINGH","Bharatiya Janata Party",ARARIA,BIHAR,600146
"DR. HEMANT VISHNU SAVARA","Bharatiya Janata Party",PALGHAR,MAHARASHTRA,601244
"JADHAV SANJAY ( BANDU ) HARIBHAU","Shiv Sena (Uddhav Balasaheb Thackrey)",PARBHANI,MAHARASHTRA,601343
"ARUN NEHRU","Dravida Munnetra Kazhagam",PERAMBALUR,"TAMIL NADU",603209
"Y. S. AVINASH REDDY","Yuvajana Sramika Rythu Congress Party",KADAPA,"ANDHRA PRADESH",605143
"SHATRUGHAN PRASAD SINHA","All India Trinamool Congress",ASANSOL,"WEST BENGAL",605645
"ANURAG SINGH THAKUR","Bharatiya Janata Party",HAMIRPUR,"HIMACHAL PRADESH",607068
"JITIN PRASADA","Bharatiya Janata Party",PILIBHIT,"UTTAR PRADESH",607158
"KALYAN VAIJINATHRAO KALE","Indian National Congress",JALNA,MAHARASHTRA,607897
"MANSUKHBHAI DHANJIBHAI VASAVA","Bharatiya Janata Party",BHARUCH,GUJARAT,608157
"DR. KALGE SHIVAJI BANDAPPA","Indian National Congress",LATUR,MAHARASHTRA,609021
"DINESHBHAI MAKWANA (ADVOCATE)","Bharatiya Janata Party","AHMEDABAD WEST",GUJARAT,611704
"MITESH PATEL (BAKABHAI)","Bharatiya Janata Party",ANAND,GUJARAT,612484
"RAJ NATH SINGH","Bharatiya Janata Party",LUCKNOW,"UTTAR PRADESH",612709
"BALRAM NAIK PORIKA","Indian National Congress",MAHABUBABAD,TELANGANA,612774
"NARENDRA MODI","Bharatiya Janata Party",VARANASI,"UTTAR PRADESH",612970
"Shyamkumar (Babalu) Daulat Barve","Indian National Congress",RAMTEK,MAHARASHTRA,613025
"MISHA BHARTI","Rashtriya Janata Dal",PATLIPUTRA,BIHAR,613283
"VIJAY KUMAR HANSDAK","Jharkhand Mukti Morcha",RAJMAHAL,JHARKHAND,613371
"MALA ROY","All India Trinamool Congress","KOLKATA DAKSHIN","WEST BENGAL",615274
"BAIJAYANT PANDA","Bharatiya Janata Party",KENDRAPARA,ODISHA,615705
"CHIRAG PASWAN","Lok Janshakti Party(Ram Vilas)",HAJIPUR,BIHAR,615718
"SWAMI SACHCHIDANAND HARI SAKSHI","Bharatiya Janata Party",UNNAO,"UTTAR PRADESH",616133
"RAJABHAU (PARAG) PRAKASH WAJE","Shiv Sena (Uddhav Balasaheb Thackrey)",NASHIK,MAHARASHTRA,616729
"SANGEETA KUMARI SINGH DEO","Bharatiya Janata Party",BOLANGIR,ODISHA,617744
"DR. KIRSAN  NAMDEO","Indian National Congress",GADCHIROLI,MAHARASHTRA,617792
"RAO RAJENDRA SINGH","Bharatiya Janata Party","JAIPUR RURAL",RAJASTHAN,617877
"RAJ BHUSHAN CHOUDHARY","Bharatiya Janata Party",MUZAFFARPUR,BIHAR,619749
"POONAMBEN HEMATBHAI MAADAM","Bharatiya Janata Party",JAMNAGAR,GUJARAT,620049
"PRANITI SUSHILKUMAR SHINDE","Indian National Congress",SOLAPUR,MAHARASHTRA,620225
"MOHITE-PATIL DHAIRYASHEEL RAJSINH","Nationalist Congress Party – Sharadchandra Pawar",MADHA,MAHARASHTRA,622213
"HARISH CHANDRA MEENA","Indian National Congress","TONK-SAWAI MADHOPUR",RAJASTHAN,623763
"NILESH DNYANDEV LANKE","Nationalist Congress Party – Sharadchandra Pawar",AHMEDNAGAR,MAHARASHTRA,624797
"PRASUN BANERJEE","All India Trinamool Congress",HOWRAH,"WEST BENGAL",626493
"MAHUA MOITRA","All India Trinamool Congress",KRISHNANAGAR,"WEST BENGAL",628789
"CHAMALA KIRAN KUMAR REDDY","Indian National Congress",BHONGIR,TELANGANA,629143
"SAMBIT PATRA","Bharatiya Janata Party",PURI,ODISHA,629330
"KHADSE RAKSHA NIKHIL","Bharatiya Janata Party",RAVER,MAHARASHTRA,630879
"BHUPENDER YADAV","Bharatiya Janata Party",ALWAR,RAJASTHAN,631992
"GURUMOORTHY MADDILA","Yuvajana Sramika Rythu Congress Party",THIRUPATHI,"ANDHRA PRADESH",632228
"DR RAJEEV BHARDWAJ","Bharatiya Janata Party",KANGRA,"HIMACHAL PRADESH",632793
"DR. PRABHA MALLIKARJUN","Indian National Congress",DAVANAGERE,KARNATAKA,633059
"DR. MANSUKH MANDAVIYA","Bharatiya Janata Party",PORBANDAR,GUJARAT,633118
"RUCHI VIRA","Samajwadi Party",MORADABAD,"UTTAR PRADESH",637363
"DINESH CHANDRA YADAV","Janata Dal  (United)",MADHEPURA,BIHAR,640649
"ARUP CHAKRABORTY","All India Trinamool Congress",BANKURA,"WEST BENGAL",641813
"AKHILESH YADAV","Samajwadi Party",KANNAUJ,"UTTAR PRADESH",642292
"E.T.  MOHAMMED BASHEER","Indian Union Muslim League",MALAPPURAM,KERALA,644006
"BUNTY VIVEK SAHU","Bharatiya Janata Party",CHHINDWARA,"MADHYA PRADESH",644738
"P V MIDHUN REDDY","Yuvajana Sramika Rythu Congress Party",RAJAMPET,"ANDHRA PRADESH",644844
"MURARI LAL MEENA","Indian National Congress",DAUSA,RAJASTHAN,646266
"RAHUL GANDHI","Indian National Congress",WAYANAD,KERALA,647445
"GIRIRAJ SINGH","Bharatiya Janata Party",BEGUSARAI,BIHAR,649331
RADHAKRISHNA,"Indian National Congress",GULBARGA,KARNATAKA,652321
"PARIMAL SUKLABAIDYA","Bharatiya Janata Party",SILCHAR,ASSAM,652405
"TRIVENDRA SINGH RAWAT","Bharatiya Janata Party",HARIDWAR,UTTARAKHAND,653808
"MANISH JAISWAL","Bharatiya Janata Party",HAZARIBAGH,JHARKHAND,654613
"NITIN JAIRAM GADKARI","Bharatiya Janata Party",NAGPUR,MAHARASHTRA,655027
"BASTIPATI NAGARAJU PANCHALINGALA","Telugu Desam",KURNOOLU,"ANDHRA PRADESH",658914
"P C MOHAN","Bharatiya Janata Party","BANGALORE CENTRAL",KARNATAKA,658915
AMRARAM,"Communist Party of India  (Marxist)",SIKAR,RAJASTHAN,659300
"CHAVDA VINOD LAKHAMSHI","Bharatiya Janata Party",KACHCHH,GUJARAT,659574
"ASADUDDIN OWAISI","All India Majlis-E-Ittehadul Muslimeen",HYDERABAD,TELANGANA,661981
"PRADAN BARUAH","Bharatiya Janata Party",LAKHIMPUR,ASSAM,663122
"K. RAJASHEKAR BASAVARAJ HITNAL","Indian National Congress",KOPPAL,KARNATAKA,663511
"VARUN CHAUDHRY","Indian National Congress",AMBALA,HARYANA,663657
"SANJAY SETH","Bharatiya Janata Party",RANCHI,JHARKHAND,664732
"HARSH MALHOTRA","Bharatiya Janata Party","EAST DELHI",DELHI,664819
"SAGAR ESHWAR KHANDRE","Indian National Congress",BIDAR,KARNATAKA,666317
"R.K. CHAUDHARY","Samajwadi Party",MOHANLALGANJ,"UTTAR PRADESH",667869
"CHANDUBHAI CHHAGANBHAI SHIHORA","Bharatiya Janata Party",SURENDRANAGAR,GUJARAT,669749
"SACHITHANANTHAM R","Communist Party of India  (Marxist)",DINDIGUL,"TAMIL NADU",670149
"G. KUMAR NAIK.","Indian National Congress",RAICHUR,KARNATAKA,670966
"GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.","Bharatiya Janata Party",BAGALKOT,KARNATAKA,671039
"BHARAT SINGH KUSHWAH","Bharatiya Janata Party",GWALIOR,"MADHYA PRADESH",671535
"GENIBEN NAGAJI THAKOR","Indian National Congress",BANASKANTHA,GUJARAT,671883
"RAMESH JIGAJINAGI","Bharatiya Janata Party",BIJAPUR,KARNATAKA,672781
"SHREYAS. M. PATEL","Indian National Congress",HASSAN,KARNATAKA,672988
"KALYAN BANERJEE","All India Trinamool Congress",SRERAMPUR,"WEST BENGAL",673970
"SMITA UDAY WAGH","Bharatiya Janata Party",JALGAON,MAHARASHTRA,674428
"SHOBHANABEN MAHENDRASINH BARAIYA","Bharatiya Janata Party",SABARKANTHA,GUJARAT,677318
"KAMLESH JANGDE","Bharatiya Janata Party",JANJGIR-CHAMPA,CHHATTISGARH,678199
"RAJU BISTA","Bharatiya Janata Party",DARJEELING,"WEST BENGAL",679331
"KHAN SAUMITRA","Bharatiya Janata Party",BISHNUPUR,"WEST BENGAL",680130
"PIYUSH GOYAL","Bharatiya Janata Party","MUMBAI NORTH",MAHARASHTRA,680146
"ABU TAHER KHAN","All India Trinamool Congress",MURSHIDABAD,"WEST BENGAL",682442
"BAJRANG MANOHAR SONWANE","Nationalist Congress Party – Sharadchandra Pawar",BEED,MAHARASHTRA,683950
"GOVIND MAKTHAPPA KARJOL","Bharatiya Janata Party",CHITRADURGA,KARNATAKA,684890
"HARIBHAI PATEL","Bharatiya Janata Party",MAHESANA,GUJARAT,686406
"JUGAL KISHORE","Bharatiya Janata Party",JAMMU,"JAMMU & KASHMIR",687588
"RAHUL GANDHI","Indian National Congress","RAE BARELI","UTTAR PRADESH",687649
"JASWANTSINH SUMANBHAI BHABHOR","Bharatiya Janata Party",DAHOD,GUJARAT,688715
"ANURAG SHARMA","Bharatiya Janata Party",JHANSI,"UTTAR PRADESH",690316
"M. MALLESH BABU","Janata Dal  (Secular)",KOLAR,KARNATAKA,691481
"KAKOLI GHOSH DASTIDAR","All India Trinamool Congress",BARASAT,"WEST BENGAL",692010
"RAMVIR SINGH BIDHURI","Bharatiya Janata Party","SOUTH DELHI",DELHI,692832
"SHRIRANG APPA CHANDU BARNE","Shiv Sena",MAVAL,MAHARASHTRA,692832
"NISHIKANT DUBEY","Bharatiya Janata Party",GODDA,JHARKHAND,693140
"SARBANANDA SONOWAL","Bharatiya Janata Party",DIBRUGARH,ASSAM,693762
"MANOJ TIGGA","Bharatiya Janata Party",ALIPURDUARS,"WEST BENGAL",695314
"DR. AMOL RAMSING KOLHE","Nationalist Congress Party – Sharadchandra Pawar",SHIRUR,MAHARASHTRA,698692
"DR BYREDDY SHABARI","Telugu Desam",NANDYAL,"ANDHRA PRADESH",701131
"MAGUNTA SREENIVASULU REDDY","Telugu Desam",ONGOLE,"ANDHRA PRADESH",701894
"JUNE MALIAH","All India Trinamool Congress",MEDINIPUR,"WEST BENGAL",702192
"RACHNA BANERJEE","All India Trinamool Congress",HOOGHLY,"WEST BENGAL",702744
"ROOP KUMARI CHOUDHARY","Bharatiya Janata Party",MAHASAMUND,CHHATTISGARH,703659
"UMMEDA RAM BENIWAL","Indian National Congress",BARMER,RAJASTHAN,704676
"BASAVARAJ BOMMAI","Bharatiya Janata Party",HAVERI,KARNATAKA,705538
"BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA)","Bharatiya Janata Party",NARSAPURAM,"ANDHRA PRADESH",707343
"RAHUL SINGH LODHI","Bharatiya Janata Party",DAMOH,"MADHYA PRADESH",709768
"SMT. HIMADRI SINGH","Bharatiya Janata Party",SHAHDOL,"MADHYA PRADESH",711143
"SANTOSH PANDEY","Bharatiya Janata Party",RAJNANDGAON,CHHATTISGARH,712057
"BAG MITALI","All India Trinamool Congress",ARAMBAGH,"WEST BENGAL",712587
"BHARTI PARDHI","Bharatiya Janata Party",BALAGHAT,"MADHYA PRADESH",712660
"CHINTAMANI MAHARAJ","Bharatiya Janata Party",SURGUJA,CHHATTISGARH,713200
"PRIYANKA SATISH JARKIHOLI","Indian National Congress",CHIKKODI,KARNATAKA,713461
"DR. VIRENDRA KUMAR","Bharatiya Janata Party",TIKAMGARH,"MADHYA PRADESH",715050
"PRALHAD JOSHI","Bharatiya Janata Party",DHARWAD,KARNATAKA,716231
"PRADEEP PUROHIT","Bharatiya Janata Party",BARGARH,ODISHA,716359
"NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA)","Bharatiya Janata Party",BHAVNAGAR,GUJARAT,716883
"KRISHNA PRASAD TENNETI","Telugu Desam",BAPATLA,"ANDHRA PRADESH",717493
"SAYANI GHOSH","All India Trinamool Congress",JADAVPUR,"WEST BENGAL",717899
"SATABDI ROY","All India Trinamool Congress",BIRBHUM,"WEST BENGAL",717961
"DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU","Indian National Congress",CHANDRAPUR,MAHARASHTRA,718410
"SHANTANU THAKUR","Bharatiya Janata Party",BANGAON,"WEST BENGAL",719505
"TANUJ PUNIA","Indian National Congress",BARABANKI,"UTTAR PRADESH",719927
"DR. SHARMILA SARKAR","All India Trinamool Congress","BARDHAMAN PURBA","WEST BENGAL",720302
"AZAD KIRTI JHA","All India Trinamool Congress",BARDHAMAN-DURGAPUR,"WEST BENGAL",720667
"V. SOMANNA","Bharatiya Janata Party",TUMKUR,KARNATAKA,720946
"BALASHOWRY VALLABHANENI","Janasena Party",MACHILIPATNAM,"ANDHRA PRADESH",724439
"SAJDA AHMED","All India Trinamool Congress",ULUBERIA,"WEST BENGAL",724622
"TOKHAN SAHU","Bharatiya Janata Party",BILASPUR,CHHATTISGARH,724937
"B K PARTHASARATHI","Telugu Desam",HINDUPUR,"ANDHRA PRADESH",725534
"BIDYUT BARAN MAHATO","Bharatiya Janata Party",JAMSHEDPUR,JHARKHAND,726174
"KULDEEP INDORA","Indian National Congress",GANGANAGAR,RAJASTHAN,726492
"DAGGUBATI PURANDHESHWARI","Bharatiya Janata Party",RAJAHMUNDRY,"ANDHRA PRADESH",726515
"RAHUL KASWAN","Indian National Congress",CHURU,RAJASTHAN,728211
"TANGELLA UDAY SRINIVAS  (TEA TIME UDAY)","Janasena Party",KAKINADA,"ANDHRA PRADESH",729699
"GAJENDRA SINGH SHEKHAWAT","Bharatiya Janata Party",JODHPUR,RAJASTHAN,730056
"E. TUKARAM","Indian National Congress",BELLARY,KARNATAKA,730845
"KOTA SRINIVAS POOJARY","Bharatiya Janata Party","UDUPI CHIKMAGALUR",KARNATAKA,732234
"SUPRIYA SULE","Nationalist Congress Party – Sharadchandra Pawar",BARAMATI,MAHARASHTRA,732312
SELJA,"Indian National Congress",SIRSA,HARYANA,733823
"NARESH GANPAT MHASKE","Shiv Sena",THANE,MAHARASHTRA,734231
"MANNA LAL RAWAT","Bharatiya Janata Party",UDAIPUR,RAJASTHAN,738286
"MANOHAR LAL","Bharatiya Janata Party",KARNAL,HARYANA,739285
"APPALANAIDU KALISETTI","Telugu Desam",VIZIANAGARAM,"ANDHRA PRADESH",743113
"KALIPADA SAREN (KHERWAL)","All India Trinamool Congress",JHARGRAM,"WEST BENGAL",743478
"DEVUSINH CHAUHAN","Bharatiya Janata Party",KHEDA,GUJARAT,744435
"ADV GOWAAL KAGADA PADAVI","Indian National Congress",NANDURBAR,MAHARASHTRA,745998
"PUTTA MAHESH KUMAR","Telugu Desam",ELURU,"ANDHRA PRADESH",746351
"BHAGIRATH CHOUDHARY","Bharatiya Janata Party",AJMER,RAJASTHAN,747462
"OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR","Shiv Sena (Uddhav Balasaheb Thackrey)",OSMANABAD,MAHARASHTRA,748752
"OM BIRLA","Bharatiya Janata Party",KOTA,RAJASTHAN,750496
"TEJASVI SURYA","Bharatiya Janata Party","BANGALORE SOUTH",KARNATAKA,750830
"FAGGAN SINGH KULASTE","Bharatiya Janata Party",MANDLA,"MADHYA PRADESH",751375
"SUNIL BOSE","Indian National Congress",CHAMARAJANAGAR,KARNATAKA,751671
"GAURAV GOGOI","Indian National Congress",JORHAT,ASSAM,751771
"KINJARAPU RAMMOHAN NAIDU","Telugu Desam",SRIKAKULAM,"ANDHRA PRADESH",754328
"CHHATRAPATI SHAHU SHAHAJI","Indian National Congress",KOLHAPUR,MAHARASHTRA,754522
"BAPI HALDAR","All India Trinamool Congress",MATHURAPUR,"WEST BENGAL",755731
"P. P. CHAUDHARY","Bharatiya Janata Party",PALI,RAJASTHAN,757389
"T R BAALU","Dravida Munnetra Kazhagam",SRIPERUMBUDUR,"TAMIL NADU",758611
"RODMAL NAGAR","Bharatiya Janata Party",RAJGARH,"MADHYA PRADESH",758743
"JAGADISH SHETTAR","Bharatiya Janata Party",BELGAUM,KARNATAKA,762029
C.M.RAMESH,"Bharatiya Janata Party",ANAKAPALLE,"ANDHRA PRADESH",762069
"ADHIKARI SOUMENDU","Bharatiya Janata Party",KANTHI,"WEST BENGAL",763195
"PARBHUBHAI NAGARBHAI VASAVA","Bharatiya Janata Party",BARDOLI,GUJARAT,763950
"CAPTAIN BRIJESH CHOWTA","Bharatiya Janata Party","DAKSHINA KANNADA",KARNATAKA,764132
"DHAVAL LAXMANBHAI  PATEL","Bharatiya Janata Party",VALSAD,GUJARAT,764226
"ABHIJIT GANGOPADHYAY","Bharatiya Janata Party",TAMLUK,"WEST BENGAL",765584
"PRABHAKAR REDDY VEMIREDDY","Telugu Desam",NELLORE,"ANDHRA PRADESH",766202
"DR JAYANTA KUMAR ROY","Bharatiya Janata Party",JALPAIGURI,"WEST BENGAL",766568
"RAMASAHAYAM RAGHURAM REDDY","Indian National Congress",KHAMMAM,TELANGANA,766929
"AMBICA G LAKSHMINARAYANA VALMIKI","Telugu Desam",ANANTHAPUR,"ANDHRA PRADESH",768245
"VISHNU DAYAL RAM","Bharatiya Janata Party",PALAMAU,JHARKHAND,770362
"HASMUKHBHAI PATEL (H.S.PATEL)","Bharatiya Janata Party","AHMEDABAD EAST",GUJARAT,770459
"AJAY BHATT","Bharatiya Janata Party","NAINITAL-UDHAMSINGH NAGAR",UTTARAKHAND,772671
"VISHNU DATT SHARMA (V.D.SHARMA)","Bharatiya Janata Party",KHAJURAHO,"MADHYA PRADESH",772774
"RANJIT DUTTA","Bharatiya Janata Party",SONITPUR,ASSAM,775788
"KRITI DEVI DEBBARMAN","Bharatiya Janata Party","TRIPURA EAST",TRIPURA,777447
"DAGGUMALLA PRASADA RAO","Telugu Desam",CHITTOOR,"ANDHRA PRADESH",778071
B.Y.RAGHAVENDRA,"Bharatiya Janata Party",SHIMOGA,KARNATAKA,778721
"MAHIMA KUMARI MEWAR","Bharatiya Janata Party",RAJSAMAND,RAJASTHAN,781203
"JAGANNATH SARKAR","Bharatiya Janata Party",RANAGHAT,"WEST BENGAL",782396
"VISHWESHWAR HEGDE KAGERI","Bharatiya Janata Party","UTTARA KANNADA",KARNATAKA,782495
"DEEPENDER SINGH HOODA","Indian National Congress",ROHTAK,HARYANA,783578
"KUNDURU RAGHUVEER","Indian National Congress",NALGONDA,TELANGANA,784337
"DR. LATA WANKHEDE","Bharatiya Janata Party",SAGAR,"MADHYA PRADESH",787979
"JAGADISH CHANDRA BARMA BASUNIA","All India Trinamool Congress",COOCHBEHAR,"WEST BENGAL",788375
"KRISHAN PAL","Bharatiya Janata Party",FARIDABAD,HARYANA,788569
"PRADYUT BORDOLOI","Indian National Congress",NAGAON,ASSAM,788850
"DULU MAHATO","Bharatiya Janata Party",DHANBAD,JHARKHAND,789172
"ASHISH DUBEY","Bharatiya Janata Party",JABALPUR,"MADHYA PRADESH",790133
"ANNPURNA DEVI","Bharatiya Janata Party",KODARMA,JHARKHAND,791657
"KESINENI SIVANATH (CHINNI)","Telugu Desam",VIJAYAWADA,"ANDHRA PRADESH",794154
"SAVITRI THAKUR","Bharatiya Janata Party",DHAR,"MADHYA PRADESH",794449
"RAJPALSINH MAHENDRASINH JADAV","Bharatiya Janata Party",PANCHMAHAL,GUJARAT,794579
"YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","Bharatiya Janata Party",MYSORE,KARNATAKA,795503
"ANITA NAGARSINGH CHOUHAN","Bharatiya Janata Party",RATLAM,"MADHYA PRADESH",795863
"JASHUBHAI BHILUBHAI RATHVA","Bharatiya Janata Party","CHHOTA UDAIPUR",GUJARAT,796589
LUMBARAM,"Bharatiya Janata Party",JALORE,RAJASTHAN,796783
"Sasikanth Senthil","Indian National Congress",TIRUVALLUR,"TAMIL NADU",796956
"G M HARISH (BALAYOGI)","Telugu Desam",AMALAPURAM,"ANDHRA PRADESH",796981
"SK NURUL ISLAM","All India Trinamool Congress",BASIRHAT,"WEST BENGAL",803762
"DAMODAR AGARWAL","Bharatiya Janata Party",BHILWARA,RAJASTHAN,807640
"LAVU SRIKRISHNA DEVARAYALU","Telugu Desam",NARSARAOPET,"ANDHRA PRADESH",807996
"RADHESHYAM RATHIYA","Bharatiya Janata Party",RAIGARH,CHHATTISGARH,808275
"RAO INDERJIT SINGH","Bharatiya Janata Party",GURGAON,HARYANA,808336
"KONDA VISHWESHWAR REDDY","Bharatiya Janata Party",CHEVELLA,TELANGANA,809882
"DARSHAN SINGH CHOUDHARY","Bharatiya Janata Party",HOSHANGABAD,"MADHYA PRADESH",812147
"GAJENDRA SINGH PATEL","Bharatiya Janata Party",KHARGONE,"MADHYA PRADESH",819863
"RAJ KUMAR ROAT","Bharat Adivasi Party",BANSWARA,RAJASTHAN,820831
DR.K.SUDHAKAR,"Bharatiya Janata Party",CHIKKBALLAPUR,KARNATAKA,822619
"MANOJ TIWARI","Bharatiya Janata Party","NORTH-EAST DELHI",DELHI,824451
"ANIL FIROJIYA","Bharatiya Janata Party",UJJAIN,"MADHYA PRADESH",836104
"ADHIKARI DEEPAK (DEV)","All India Trinamool Congress",GHATAL,"WEST BENGAL",837990
"KAMALJEET SEHRAWAT","Bharatiya Janata Party","WEST DELHI",DELHI,842658
"DURGADAS (D. D.) UIKEY","Bharatiya Janata Party",BETUL,"MADHYA PRADESH",848236
"H.D. KUMARASWAMY","Janata Dal  (Secular)",MANDYA,KARNATAKA,851881
"ATUL GARG","Bharatiya Janata Party",GHAZIABAD,"UTTAR PRADESH",854170
"ASIT KUMAR MAL","All India Trinamool Congress",BOLPUR,"WEST BENGAL",855633
"DR. MAHESH SHARMA","Bharatiya Janata Party","GAUTAM BUDDHA NAGAR","UTTAR PRADESH",857829
"PARSHOTTAMBHAI RUPALA","Bharatiya Janata Party",RAJKOT,GUJARAT,857984
"PHANI BHUSAN CHOUDHURY","Asom Gana Parishad",BARPETA,ASSAM,860113
"GYANESHWAR PATIL","Bharatiya Janata Party",KHANDWA,"MADHYA PRADESH",862679
"DR CHANDRA SEKHAR PEMMASANI","Telugu Desam",GUNTUR,"ANDHRA PRADESH",864948
"DUSHYANT SINGH","Bharatiya Janata Party",JHALAWAR-BARAN,RAJASTHAN,865376
"YOGENDER CHANDOLIYA","Bharatiya Janata Party","NORTH-WEST DELHI",DELHI,866483
"DILIP SAIKIA","Bharatiya Janata Party",DARRANG-UDALGURI,ASSAM,868387
"DR. HEMANG JOSHI","Bharatiya Janata Party",VADODARA,GUJARAT,873189
"BIPLAB KUMAR DEB","Bharatiya Janata Party","TRIPURA WEST",TRIPURA,881341
"MANJU SHARMA","Bharatiya Janata Party",JAIPUR,RAJASTHAN,886850
"CHANDRA PRAKASH JOSHI","Bharatiya Janata Party",CHITTORGARH,RAJASTHAN,888202
"PRATIMA MONDAL","All India Trinamool Congress",JOYNAGAR,"WEST BENGAL",894312
"BIJULI KALITA  MEDHI","Bharatiya Janata Party",GUWAHATI,ASSAM,894887
"KAMAKHYA PRASAD TASA","Bharatiya Janata Party",KAZIRANGA,ASSAM,897043
"SRIBHARAT MATHUKUMILI","Telugu Desam",VISAKHAPATNAM,"ANDHRA PRADESH",907467
"JYOTIRADITYA M. SCINDIA","Bharatiya Janata Party",GUNA,"MADHYA PRADESH",923302
"MAHENDRA SINGH SOLANKY","Bharatiya Janata Party",DEWAS,"MADHYA PRADESH",928941
"SUDHEER GUPTA","Bharatiya Janata Party",MANDSOUR,"MADHYA PRADESH",945761
"VIJAY BAGHEL","Bharatiya Janata Party",DURG,CHHATTISGARH,956497
"ALOK SHARMA","Bharatiya Janata Party",BHOPAL,"MADHYA PRADESH",981109
"SHOBHA KARANDLAJE","Bharatiya Janata Party","BANGALORE NORTH",KARNATAKA,986049
"EATALA RAJENDER","Bharatiya Janata Party",MALKAJGIRI,TELANGANA,991042
"AMIT SHAH","Bharatiya Janata Party",GANDHINAGAR,GUJARAT,1010972
"C R PATIL","Bharatiya Janata Party",NAVSARI,GUJARAT,1031065
"ABHISHEK BANERJEE","All India Trinamool Congress","DIAMOND HARBOUR","WEST BENGAL",1048230
"BRIJMOHAN AGRAWAL","Bharatiya Janata Party",RAIPUR,CHHATTISGARH,1050351
"DR C N MANJUNATH","Bharatiya Janata Party","BANGALORE RURAL",KARNATAKA,1079002
"SHIVRAJ SINGH CHOUHAN","Bharatiya Janata Party",VIDISHA,"MADHYA PRADESH",1116460
"SHANKAR LALWANI","Bharatiya Janata Party",INDORE,"MADHYA PRADESH",1226751
"RAKIBUL HUSSAIN","Indian National Congress",DHUBRI,ASSAM,1471885
