constituency_code,candidate,party,constituency,state,runner_votes
S22106,NALLASIVAM.N,Dravida Munnetra Kazhagam,GOBICHETTIPALAYAM,TAMIL NADU,65992
S22226,MARIA JOHN,Tamilaga Vettri Kazhagam,PALAYAMKOTTAI,TAMIL NADU,65939
S22170,S.PRABAKARAN,Tamilaga Vettri Kazhagam,THIRUVIDAIMARUDUR,TAMIL NADU,65835
S22125,RADHAKRISHNAN K.,All India Anna Dravida Munnetra Kazhagam,UDUMALAIPETTAI,TAMIL NADU,65667
S22130,NAGAJOTHI.S,Dravida Munnetra Kazhagam,NILAKKOTTAI,TAMIL NADU,65655
S2268,DUSI K MOHAN,Tamilaga Vettri Kazhagam,CHEYYAR,TAMIL NADU,65599
S2270,GINGEE MASTHAN K S,Dravida Munnetra Kazhagam,GINGEE,TAMIL NADU,65556
S2282,SELVABHARATHI. R.,Tamilaga Vettri Kazhagam,ATTUR,TAMIL NADU,65525
S22234,SABIN. S,Tamilaga Vettri Kazhagam,KILLIYOOR,TAMIL NADU,65123
S22121,V.SRINIDHI,Indian National Congress,SINGANALLUR,TAMIL NADU,65024
S2251,T M  TAMILSELVAM,All India Anna Dravida Munnetra Kazhagam,UTHANGARAI,TAMIL NADU,65003
S22180,K.M. SHARIFF,Tamilaga Vettri Kazhagam,PUDUKKOTTAI,TAMIL NADU,64958
S22198,PANDI.V,Tamilaga Vettri Kazhagam,ANDIPATTI,TAMIL NADU,64770
S22196,UDHAYAKUMAR.R.B,All India Anna Dravida Munnetra Kazhagam,THIRUMANGALAM,TAMIL NADU,64484
S22224,SUBRAMANIAN.S,Dravida Munnetra Kazhagam,TIRUNELVELI,TAMIL NADU,64426
S22101,INDIRANI.T,Dravida Munnetra Kazhagam,DHARAPURAM,TAMIL NADU,64373
S2240,V. RAMU,All India Anna Dravida Munnetra Kazhagam,KATPADI,TAMIL NADU,63998
S22158,PANDIAN. K.A,All India Anna Dravida Munnetra Kazhagam,CHIDAMBARAM,TAMIL NADU,63992
S22141,S. INIGO IRUDAYARAJ,Dravida Munnetra Kazhagam,TIRUCHIRAPPALLI,TAMIL NADU,63965
S22197,MAHENDRAN. I,All India Anna Dravida Munnetra Kazhagam,USILAMPATTI,TAMIL NADU,63938
S2257,GOPI. R.,Tamilaga Vettri Kazhagam,PALACODU,TAMIL NADU,63765
S22231,PREM ALEX LAWRENCE,Tamilaga Vettri Kazhagam,COLACHAL,TAMIL NADU,63374
S22183,RAMACHANDRAN . T,Indian National Congress,ARANTHANGI,TAMIL NADU,63182
S2272,ARJUNAN. P,All India Anna Dravida Munnetra Kazhagam,TINDIVANAM,TAMIL NADU,63099
S22102,MANI GOUNDER,Tamilaga Vettri Kazhagam,KANGAYAM,TAMIL NADU,62989
S2265,SARAVANAN. P.S.T,Dravida Munnetra Kazhagam,KALASAPAKKAM,TAMIL NADU,62889
S2242,G.VIJAY MOHAN,Tamilaga Vettri Kazhagam,ARCOT,TAMIL NADU,62888
S22214,P. GEETHA JEEVAN,Dravida Munnetra Kazhagam,THOOTHUKKUDI,TAMIL NADU,62805
S2249,MUNISAMY C,Tamilaga Vettri Kazhagam,JOLARPET,TAMIL NADU,62550
S22230,BERVIN KINGS G,Tamilaga Vettri Kazhagam,NAGERCOIL,TAMIL NADU,62310
S2235,EZHIL KATHARINE EZHILMALAI,Tamilaga Vettri Kazhagam,MADURANTAKAM,TAMIL NADU,62090
S2273,SURESH P,Tamilaga Vettri Kazhagam,VANUR,TAMIL NADU,61839
S22169,MOHAMED MUBARAK,Dravida Munnetra Kazhagam,NANNILAM,TAMIL NADU,61738
S22208,SAMAYAN.S,Tamilaga Vettri Kazhagam,TIRUCHULI,TAMIL NADU,61600
S22113,M.S.M.ANANDAN,All India Anna Dravida Munnetra Kazhagam,TIRUPPUR,TAMIL NADU,61409
S22223,K R P PRABAKARAN,All India Anna Dravida Munnetra Kazhagam,ALANGULAM,TAMIL NADU,61372
S22190,VENKATESAN.A,Dravida Munnetra Kazhagam,SHOLAVANDAN,TAMIL NADU,61229
S22166,PANDIYAN.S,Tamilaga Vettri Kazhagam,THIRUTHURAIPOONDI,TAMIL NADU,61140
S2295,MOORTHIY K S,Dravida Munnetra Kazhagam,PARAMATHI-VELUR,TAMIL NADU,61041
S22114,DINESHKUMAR. N,Dravida Munnetra Kazhagam,TIRUPPUR,TAMIL NADU,60892
S22218,BALASUBRAMANIAN.S,Tamilaga Vettri Kazhagam,KOVILPATTI,TAMIL NADU,60800
S22103,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,Dravida Munnetra Kazhagam,PERUNDURAI,TAMIL NADU,60609
S22151,RAJASEKAR A,Tamilaga Vettri Kazhagam,TITTAKUDI,TAMIL NADU,60477
S2269,RANI. P,All India Anna Dravida Munnetra Kazhagam,VANDAVASI,TAMIL NADU,60472
S2292,PREMKUMAR S D,Bharatiya Janata Party,RASIPURAM,TAMIL NADU,60297
S22207,KARTHIK KUMAR. K,Tamilaga Vettri Kazhagam,ARUPPUKKOTTAI,TAMIL NADU,60161
S2264,PITCHANDI.K,Dravida Munnetra Kazhagam,KILPENNATHUR,TAMIL NADU,60038
S22160,SAKTHI.M,All India Anna Dravida Munnetra Kazhagam,SIRKAZHI,TAMIL NADU,60032
S22136,DR. DHIVYA. S,All India Anna Dravida Munnetra Kazhagam,KRISHNARAYAPURAM,TAMIL NADU,58875
S22105,SIVABALAN.M,Dravida Munnetra Kazhagam,ANTHIYUR,TAMIL NADU,58782
S2281,CHINNADURAI. K,Dravida Munnetra Kazhagam,GANGAVALLI,TAMIL NADU,58763
S22186,SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,SIVAGANGA,TAMIL NADU,58656
S22227,RUBY.R.MANOHARAN,Indian National Congress,NANGUNERI,TAMIL NADU,58533
S22219,C. RAMARAJAN,Tamilaga Vettri Kazhagam,SANKARANKOVIL,TAMIL NADU,58376
S22100,S.KIRTHIKA,Bharatiya Janata Party,MODAKKURICHI,TAMIL NADU,58285
S2234,MOHAN RAJA.M.G.K,Tamilaga Vettri Kazhagam,CHEYYUR,TAMIL NADU,58141
S22143,KU PA KRISHNAN,Tamilaga Vettri Kazhagam,LALGUDI,TAMIL NADU,58056
S2290,LOGANATHAN. M,Dravida Munnetra Kazhagam,SALEM,TAMIL NADU,58002
S22177,GOVI.ELANGO,All India Anna Dravida Munnetra Kazhagam,PERAVURANI,TAMIL NADU,57757
S22228,APPAVU.M,Dravida Munnetra Kazhagam,RADHAPURAM,TAMIL NADU,57634
S22216,SHANMUGANATHAN. S. P,All India Anna Dravida Munnetra Kazhagam,SRIVAIKUNTAM,TAMIL NADU,57628
S22120,V. SENTHILKUMAR,Tamilaga Vettri Kazhagam,COIMBATORE,TAMIL NADU,57453
S22123,POLLACHI V. JAYARAMAN,All India Anna Dravida Munnetra Kazhagam,POLLACHI,TAMIL NADU,57386
S22188,A.MADURAIVEERAN,Tamilaga Vettri Kazhagam,MELUR,TAMIL NADU,57356
S22161,PALANISAMY. A   M.COM.,Pattali Makkal Katchi,MAYILADUTHURAI,TAMIL NADU,57166
S22203,MAHALINGAM.P,Communist Party of India,SRIVILLIPUTHUR,TAMIL NADU,57072
S22205,ASHOKAN G,Indian National Congress,SIVAKASI,TAMIL NADU,57039
S2250,NALLATHAMBI. A,Dravida Munnetra Kazhagam,TIRUPPATTUR,TAMIL NADU,56835
S22181,CHINTHAMANI.C,Tamilaga Vettri Kazhagam,THIRUMAYAM,TAMIL NADU,56709
S22146,E.SAROJA,All India Anna Dravida Munnetra Kazhagam,THURAIYUR,TAMIL NADU,56649
S2210,SUNDARARAJ. L,Communist Party of India (Marxist),THIRUVOTTIYUR,TAMIL NADU,56503
S22220,ANANTHAN AYYASAMY,Bharatiya Janata Party,VASUDEVANALLUR,TAMIL NADU,56462
S22204,NAINAR NAGENTHRAN,Bharatiya Janata Party,SATTUR,TAMIL NADU,56071
S2219,SELVAM. D,Tamilaga Vettri Kazhagam,CHEPAUK-THIRUVALLIKENI,TAMIL NADU,55852
S22209,GOPIRAJAN. G,Tamilaga Vettri Kazhagam,PARAMAKUDI,TAMIL NADU,55613
S22225,V.P.DURAI,Indian National Congress,AMBASAMUDRAM,TAMIL NADU,55344
S22155,A.S.CHANDARASEKARAN,Indian National Congress,CUDDALORE,TAMIL NADU,55337
S22184,MANGUDI. S,Indian National Congress,KARAIKUDI,TAMIL NADU,55284
S22202,THANGAPANDIAN. S,Dravida Munnetra Kazhagam,RAJAPALAYAM,TAMIL NADU,54943
S22191,G.THALAPATHI,Dravida Munnetra Kazhagam,MADURAI NORTH,TAMIL NADU,54815
S222,DURAI CHANDRASEKAR,Indian National Congress,PONNERI,TAMIL NADU,54671
S22126,C SHANMUGAVELU,Amma Makkal Munnettra Kazagam,MADATHUKULAM,TAMIL NADU,54490
S22206,VIJAYAPRABHAKAR,Desiya Murpokku Dravida Kazhagam,VIRUDHUNAGAR,TAMIL NADU,54262
S2245,JEGAN MOORTHY. M,All India Anna Dravida Munnetra Kazhagam,KILVAITHINANKUPPAM,TAMIL NADU,54050
S22145,N.S.KARUNAIRAAJA,Dravida Munnetra Kazhagam,MUSIRI,TAMIL NADU,53839
S22164,SENTHIL PANDIAN. P,Tamilaga Vettri Kazhagam,KILVELUR,TAMIL NADU,53830
S22232,KRISHNA KUMAR. S,Tamilaga Vettri Kazhagam,PADMANABHAPURAM,TAMIL NADU,53369
S22153,SABA.RAJENDRAN,Dravida Munnetra Kazhagam,NEYVELI,TAMIL NADU,52769
S2223,SUBRAMANIAN. MA,Dravida Munnetra Kazhagam,SAIDAPET,TAMIL NADU,52691
S22217,P.M.RAMAJEYAM,Dravida Munnetra Kazhagam,OTTAPIDARAM,TAMIL NADU,52542
S2271,VIJAY NIRANJAN A,Tamilaga Vettri Kazhagam,MAILAM,TAMIL NADU,52312
S22176,MATHAN C,Tamilaga Vettri Kazhagam,PATTUKKOTTAI,TAMIL NADU,52209
S22159,A. SOZHAN,Pattali Makkal Katchi,KATTUMANNARKOIL,TAMIL NADU,52116
S22182,KANDASAMY,Tamilaga Vettri Kazhagam,ALANGUDI,TAMIL NADU,51952
S22165,PUGAZHENDI. M,Dravida Munnetra Kazhagam,VEDARANYAM,TAMIL NADU,51841
S22175,DR. K. ARVIND,Tamilaga Vettri Kazhagam,ORATHANADU,TAMIL NADU,51731
S22134,KARTHIKEYAN. P,Tamilaga Vettri Kazhagam,ARAVAKURICHI,TAMIL NADU,51445
S22212,MALARVIZHI. B,Tamilaga Vettri Kazhagam,MUDHUKULATHUR,TAMIL NADU,51405
S2296,SRMT SEKAR (A) CHANDRASEKAR R,All India Anna Dravida Munnetra Kazhagam,TIRUCHENGODU,TAMIL NADU,51328
S2286,PREMKUMAR. K,Independent,EDAPPADI,TAMIL NADU,50823
S2238,EZHIL CAROLINE,Viduthalai Chiruthaigal Katchi,ARAKKONAM,TAMIL NADU,50655
S22213,P. KASIRAM,Tamilaga Vettri Kazhagam,VILATHIKULAM,TAMIL NADU,50167
S2221,N.CHITRARASU,Dravida Munnetra Kazhagam,ANNA NAGAR,TAMIL NADU,50012
S22128,VIDIYAL S. SEKAR,Bharatiya Janata Party,ODDANCHATRAM,TAMIL NADU,49850
S22233,MICHAEL KUMAR K,Tamilaga Vettri Kazhagam,VILAVANCODE,TAMIL NADU,49785
S2214,KARTHIK MOHAN,Dravida Munnetra Kazhagam,VILLIVAKKAM,TAMIL NADU,49143
S2222,PRABHAKARA RAJA.A.M.V,Dravida Munnetra Kazhagam,VIRUGAMPAKKAM,TAMIL NADU,49006
S2211,J. JOHN EBENEZER,Dravida Munnetra Kazhagam,DR.RADHAKRISHNAN NAGAR,TAMIL NADU,48132
S22178,C. UTHAYAKUMAR,Bharatiya Janata Party,GANDHARVAKOTTAI,TAMIL NADU,47756
S22108,IBRAHIM.R,Tamilaga Vettri Kazhagam,UDHAGAMANDALAM,TAMIL NADU,47512
S2226,ASHOK. M.K,All India Anna Dravida Munnetra Kazhagam,VELACHERY,TAMIL NADU,47125
S2215,K. S. RAVICHANDRAN,Dravida Munnetra Kazhagam,THIRU-VI-KA-NAGAR,TAMIL NADU,46792
S22163,M.SUGUMAR,Tamilaga Vettri Kazhagam,NAGAPATTINAM,TAMIL NADU,46524
S2298,GOPINATH PALANIYAPPAN,Indian National Congress,ERODE,TAMIL NADU,45781
S2288,KARTHE.M,Pattali Makkal Katchi,SALEM,TAMIL NADU,45540
S22124,DR. SRIDHARAN. A,Tamilaga Vettri Kazhagam,VALPARAI,TAMIL NADU,45300
S2217,DR. A. SUBAIR KHAN,Dravida Munnetra Kazhagam,ROYAPURAM,TAMIL NADU,44842
S22193,PALANIVEL THIAGA RAJAN,Dravida Munnetra Kazhagam,MADURAI CENTRAL,TAMIL NADU,44286
S2220,EZHILAN NAGANATHAN,Dravida Munnetra Kazhagam,THOUSAND LIGHTS,TAMIL NADU,43824
S22179,MURUGESAN. P,Tamilaga Vettri Kazhagam,VIRALIMALAI,TAMIL NADU,43700
S2216,TAMILAN PRASANNA,Dravida Munnetra Kazhagam,EGMORE,TAMIL NADU,43097
S22109,PON.JAYASEELAN,All India Anna Dravida Munnetra Kazhagam,GUDALUR,TAMIL NADU,42757
S22110,A. RAMU,All India Anna Dravida Munnetra Kazhagam,COONOOR,TAMIL NADU,42371
S2225,VELU. DHA,Dravida Munnetra Kazhagam,MYLAPORE,TAMIL NADU,41098
S22192,M.BOOMINATHAN,Dravida Munnetra Kazhagam,MADURAI SOUTH,TAMIL NADU,40886
S2224,SATHIYANARAYANAN B,All India Anna Dravida Munnetra Kazhagam,THIYAGARAYANAGAR,TAMIL NADU,38605
S2218,SINORA P S ASHOK,Tamilaga Vettri Kazhagam,HARBOUR,TAMIL NADU,33504
