constituency_code,candidate,party,constituency,state,winner_votes
S2285,VENKATACHALAM. G,All India Anna Dravida Munnetra Kazhagam,METTUR,TAMIL NADU,86498
S2268,MUKKUR N. SUBRAMANIAN,All India Anna Dravida Munnetra Kazhagam,CHEYYAR,TAMIL NADU,86680
S22175,R. VAITHILINGAM,Dravida Munnetra Kazhagam,ORATHANADU,TAMIL NADU,86759
S22148,SIVASANKAR. S.S,Dravida Munnetra Kazhagam,KUNNAM,TAMIL NADU,87237
S2287,VETRIVEL. S,All India Anna Dravida Munnetra Kazhagam,SANKARI,TAMIL NADU,87342
S22174,R. VIJAYSARAVANAN,Tamilaga Vettri Kazhagam,THANJAVUR,TAMIL NADU,87705
S2283,USHARANI. P,All India Anna Dravida Munnetra Kazhagam,YERCAUD,TAMIL NADU,87772
S2262,S.VELU,All India Anna Dravida Munnetra Kazhagam,CHENGAM,TAMIL NADU,87802
S22140,K.N.NEHRU,Dravida Munnetra Kazhagam,TIRUCHIRAPPALLI,TAMIL NADU,88235
S22194,THANGAPANDI SR,Tamilaga Vettri Kazhagam,MADURAI WEST,TAMIL NADU,88250
S2263,VELU. E.V,Dravida Munnetra Kazhagam,TIRUVANNAMALAI,TAMIL NADU,88273
S22196,MANIMARAN.M,Dravida Munnetra Kazhagam,THIRUMANGALAM,TAMIL NADU,88291
S22150,VAITHILINGAM G.,Pattali Makkal Katchi,JAYANKONDAM,TAMIL NADU,88992
S22211,KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,RAMANATHAPURAM,TAMIL NADU,89137
S223,G.HARI,All India Anna Dravida Munnetra Kazhagam,TIRUTTANI,TAMIL NADU,89169
S2253,MUKUNDHAN.P,Tamilaga Vettri Kazhagam,KRISHNAGIRI,TAMIL NADU,89374
S2265,AGRI KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,KALASAPAKKAM,TAMIL NADU,89629
S2278,KARTHIKEYAN K,Dravida Munnetra Kazhagam,RISHIVANDIYAM,TAMIL NADU,89711
S22142,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,Tamilaga Vettri Kazhagam,THIRUVERUMBUR,TAMIL NADU,89837
S2264,RAMACHANDRAN.S,All India Anna Dravida Munnetra Kazhagam,KILPENNATHUR,TAMIL NADU,90503
S22116,NM.SUKUMAR,Tamilaga Vettri Kazhagam,SULUR,TAMIL NADU,90531
S22147,SIVAKUMAR. K,Tamilaga Vettri Kazhagam,PERAMBALUR,TAMIL NADU,90882
S2241,THAHIRA,Tamilaga Vettri Kazhagam,RANIPET,TAMIL NADU,91149
S2237,R.V. RANJITHKUMAR,Tamilaga Vettri Kazhagam,KANCHEEPURAM,TAMIL NADU,91350
S2290,VIJAY TAMILAN PARTHIBAN. A,Tamilaga Vettri Kazhagam,SALEM,TAMIL NADU,91371
S22141,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,TIRUCHIRAPPALLI,TAMIL NADU,91381
S224,DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam,THIRUVALLUR,TAMIL NADU,92190
S22118,V. SAMPATHKUMAR,Tamilaga Vettri Kazhagam,COIMBATORE,TAMIL NADU,92500
S22128,SAKKARAPANI. R,Dravida Munnetra Kazhagam,ODDANCHATRAM,TAMIL NADU,93099
S22119,S.P.VELUMANI,All India Anna Dravida Munnetra Kazhagam,THONDAMUTHUR,TAMIL NADU,93316
S22168,KALAIVANAN POONDI  K,Dravida Munnetra Kazhagam,THIRUVARUR,TAMIL NADU,93408
S2259,SOWMIYA ANBUMANI,Pattali Makkal Katchi,DHARMAPURI,TAMIL NADU,93713
S221,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,GUMMIDIPOONDI,TAMIL NADU,94320
S22149,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam,ARIYALUR,TAMIL NADU,95219
S2299,ANANTH MOGHAN K.K.,Tamilaga Vettri Kazhagam,ERODE,TAMIL NADU,96836
S2211,N. MARIE WILSON,Tamilaga Vettri Kazhagam,DR.RADHAKRISHNAN NAGAR,TAMIL NADU,97800
S2277,VASANTHAVEL G R,Dravida Munnetra Kazhagam,ULUNDURPETTAI,TAMIL NADU,98471
S22122,VIGNESH K,Tamilaga Vettri Kazhagam,KINATHUKADAVU,TAMIL NADU,99950
S22214,SRINATH,Tamilaga Vettri Kazhagam,THOOTHUKKUDI,TAMIL NADU,100536
S22184,DR.PRABHU. TK,Tamilaga Vettri Kazhagam,KARAIKUDI,TAMIL NADU,101358
S2260,MARAGATHAM VETRIVEL,All India Anna Dravida Munnetra Kazhagam,PAPPIREDDIPATTI,TAMIL NADU,101829
S2257,ANBALAGAN. K.P.,All India Anna Dravida Munnetra Kazhagam,PALACODU,TAMIL NADU,102807
S22139,RAMESH,Tamilaga Vettri Kazhagam,SRIRANGAM,TAMIL NADU,103235
S22169,KAMARAJ. R,All India Anna Dravida Munnetra Kazhagam,NANNILAM,TAMIL NADU,103462
S2250,DR.THIRUPATHI. N,Tamilaga Vettri Kazhagam,TIRUPPATTUR,TAMIL NADU,105098
S2242,S.M.SUKUMAR,All India Anna Dravida Munnetra Kazhagam,ARCOT,TAMIL NADU,105608
S22179,VIJAYABASKAR. C,All India Anna Dravida Munnetra Kazhagam,VIRALIMALAI,TAMIL NADU,105773
S22129,I. PERIASAMY,Dravida Munnetra Kazhagam,ATHOOR,TAMIL NADU,106240
S2255,BALAKRISHNAREDDY. P,All India Anna Dravida Munnetra Kazhagam,HOSUR,TAMIL NADU,109867
S2210,SENTHIL KUMAR. N,Tamilaga Vettri Kazhagam,THIRUVOTTIYUR,TAMIL NADU,110067
S2233,B.VIJAYARAJ,Tamilaga Vettri Kazhagam,THIRUPORUR,TAMIL NADU,110095
S222,DR.RAVI.M.S,Tamilaga Vettri Kazhagam,PONNERI,TAMIL NADU,110439
S2228,M.HARISH,Tamilaga Vettri Kazhagam,ALANDUR,TAMIL NADU,112205
S2284,MANI. R,All India Anna Dravida Munnetra Kazhagam,OMALUR,TAMIL NADU,112246
S22195,NIRMALKUMAR. R.,Tamilaga Vettri Kazhagam,THIRUPARANKUNDRAM,TAMIL NADU,114316
S22189,KARTHIKEYAN S,Tamilaga Vettri Kazhagam,MADURAI EAST,TAMIL NADU,118777
S2231,D.SARATHKUMAR,Tamilaga Vettri Kazhagam,TAMBARAM,TAMIL NADU,118967
S2212,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,PERAMBUR,TAMIL NADU,120365
S2288,LAKSHMANAN.S,Tamilaga Vettri Kazhagam,SALEM,TAMIL NADU,120407
