constituency_code,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,vote_difference
S22219,SANKARANKOVIL,DR. DHILIPAN JAISHANKAR,All India Anna Dravida Munnetra Kazhagam,64865,C. RAMARAJAN,Tamilaga Vettri Kazhagam,58376,6489
S22220,VASUDEVANALLUR,E. RAJA,Dravida Munnetra Kazhagam,63045,ANANTHAN AYYASAMY,Bharatiya Janata Party,56462,6583
S2243,VELLORE,M.M.VINOTH KANNAN,Tamilaga Vettri Kazhagam,73032,P.KARTHIKEYAN,Dravida Munnetra Kazhagam,66255,6777
S22200,BODINAYAKANUR,PANNEERSELVAM.O,Dravida Munnetra Kazhagam,85206,PRAKASH.S,Tamilaga Vettri Kazhagam,78401,6805
S2273,VANUR,GOWTHAM D,Dravida Munnetra Kazhagam,68873,SURESH P,Tamilaga Vettri Kazhagam,61839,7034
S2244,ANAIKATTU,D.VELAZHAGAN,All India Anna Dravida Munnetra Kazhagam,76302,A.P.NANDAKUMAR,Dravida Munnetra Kazhagam,69221,7081
S2248,AMBUR,VILWANATHAN. A.C.,Dravida Munnetra Kazhagam,74102,IMTHIYAZ PANDARATTUDU ABDU,Tamilaga Vettri Kazhagam,66971,7131
S2219,CHEPAUK-THIRUVALLIKENI,UDHAYANIDHI STALIN,Dravida Munnetra Kazhagam,62992,SELVAM. D,Tamilaga Vettri Kazhagam,55852,7140
S2235,MADURANTAKAM,MARAGATHAM KUMARAVEL.K,All India Anna Dravida Munnetra Kazhagam,69284,EZHIL KATHARINE EZHILMALAI,Tamilaga Vettri Kazhagam,62090,7194
S22165,VEDARANYAM,MANIAN. O.S,All India Anna Dravida Munnetra Kazhagam,59172,PUGAZHENDI. M,Dravida Munnetra Kazhagam,51841,7331
S22104,BHAVANI,KARUPPANAN. K.C,All India Anna Dravida Munnetra Kazhagam,75577,BALAKRISHNAN,Tamilaga Vettri Kazhagam,68181,7396
S22230,NAGERCOIL,AUSTIN,Dravida Munnetra Kazhagam,69880,BERVIN KINGS G,Tamilaga Vettri Kazhagam,62310,7570
S22156,KURINJIPADI,M.R.K.PANNEERSELVAM,Dravida Munnetra Kazhagam,76695,A  BHUVANENTHIRAN,All India Anna Dravida Munnetra Kazhagam,69106,7589
S2297,KUMARAPALAYAM,C.VIJAYALAKSHMI,Tamilaga Vettri Kazhagam,81179,P.THANGAMANI,All India Anna Dravida Munnetra Kazhagam,73483,7696
S22111,METTUPPALAYAM,SUNILANAND,Tamilaga Vettri Kazhagam,75664,SMT.KAVITHA KALYANASUNDARAM,Dravida Munnetra Kazhagam,67896,7768
S22223,ALANGULAM,PAUL MANOJ PANDIAN,Dravida Munnetra Kazhagam,69170,K R P PRABAKARAN,All India Anna Dravida Munnetra Kazhagam,61372,7798
S22110,COONOOR,M. RAJU,Dravida Munnetra Kazhagam,50470,A. RAMU,All India Anna Dravida Munnetra Kazhagam,42371,8099
S22102,KANGAYAM,NSN NATARAJ,All India Anna Dravida Munnetra Kazhagam,71122,MANI GOUNDER,Tamilaga Vettri Kazhagam,62989,8133
S22213,VILATHIKULAM,MARKANDAYAN G V,Dravida Munnetra Kazhagam,58395,P. KASIRAM,Tamilaga Vettri Kazhagam,50167,8228
S22162,POOMPUHAR,NIVEDHA M MURUGAN,Dravida Munnetra Kazhagam,81096,PAVUNRAJ. S,All India Anna Dravida Munnetra Kazhagam,72836,8260
S22173,THIRUVAIYARU,DURAI. CHANDRASEKARAN,Dravida Munnetra Kazhagam,80425,MATHI. MANIKANDAN,Tamilaga Vettri Kazhagam,71870,8555
S22203,SRIVILLIPUTHUR,KARTHIK.A,Tamilaga Vettri Kazhagam,65653,MAHALINGAM.P,Communist Party of India,57072,8581
S22142,THIRUVERUMBUR,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,Tamilaga Vettri Kazhagam,89837,ANBIL MAHESH POYYAMOZHI,Dravida Munnetra Kazhagam,81132,8705
S2213,KOLATHUR,V. S. BABU,Tamilaga Vettri Kazhagam,82997,M. K. STALIN,Dravida Munnetra Kazhagam,74202,8795
S22124,VALPARAI,KUTTY (ALIAS) SUDHAKAR. A,Dravida Munnetra Kazhagam,54671,DR. SRIDHARAN. A,Tamilaga Vettri Kazhagam,45300,9371
S22206,VIRUDHUNAGAR,SELVAM P,Tamilaga Vettri Kazhagam,63653,VIJAYAPRABHAKAR,Desiya Murpokku Dravida Kazhagam,54262,9391
S2287,SANKARI,VETRIVEL. S,All India Anna Dravida Munnetra Kazhagam,87342,SENTHILKUMAR. K,Tamilaga Vettri Kazhagam,77825,9517
S22198,ANDIPATTI,MAHARAJAN.A,Dravida Munnetra Kazhagam,74324,PANDI.V,Tamilaga Vettri Kazhagam,64770,9554
S22146,THURAIYUR,RAVISANKAR.M,Tamilaga Vettri Kazhagam,66263,E.SAROJA,All India Anna Dravida Munnetra Kazhagam,56649,9614
S22103,PERUNDURAI,JAYAKUMAR. S,All India Anna Dravida Munnetra Kazhagam,70302,THOPPU VENKATACHALAM (ALIAS) N.D. VENKATACHALAM,Dravida Munnetra Kazhagam,60609,9693
S22163,NAGAPATTINAM,M.H.JAWAHIRULLAH,Dravida Munnetra Kazhagam,56305,M.SUGUMAR,Tamilaga Vettri Kazhagam,46524,9781
S22183,ARANTHANGI,MOHAMED FARVAS. J,Tamilaga Vettri Kazhagam,73244,RAMACHANDRAN . T,Indian National Congress,63182,10062
S22133,VEDASANDUR,SAMINATHAN. T,Dravida Munnetra Kazhagam,84948,PARAMASIVAM. V.P.B.,All India Anna Dravida Munnetra Kazhagam,74885,10063
S2246,GUDIYATTAM,K.SINDU,Tamilaga Vettri Kazhagam,82858,K.B.PRADAP,Desiya Murpokku Dravida Kazhagam,72761,10097
S22225,AMBASAMUDRAM,DR.ESAKKI SUBAYA,All India Anna Dravida Munnetra Kazhagam,65589,V.P.DURAI,Indian National Congress,55344,10245
S22222,TENKASI,DR.KALAI KATHIRAVAN,Dravida Munnetra Kazhagam,79699,S.SELVA MOHANDAS PANDIAN,All India Anna Dravida Munnetra Kazhagam,69400,10299
S22202,RAJAPALAYAM,JEGADESHWARI. K,Tamilaga Vettri Kazhagam,65548,THANGAPANDIAN. S,Dravida Munnetra Kazhagam,54943,10605
S22154,PANRUTI,MOHAN. K,All India Anna Dravida Munnetra Kazhagam,78398,ABDUR RAHMAN. A.R,Viduthalai Chiruthaigal Katchi,67735,10663
S2216,EGMORE,RAJMOHAN,Tamilaga Vettri Kazhagam,53901,TAMILAN PRASANNA,Dravida Munnetra Kazhagam,43097,10804
S22161,MAYILADUTHURAI,JAMAL MOHAMED YOUNOOS. Y.N,Indian National Congress,68011,PALANISAMY. A   M.COM.,Pattali Makkal Katchi,57166,10845
S22153,NEYVELI,RAJENDRAN.R,All India Anna Dravida Munnetra Kazhagam,63731,SABA.RAJENDRAN,Dravida Munnetra Kazhagam,52769,10962
S2294,NAMAKKAL,DILIP C S,Tamilaga Vettri Kazhagam,79744,SRIDEVI MOHAN P S,All India Anna Dravida Munnetra Kazhagam,68736,11008
S22178,GANDHARVAKOTTAI,N. SUBRAMANIAN,Tamilaga Vettri Kazhagam,58795,C. UTHAYAKUMAR,Bharatiya Janata Party,47756,11039
S22224,TIRUNELVELI,MURUGHAN.R.S.,Tamilaga Vettri Kazhagam,75840,SUBRAMANIAN.S,Dravida Munnetra Kazhagam,64426,11414
S22160,SIRKAZHI,SENTHILSELVAN.R,Dravida Munnetra Kazhagam,71449,SAKTHI.M,All India Anna Dravida Munnetra Kazhagam,60032,11417
S22205,SIVAKASI,KEERTHANA S,Tamilaga Vettri Kazhagam,68709,ASHOKAN G,Indian National Congress,57039,11670
S22122,KINATHUKADAVU,VIGNESH K,Tamilaga Vettri Kazhagam,99950,SABARI KARTHIKEYAN K.V.K.S,Dravida Munnetra Kazhagam,88240,11710
S2218,HARBOUR,P K SEKARBABU,Dravida Munnetra Kazhagam,45254,SINORA P S ASHOK,Tamilaga Vettri Kazhagam,33504,11750
S22131,NATHAM,NATHAM VISWANATHAN R,All India Anna Dravida Munnetra Kazhagam,85708,SELVAKUMAR K,Dravida Munnetra Kazhagam,73839,11869
S22194,MADURAI WEST,THANGAPANDI SR,Tamilaga Vettri Kazhagam,88250,BALAJI R,Dravida Munnetra Kazhagam,76319,11931
S22228,RADHAPURAM,DR.SATHISH CHRISTOPHER,Tamilaga Vettri Kazhagam,69947,APPAVU.M,Dravida Munnetra Kazhagam,57634,12313
S22144,MANACHANALLUR,KATHIRAVAN. S,Dravida Munnetra Kazhagam,81447,V.SARAVANAN,Tamilaga Vettri Kazhagam,69083,12364
S22211,RAMANATHAPURAM,KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,89137,SHAHUL HAMEED,Tamilaga Vettri Kazhagam,76678,12459
S2270,GINGEE,GANESHKUMAR A,Pattali Makkal Katchi,78201,GINGEE MASTHAN K S,Dravida Munnetra Kazhagam,65556,12645
S22114,TIRUPPUR,BALAMURUGAN. S,Tamilaga Vettri Kazhagam,73793,DINESHKUMAR. N,Dravida Munnetra Kazhagam,60892,12901
S22166,THIRUTHURAIPOONDI,MARIMUTHU.K,Communist Party of India,74062,PANDIYAN.S,Tamilaga Vettri Kazhagam,61140,12922
S22182,ALANGUDI,SIVA.V.MEYYANATHAN,Dravida Munnetra Kazhagam,64929,KANDASAMY,Tamilaga Vettri Kazhagam,51952,12977
S2224,THIYAGARAYANAGAR,ANAND N,Tamilaga Vettri Kazhagam,51632,SATHIYANARAYANAN B,All India Anna Dravida Munnetra Kazhagam,38605,13027
S2262,CHENGAM,S.VELU,All India Anna Dravida Munnetra Kazhagam,87802,K BHARATHIDHASAN,Tamilaga Vettri Kazhagam,74524,13278
