constituency_code,constituency,state,no_of_candidates
S22217,OTTAPIDARAM,TAMIL NADU,14
S2281,GANGAVALLI,TAMIL NADU,14
S22215,TIRUCHENDUR,TAMIL NADU,14
S22191,MADURAI NORTH,TAMIL NADU,14
S2229,SRIPERUMBUDUR,TAMIL NADU,14
S22103,PERUNDURAI,TAMIL NADU,14
S22126,MADATHUKULAM,TAMIL NADU,14
S2255,HOSUR,TAMIL NADU,14
S22199,PERIYAKULAM,TAMIL NADU,14
S22157,BHUVANAGIRI,TAMIL NADU,14
S22223,ALANGULAM,TAMIL NADU,14
S22162,POOMPUHAR,TAMIL NADU,14
S22211,RAMANATHAPURAM,TAMIL NADU,14
S22163,NAGAPATTINAM,TAMIL NADU,14
S2238,ARAKKONAM,TAMIL NADU,14
S222,PONNERI,TAMIL NADU,14
S22188,MELUR,TAMIL NADU,14
S2299,ERODE,TAMIL NADU,14
S2268,CHEYYAR,TAMIL NADU,14
S22173,THIRUVAIYARU,TAMIL NADU,14
S2251,UTHANGARAI,TAMIL NADU,14
S22107,BHAVANISAGAR,TAMIL NADU,13
S22209,PARAMAKUDI,TAMIL NADU,13
S2293,SENTHAMANGALAM,TAMIL NADU,13
S22193,MADURAI CENTRAL,TAMIL NADU,13
S22197,USILAMPATTI,TAMIL NADU,13
S22153,NEYVELI,TAMIL NADU,12
S22176,PATTUKKOTTAI,TAMIL NADU,12
S22232,PADMANABHAPURAM,TAMIL NADU,12
S22125,UDUMALAIPETTAI,TAMIL NADU,12
S22159,KATTUMANNARKOIL,TAMIL NADU,12
S2280,KALLAKURICHI,TAMIL NADU,12
S2233,THIRUPORUR,TAMIL NADU,12
S225,POONAMALLEE,TAMIL NADU,12
S22165,VEDARANYAM,TAMIL NADU,12
S2246,GUDIYATTAM,TAMIL NADU,12
S22147,PERAMBALUR,TAMIL NADU,12
S22174,THANJAVUR,TAMIL NADU,12
S2245,KILVAITHINANKUPPAM,TAMIL NADU,12
S22158,CHIDAMBARAM,TAMIL NADU,12
S22156,KURINJIPADI,TAMIL NADU,12
S22145,MUSIRI,TAMIL NADU,12
S22160,SIRKAZHI,TAMIL NADU,11
S2256,THALLI,TAMIL NADU,11
S22178,GANDHARVAKOTTAI,TAMIL NADU,11
S22177,PERAVURANI,TAMIL NADU,11
S22166,THIRUTHURAIPOONDI,TAMIL NADU,10
S22101,DHARAPURAM,TAMIL NADU,10
S2235,MADURANTAKAM,TAMIL NADU,10
S22175,ORATHANADU,TAMIL NADU,10
S22154,PANRUTI,TAMIL NADU,10
S22168,THIRUVARUR,TAMIL NADU,9
S22164,KILVELUR,TAMIL NADU,8
S22110,COONOOR,TAMIL NADU,7
S22124,VALPARAI,TAMIL NADU,7
S22108,UDHAGAMANDALAM,TAMIL NADU,7
S22109,GUDALUR,TAMIL NADU,7
S22192,MADURAI SOUTH,TAMIL NADU,7
S22225,AMBASAMUDRAM,TAMIL NADU,6
S22122,KINATHUKADAVU,TAMIL NADU,6
