candidate,party,constituency,runner_up_vote_percentage
GOPI. R.,Tamilaga Vettri Kazhagam,PALACODU,28.310
PON.JAYASEELAN,All India Anna Dravida Munnetra Kazhagam,GUDALUR,28.270
NAINAR NAGENTHRAN,Bharatiya Janata Party,SATTUR,28.210
K. SELVAPERUNTHAGAI,Indian National Congress,SRIPERUMBUDUR,28.200
GOPINATH PALANIYAPPAN,Indian National Congress,ERODE,28.180
NALLATHAMBI. A,Dravida Munnetra Kazhagam,TIRUPPATTUR,28.010
RUBY.R.MANOHARAN,Indian National Congress,NANGUNERI,27.950
UDHAYAKUMAR.R.B,All India Anna Dravida Munnetra Kazhagam,THIRUMANGALAM,27.920
LOGANATHAN. M,Dravida Munnetra Kazhagam,SALEM,27.900
G.VIJAY MOHAN,Tamilaga Vettri Kazhagam,ARCOT,27.850
D.MURUGESAN,Desiya Murpokku Dravida Kazhagam,PALLAVARAM,27.820
K R P PRABAKARAN,All India Anna Dravida Munnetra Kazhagam,ALANGULAM,27.790
SMT.KAVITHA KALYANASUNDARAM,Dravida Munnetra Kazhagam,METTUPPALAYAM,27.790
EZHIL CAROLINE,Viduthalai Chiruthaigal Katchi,ARAKKONAM,27.780
A. SOZHAN,Pattali Makkal Katchi,KATTUMANNARKOIL,27.740
K.P.PARAMASIVAM,All India Anna Dravida Munnetra Kazhagam,PALLADAM,27.710
VIJAY NIRANJAN A,Tamilaga Vettri Kazhagam,MAILAM,27.650
S. ARAVIND RAMESH,Dravida Munnetra Kazhagam,SHOZHINGANALLUR,27.630
SENTHILNATHAN PR,All India Anna Dravida Munnetra Kazhagam,SIVAGANGA,27.400
PITCHANDI.K,Dravida Munnetra Kazhagam,KILPENNATHUR,27.320
S. DURAIRAJ,Dravida Munnetra Kazhagam,SRIRANGAM,27.310
GANAPATHY. K,Dravida Munnetra Kazhagam,MADURAVOYAL,27.310
VELU. DHA,Dravida Munnetra Kazhagam,MYLAPORE,27.290
SUNDARARAJ. L,Communist Party of India (Marxist),THIRUVOTTIYUR,27.280
R. PANNEERDOSS,Viduthalai Chiruthaigal Katchi,THIRUPORUR,26.960
SRMT SEKAR (A) CHANDRASEKAR R,All India Anna Dravida Munnetra Kazhagam,TIRUCHENGODU,26.860
P.M.RAMAJEYAM,Dravida Munnetra Kazhagam,OTTAPIDARAM,26.790
MOHAMED MUBARAK,Dravida Munnetra Kazhagam,NANNILAM,26.680
J. JOHN EBENEZER,Dravida Munnetra Kazhagam,DR.RADHAKRISHNAN NAGAR,26.560
DR. K. ARVIND,Tamilaga Vettri Kazhagam,ORATHANADU,26.490
S.SUDHARSANAM,Dravida Munnetra Kazhagam,MADAVARAM,26.380
ASHOK. M.K,All India Anna Dravida Munnetra Kazhagam,VELACHERY,25.500
VIDIYAL S. SEKAR,Bharatiya Janata Party,ODDANCHATRAM,24.720
MANGUDI. S,Indian National Congress,KARAIKUDI,24.110
DURAI CHANDRASEKAR,Indian National Congress,PONNERI,24.100
M.S.M.ANANDAN,All India Anna Dravida Munnetra Kazhagam,TIRUPPUR,23.310
MALARVIZHI. B,Tamilaga Vettri Kazhagam,MUDHUKULATHUR,22.220
MURUGESAN. P,Tamilaga Vettri Kazhagam,VIRALIMALAI,21.430
PREMKUMAR. K,Independent,EDAPPADI,19.680
KARTHE.M,Pattali Makkal Katchi,SALEM,19.430
