candidate,party,constituency_count
C.M. ARUCHAMY,Bahujan Samaj Party,1
C.MOHANRAM,Independent,1
C.MOORTHY,Independent,1
C.NAGARAJ,Party for the Rights of Other backward Classes,1
C. NANDA KUMAR,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
C.PALANICHAMY,Independent,1
C.PALANISAMY,Tamizhaga Vaazhvurimai Katchi,1
C. PARIRAJAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,1
C. PONPANDI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
C. RAJAMANICKAM,Independent,1
C. RAJENDRAN,Independent,1
C.RAJENDRAN,All India Anna Dravida Munnetra Kazhagam,1
C. RAMACHANDRAN,Independent,1
C. RAMARAJAN,Tamilaga Vettri Kazhagam,1
C.RAMESH,Independent,1
C. RAVI,Tamilaga Makkal Nala Katchi,1
C.SATHISHKUMAR,Independent,1
C .SELVAKUMAR,Tamizhaga Vaazhvurimai Katchi,1
C SELVAN,Republican Party of India (Athawale),1
C SHANMUGAVELU,Amma Makkal Munnettra Kazagam,1
C.S. Karnan,Anti Corruption Dynamic Party,1
C. SRIDHAR,Independent,1
C SUTHAN,Independent,1
C. THANGARAJU,Tamilaga Vettri Kazhagam,1
C.THIYAGARAJAN,Independent,1
C. UTHAYAKUMAR,Bharatiya Janata Party,1
C.VIJAYALAKSHMI,Tamilaga Vettri Kazhagam,1
C.VIMALRAJ,Independent,1
D. AJITH KUMAR,Independent,1
DAMODARAN S,All India Anna Dravida Munnetra Kazhagam,1
D. ANANDAN,Independent,1
DANIEL.A,Independent,1
DANIYA. P,Independent,1
DAVID SAHAYA BASCAR,Independent,1
DAVID T,Independent,1
D.CHANDRAKANDEEBAN,Tamilaga Vettri Kazhagam,1
D DHILIPKUMAR,Independent,1
D.DINESH,Independent,1
DEEPA.G.S,Independent,1
DEEPAK. P,Independent,1
DEEPAKRAJAN V,Independent,1
DEEPAK RAVI,Independent,1
DEEPAK SAI KISHORE.A,Tamilaga Vettri Kazhagam,1
DEIVEEGADASS.M,Independent,1
DEIVEEGAN. P,Independent,1
DEVADASS.K,Independent,1
DEVAKUMARAN. E,Independent,1
DEVAPPA. Y,Independent,1
DEVAPPA.Y,Independent,1
DEVARAJAN.C,Independent,1
DEVARAJAN G,Independent,1
DEVASITHAM,Independent,1
DEVASTIN AUGUSTIN. G,Independent,1
DEVENDHIRAPRABU. M,Independent,1
DEVENDIRAN M,Independent,1
DEVENDRAN.J,Tamizhaga Vaazhvurimai Katchi,1
DEVENDRAN. R,Tamizhaga Murpokku Makkal Katchi,1
DEVENTHIRAMOORTHY.S,Independent,1
DEVIALAKSHMI SARANYA.K,Independent,1
DEV.P.JEGADEESAN,Independent,1
D. GOVINDARAJAN,Independent,1
DHAMODHARAN. S,Tamizhaga Vaazhvurimai Katchi,1
DHAMOTHARAN. M,Independent,1
DHAMOTHARANV.,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
DHANABAL.C,Independent,1
DHANABAL. D,Independent,1
DHANABAL.R,Independent,1
DHANAKESAVAMOORTHY A.C.T,Independent,1
DHANAMOORTHY .R,Independent,1
DHANANCHEZHIYAN,Independent,1
DHANAPAL,Independent,1
DHANAPAL.K,Independent,1
DHANAPAL. S,Independent,1
DHANAPAL SUBRAMANIYAM,Anaithinthiya Anna Dravida Makkal Seyal katchi,1
DHANARASU,Namadhu Makkal Katchi,1
DHANASEKARAN. M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
DHANASEKARAN. T,Independent,1
DHANASEKARAN.V,Independent,1
DHANA VIMAL,All India Anna Dravida Munnetra Kazhagam,1
DHANDABANI K,Independent,1
DHARMARAJ. M,Naam Tamilar Katchi,1
DHARMARAJ. P,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
DHASARATHAN.R,Independent,1
DHAVAMANI. P,Anti Corruption Dynamic Party,1
DHAVAMANI. R,Naam Tamilar Katchi,1
DHAYANIDHI D,Independent,1
DHERPOKI V.PANDI,Amma Makkal Munnettra Kazagam,1
DHETCHNA MOORTHY. DOCTOR. S,Independent,1
DHILIPKUMAR.D,Independent,1
DHINAKARAN S.T.R.M.,Independent,1
DHINESH KARIKALAN,Independent,1
DHIVAKAR. A,Independent,1
DHIVYA,Naam Tamilar Katchi,1
DHRAVIDAMANI.M,Dravida Munnetra Kazhagam,1
DILIP C S,Tamilaga Vettri Kazhagam,1
DILLI KUMAR. R,Democratic National Allegiance,1
DINESH,Independent,1
DINESH. B,Independent,1
DINESH. K,Independent,1
DINESHKUMAR,Independent,1
DINESH KUMAR.A,Independent,1
DINESH KUMAR. K,Independent,1
DINESH KUMAR. N,Independent,1
DINESHKUMAR. N,Dravida Munnetra Kazhagam,1
DINESHKUMAR.N,Independent,1
DINESHKUMAR. V,Independent,1
DINESH. P.N,Naam Tamilar Katchi,1
DINO T,Naadaalum Makkal Katchi,1
DIVESH. S,Independent,1
DIVYA P,Naam Indiar Party,1
DIWAKAR. R,Independent,1
D. JANARTHANAN,Independent,1
D. JAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,1
D. JAYAKUMAR,Independent,1
D. JEYAGANESH,Naam Indiar Party,1
D KABILAN,Independent,1
D.KARTHIKEYAN,Samata Party,1
D.K.MESHACK KIRUBAKARAN,Independent,1
D.KRISHNAMURTHY,Desiya Murpokku Dravida Kazhagam,1
D. KUMARAN,Independent,1
D. MATHIAZHAGAN,Dravida Munnetra Kazhagam,1
D.MOHAMED ISMAIL,Independent,1
D.MURUGESAN,Desiya Murpokku Dravida Kazhagam,1
D. NAGARAJ,Independent,1
DORAI. SHANMUGA PRABU,All India Anna Dravida Munnetra Kazhagam,1
D. PANNEERSELVAM,Independent,1
D.PRABHU,Independent,1
D.PURUSHOTHAMAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
D. PUSHPA,Independent,1
D.PUSHPARAJ,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
D. RAMESH,Independent,1
D. RAMU,Independent,1
DR A.P. POORNIMA,Dravida Munnetra Kazhagam,1
DR. A. SIMON JUSTIN,Naam Tamilar Katchi,1
DR. A. SUBAIR KHAN,Dravida Munnetra Kazhagam,1
DR.A.V.NARENDRAN,Independent,1
DR. DHILIPAN JAISHANKAR,All India Anna Dravida Munnetra Kazhagam,1
DR. DHIVYA. S,All India Anna Dravida Munnetra Kazhagam,1
DR.D. MADAN,Independent,1
DR. DNV SENTHILKUMAR. S.,Dravida Munnetra Kazhagam,1
Dr.D.VINOTH KUMAR,Bahujan Samaj Party,1
DR. ELANGOVAN. V.,Desiya Murpokku Dravida Kazhagam,1
DR.ESAKKI SUBAYA,All India Anna Dravida Munnetra Kazhagam,1
DR.G. MOORTHY,Independent,1
DR. GOKILAMANI.V,Dravida Munnetra Kazhagam,1
DR. GURUNATHAN. S,Indhu Dravida Makkal Katchi,1
DR.HANUMAIAH.C,Independent,1
DR.J. ABUBAKKAR SITHICK,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,1
DR. JAYALAKSHMI. S.T,Dravida Munnetra Kazhagam,1
DR.JAYANTHI.R,Independent,1
DR. J.SAILAS,Bahujan Samaj Party,1
DR.KAILAI RAJAN.D,Naam Tamilar Katchi,1
DR.KALAI KATHIRAVAN,Dravida Munnetra Kazhagam,1
DR. KARTHIKEYAN. T.E.,Naam Tamilar Katchi,1
DR. K. ARVIND,Tamilaga Vettri Kazhagam,1
DR KATHIRKAMU K.,Amma Makkal Munnettra Kazagam,1
DR.K. KRISHNASAMY,Puthiya Tamilagam,1
DR.K.RAJKUMAR,Independent,1
DR. KRISHNA PRASAD. B,Independent,1
DR.KRISHNASAMY .V,Naam Tamilar Katchi,1
DR. L. MURUGAN,Bharatiya Janata Party,1
DR. MOHANA CHELVAN. P,Independent,1
DR. MOHANRAJ A.C. (P.T),Independent,1
DR M SUDHAKAR,Tamilaga Vettri Kazhagam,1
DR.MURUGU K,Independent,1
DR. MUTHIAH. S,All India Anna Dravida Munnetra Kazhagam,1
DR.NAGESH KUMAR. C,Bharatiya Janata Party,1
DR.NAKAJOTHI. N,Tamilaga Vettri Kazhagam,1
DR.N. GUNASEKAR,Republican Party of India (Athawale),1
DR.PADMARAJAN. K,Independent,1
DR.PANDIKUMAR.S,Communist Party of India (Marxist-Leninist) (Liberation),1
DR. PL. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,1
DR PON GAUTHAMSIGAMANI,Dravida Munnetra Kazhagam,1
DR.POOVALAGI. P,Independent,1
DR.PRABHU. TK,Tamilaga Vettri Kazhagam,1
DR. PRAVEEN KUMAR. M,Tamilaga Vettri Kazhagam,1
DR. RAJESWARI. R,Dravida Munnetra Kazhagam,1
DR. RAMACHANDRAN. M,Independent,1
DR. RAMAKRISHNAN. S,Independent,1
DR.RAVI.M.S,Tamilaga Vettri Kazhagam,1
DR.R.KARTHIKEYAN,Naam Tamilar Katchi,1
DR.R.RAMKUMAR,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
DR.R. SARAVANA PERUMAL,Makkal Nalvaazhvuk Katchi,1
DR.SATHISH CHRISTOPHER,Tamilaga Vettri Kazhagam,1
DR.SHANMUGAM.A.R.,Independent,1
DR. SHYAM KRISHNASAMY,Puthiya Tamilagam,1
DR.SHYAM KRISHNASAMY,Puthiya Tamilagam,1
DR. S.PRAVEEN,Independent,1
DR.S.RAJASEKARAN,Naam Tamilar Katchi,1
DR. SRIDHARAN. A,Tamilaga Vettri Kazhagam,1
DR.S.VELLAI DURAI,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
DR. TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,1
DR.TAMIZHARASI.P,Pattali Makkal Katchi,1
DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam,1
DR.THIRUPATHI. N,Tamilaga Vettri Kazhagam,1
DR.VINAYAGA MEYYARASU. T,Independent,1
DR.V.SIVASANKARAN,Naam Tamilar Katchi,1
D. SANKAR,Naadaalum Makkal Katchi,1
D.SANTHIYAGAPPAR ANTONY,Independent,1
D.SARATHKUMAR,Tamilaga Vettri Kazhagam,1
D. SATHISH KUMAR,Independent,1
D.SHANMUGAN,Tamilaga Vettri Kazhagam,1
D. SIVASANKARAN,Bahujan Samaj Party,1
D. SRINIVASAN,Independent,1
D.SUDHAKAR,Independent,1
D. THIRUNAVUKKARASAR,Tamizhaga Vaazhvurimai Katchi,1
DURAI ARASAN.K,Independent,1
DURAI CHANDRASEKAR,Indian National Congress,1
DURAI. CHANDRASEKARAN,Dravida Munnetra Kazhagam,1
DURAI EZHILAN P,Independent,1
DURAI.K,Independent,1
DURAIMURUGAN,Dravida Munnetra Kazhagam,1
DURAIRAJ,Independent,1
DURAIRAJAN.M,Independent,1
DURAIRAJ. C,Independent,1
DURAI RAJ. S,Independent,1
DURAIRAJ. V,Independent,1
DURAISAMY. J,Independent,1
DURAI. SENTHAMIL SELVAN B.E,Dravida Munnetra Kazhagam,1
DURAI. SENTHILNATHAN,Naam Tamilar Katchi,1
DURKALI. N,Independent,1
DURUGAN. M,Vanchit Bahujan Aaghadi,1
DUSI K MOHAN,Tamilaga Vettri Kazhagam,1
D.VELAZHAGAN,All India Anna Dravida Munnetra Kazhagam,1
D. VIDHYASAGAR,Independent,1
D. VIGNESHWARAN,Independent,1
D.V. VENUGOPAL,Tamizhaga Vaazhvurimai Katchi,1
EASAN NATARAJAN T,Independent,1
EASAN NATARAJAN. T,Independent,1
EASWARAMURTHI.K,Tamizhaga Vaazhvurimai Katchi,1
E.C. GOVINDARAJE,Independent,1
E.C. GOVINDARASAN,All India Anna Dravida Munnetra Kazhagam,1
ECR P SARAVANAN,Tamilaga Vettri Kazhagam,1
EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,1
E. DHAKSHNAMOORTHY,Independent,1
EDWIN ABINESH A,Independent,1
E.FAROOK ALI,Independent,1
E.GURUBARAN,Independent,1
EKAMBARAM. V,Independent,1
E.KOTHANDAN,Independent,1
E.KRITHIKA,Naam Tamilar Katchi,1
ELAIYARAJA C,Independent,1
ELAMATHI. S,Independent,1
ELAMATHI SUBRAMANIAN,All India Anna Dravida Munnetra Kazhagam,1
ELANGO. G,Ezhuchi Tamilargal Munnetra Kazhagam,1
ELANGO. R,Dravida Munnetra Kazhagam,1
ELANGOVAN. A.R,Desiya Murpokku Dravida Kazhagam,1
ELANGOVAN.D,Tamilaga Vettri Kazhagam,1
ELANGOVAN. K,Naadaalum Makkal Katchi,1
ELANGOVAN SIVAKUMAR,Independent,1
ELAVARSAN. A.,Independent,1
ELAYARAJA.M,Puthiya Tamilagam,1
ELSY C.,Independent,1
ELUMALAI. A S/O ARUMUGAM,Independent,1
ELUMALAI. C,Bharatiya Janata Party,1
ELUMALAI. C  S/O CHINNAKUZHANTHAI,Independent,1
ELUMALAI. C S/O CHINNARASU,Independent,1
ELUMALAI. P,Independent,1
ELUMALAI. P,Tamilaga Vettri Kazhagam,1
ELUMALAI. S,Independent,1
ELUMALAI. T,Independent,1
ELUMALAI.T.A,Amma Makkal Munnettra Kazagam,1
E. MANI,Republican Party of India (Athawale),1
E MANIKANDAN,Independent,1
E. MURALI B.A,Independent,1
E. MURALIDHARAN,Tamilaga Vettri Kazhagam,1
E. MURUGAN,Independent,1
E. RAJA,Dravida Munnetra Kazhagam,1
E. RAJARATHINAM,Tamizhaga Vaazhvurimai Katchi,1
ERAMAKRISHNAN N,Dravida Munnetra Kazhagam,1
E. RAMALINGAM,Party for the Rights of Other backward Classes,1
ER. JAYAKKUMAR. R,Independent,1
ER.PRABAKARAN.S,Independent,1
ER.S. ARJUN,Independent,1
ESAI MATHIVANAN,Naam Tamilar Katchi,1
ESAKKIAMMAL.M,Bahujan Samaj Party,1
ESAKKI. K,Independent,1
ESAKKIMUTHU,Puthiya Makkal Tamil Desam Katchi,1
ESAKKIMUTHUNADAR.P,Independent,1
ESAKKI PANDI. K,Independent,1
ESAKKIRAJA. K,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
ESAKKIRAJA. V.,Independent,1
E.SAROJA,All India Anna Dravida Munnetra Kazhagam,1
E.SAROJA,Independent,1
ESHWARAN.C,Independent,1
ESSAKKIAMMAL.E,Bahujan Samaj Party,1
ESTHER MARY DIANA A,Naam Tamilar Katchi,1
E.SURESH,Independent,1
ESWARAN E R,Dravida Munnetra Kazhagam,1
ESWARAN M,Independent,1
ESWARAN. P,Bahujan Samaj Party,1
ESWARAPPAN.M,Independent,1
ESWARA VADIVU. S.,Naam Indiar Party,1
ESWAR.S,Independent,1
E. UDHAYA KUMAR,Independent,1
E. VIJAY,Independent,1
E.V.S.RAJAKUMAR NAIDU,Tamil Telugu National Party,1
E. YESUDOSS,Tamilaga Makkal Nala Katchi,1
EZHILAN NAGANATHAN,Dravida Munnetra Kazhagam,1
EZHILARASI VIJAYENDRAN,Naam Tamilar Katchi,1
EZHIL ARASU. M M.A. L.L.M.,Independent,1
EZHIL CAROLINE,Viduthalai Chiruthaigal Katchi,1
EZHIL. E,Independent,1
EZHIL ELAVARASI. R,Naam Tamilar Katchi,1
EZHIL KATHARINE EZHILMALAI,Tamilaga Vettri Kazhagam,1
EZHILKUMAR.K,Independent,1
EZHILRAJ.D,Independent,1
EZHILVENTHAN . P,Independent,1
FARMER JAYARAMAN S K J,Independent,1
FARMER JAYARAMAN. S K J.,Independent,1
FATHIMA FARHANA.S,Naam Tamilar Katchi,1
FIRDOSE AHMED. M,Independent,1
GAJENDRAN.KANAGA,Bahujan Samaj Party,1
GAJENDRAN. S.,Tamilaga Vettri Kazhagam,1
GANAPATHY. K,Dravida Munnetra Kazhagam,1
GANAPATHY. S,Thamizhaka Padaippalar Makkal Katchi,1
GANDHIAN RAMESH T,Ahimsa Socialist Party,1
GANDHI M R,Bharatiya Janata Party,1
GANESAN C.V,Dravida Munnetra Kazhagam,1
GANESAN. K,Independent,1
GANESAN M,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
GANESAN. M,Independent,1
GANESAN .P,Indhu Dravida Makkal Katchi,1
GANESAN. P,Independent,1
GANESAN S,Independent,1
GANESAN. S,Vishwa Tamil Kazhagam,1
GANESAN V,Independent,1
GANESAN. V,Puthiya Makkal Tamil Desam Katchi,1
GANESAN V.G.,All India Anna Dravida Munnetra Kazhagam,1
GANESHAN. S,Independent,1
GANESHKUMAR A,Pattali Makkal Katchi,1
GANESH.M,Independent,1
GANESH. N,Thamizhaka Padaippalar Makkal Katchi,1
GANESH PERUMAL. D,Independent,1
GANESH. R,Naam Tamilar Katchi,1
GANESH S.,Independent,1
GANGADHARAN. R,Independent,1
GANGADURAI. K,Tamizhaga Vaazhvurimai Katchi,1
GANGASEKAR A,MAKKAL SAKTHI KATCHI,1
GANISHKAR,Independent,1
G. ARIVAZHAGAN,Independent,1
G. BABU,Independent,1
G. BAKIYALAKSHMI,Naam Tamilar Katchi,1
G.BALAKRISHNAN,Independent,1
G.BALASUBRAMANI,Tamilaga Vettri Kazhagam,1
G. BOTHI RAJAN,Independent,1
GBS K.NAGENDRAN,Bharatiya Janata Party,1
G.CHITHIRAVELU,Puthiya Tamilagam,1
G. CHRISTOPHER,Independent,1
G.DANIEL ANTONYRAJ,Independent,1
G.D. ARUNKUMAR,Independent,1
G. DHINESHKUMAR,Independent,1
G.D. KRISHNAKUMAR,Independent,1
G. DURAISARAVANAN,Independent,1
GEORGE STEPHEN. A,Independent,1
G.HARI,All India Anna Dravida Munnetra Kazhagam,1
GINGEE MASTHAN K S,Dravida Munnetra Kazhagam,1
GINGSTON. M,Independent,1
GIRIJA THAMARAIPANDIAN.D,Naam Tamilar Katchi,1
GIRISHKUMAR.A,Independent,1
G.JANAKIRAMAN,Naam Tamilar Katchi,1
G. J. DHARANIRAJ,Independent,1
G.JOHN PANDIAN,Independent,1
G. KALYANA SUNDARAM,All India Jananayaka Makkal Kazhagam,1
G.KAPIL,Tamilaga Vettri Kazhagam,1
G. KARTHIKEYAN,Independent,1
G. K. M. TAMILKUMARAN,Indian National Congress,1
G. MADHAN KUMAR,Independent,1
G. MAHESHWARAN,Tamizhaga Murpokku Makkal Katchi,1
G. MANIMEGALAI,Communist Party of India (Marxist-Leninist) (Liberation),1
G. MOHAN,Independent,1
G. MUNIYASAMY,Independent,1
G .MURUGAN,Independent,1
G. MUTHURAJ,Independent,1
GNANAMOORTHY,Independent,1
GNANASEKAR. A,Amma Makkal Munnettra Kazagam,1
GNANASEKARAN G,Independent,1
GNANASEKARAN. M,Independent,1
GNANASEKARAN. R,Independent,1
GNANASELVAM. S.,Independent,1
GNANASUNDARI.M,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
GNANAVETTIYAN SIVAPERUMAL .K,Tamizhaga Vaazhvurimai Katchi,1
GOBALA KRISHNAN. S,Independent,1
GOBAL.S.C.R,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
GOBINATHAN. R,Independent,1
GOKILAMANI. M,Independent,1
GOKULA KRISHNAN.S,Tamizhaga Vaazhvurimai Katchi,1
GOKUL RAJ B,Independent,1
GOKULRAJ S,Independent,1
GOMATHI .M,Naam Tamilar Katchi,1
GOMATHI. M,Bahujan Samaj Party,1
GOMATHI SANKAR,Tamizhaga Vaazhvurimai Katchi,1
G OMPRAKASH,Independent,1
GOPALAKRISHNAN,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
GOPALA KRISHNAN. A,Independent,1
GOPALAKRISHNAN. V,Independent,1
GOPALAN G,Independent,1
GOPALAN.M,Independent,1
GOPAL.K,Independent,1
GOPAL R,Independent,1
GOPAL.S,Independent,1
GOPI. C,Communist Party of India (Marxist-Leninist) (Liberation),1
GOPI. K,Independent,1
GOPIKRISHNA. D,Independent,1
GOPI KRISHNAN PILLAI. S,Rashtriya Samaj Dal (R),1
GOPINATH. B,Independent,1
GOPINATH.G,Independent,1
GOPINATH.P,Independent,1
GOPINATH PALANIYAPPAN,Indian National Congress,1
GOPINATH.S,Tamilaga Vettri Kazhagam,1
GOPI. R,Independent,1
GOPI. R.,Tamilaga Vettri Kazhagam,1
GOPIRAJAN. G,Tamilaga Vettri Kazhagam,1
GOPU V S,Independent,1
GOVI.CHEZHIAAN,Dravida Munnetra Kazhagam,1
GOVI.ELANGO,All India Anna Dravida Munnetra Kazhagam,1
GOVINDAN.P,Bahujan Samaj Party,1
GOVINDARAJ.G,Tamizhaga Vaazhvurimai Katchi,1
GOVINDARAJ.G.J,Independent,1
GOVINDARAJ.V,Tamizhaga Vaazhvurimai Katchi,1
GOVINDHAKANNAN M,Bahujan Samaj Party,1
GOVINDHAN. A,All India Youth Development Party,1
GOVIND. T.G,Independent,1
GOWRI CHITRA,Tamilaga Vettri Kazhagam,1
GOWRI.P,Independent,1
GOWTHAM,Independent,1
GOWTHAMAN. M,Independent,1
GOWTHAM C,Independent,1
GOWTHAM D,Dravida Munnetra Kazhagam,1
GOWTHAM.R,Independent,1
GOWTHAM S,Independent,1
G. POORANA SELVAN,Independent,1
G.PRABU,Independent,1
G.P. SEKAR,Independent,1
G. RAJASEKARAN,All India Anna Dravida Munnetra Kazhagam,1
G. RAJATHI,Independent,1
G. RAJENDIRAN,Independent,1
G. RAJKUMAR,Independent,1
G.RAMAMOORTHI,Tamilaga Vettri Kazhagam,1
G.RAMANAN,Independent,1
G. RAMANATHAN,Tamilaga Vettri Kazhagam,1
G.RAMESHBABU,Indhu Dravida Makkal Katchi,1
G.RANJITH B.SC.L.L.B,Independent,1
G.R. RAJENDRAN,National Maha Sabha Party,1
G. RUTHRA KUMAR,Independent,1
G. SAMPATH,Independent,1
G. SAMUELRAJ,Independent,1
G. SEBASTIAN ANAND,Independent,1
G. SELVARAJ,Puthiya Makkal Tamil Desam Katchi,1
G.SELVARAJ,Independent,1
G.SIVA KUMAR,Independent,1
G SURESH KUMAR,Independent,1
G.THALAPATHI,Dravida Munnetra Kazhagam,1
GUNAPRAKASH. D,Independent,1
GUNASEELA. M,Naam Tamilar Katchi,1
GUNASEKARAN.G,Puthiya Tamilagam,1
GUNASEKARAN. K,Tamizhaga Vaazhvurimai Katchi,1
GUNASEKARAN .R,Bahujan Samaj Party,1
GUNASEKARAN S,Independent,1
GUNASEKAR.V,Independent,1
GUNASUNDARAM R,Independent,1
GURU KARTHICK T,Independent,1
GURUMOORTHY M,Puthiya Tamilagam,1
GURUNATHAN N.,Independent,1
GURUSAMY.K,Independent,1
GURUSAMY S,Independent,1
GURUSAMY.T,Independent,1
G. VIJAY,Independent,1
G.VIJAY MOHAN,Tamilaga Vettri Kazhagam,1
G VISU,Independent,1
HABEEB RAHAMAN. H,Independent,1
HARI BALAKRISHNAN.G,Puthiya Makkal Tamil Desam Katchi,1
HARIBASKAR.P,All India Anna Dravida Munnetra Kazhagam,1
HARIHARAN. S,Independent,1
HARI RAAJ. B,Independent,1
HARISH. A,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
HAROON RASHEED BADU,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
HAROON RASHEED. S.S,Tamilaga Vettri Kazhagam,1
HARUN RASHEETH J,Independent,1
H. DHANASEKAR,Independent,1
HEMARAJAN K,Naam Tamilar Katchi,1
HIMLAR,Naam Tamilar Katchi,1
H. MOHAMED ABDUL KHADIR,Tamizhaga Vaazhvurimai Katchi,1
H.MOHAMED GAIPEER,Independent,1
IBRAHIM.R,Tamilaga Vettri Kazhagam,1
I JAYAPRAKASH,Independent,1
ILAYANAGULAN. K,Naam Tamilar Katchi,1
IMTHIYAS,Independent,1
IMTHIYAZ PANDARATTUDU ABDU,Tamilaga Vettri Kazhagam,1
INBARAJ. T,Independent,1
INBARASAN G,Bahujan Samaj Party,1
INDHIRANI.C,Independent,1
INDHUJA R,Naam Tamilar Katchi,1
INDIRANI.T,Dravida Munnetra Kazhagam,1
INDRAGANDHI. P,Independent,1
INDRAJITH GUPTHA. G,Independent,1
INDU .W,Tamil Manila Murpokku Dravida Kazhagam,1
INGUR. C. LOGANATHAN,Naam Tamilar Katchi,1
I. PERIASAMY,Dravida Munnetra Kazhagam,1
I.RAFFIK,Naadaalum Makkal Katchi,1
IRFAN BASHA,Tamizhaga Vaazhvurimai Katchi,1
IRUDAYARAJ V,Independent,1
IRUMBORAI.G,Communist Party of India (Marxist-Leninist) Red Star,1
ISAC NEWTAN J.,Independent,1
ISAKI PANDIAN,Bahujan Samaj Party,1
I. SARAVANAN,Independent,1
I VINOD,Independent,1
IYAPPAN.L,Tamizhaga Vaazhvurimai Katchi,1
IYYAPPAN PERUMAL. P,Independent,1
IYYAPPAN . S,Independent,1
JACOB DEVADOSS ABISHEAK R.,Naam Tamilar Katchi,1
JAGADEESAN.P,Independent,1
JAGADESAN A,Tamilaga Vettri Kazhagam,1
JAGADESH CHANDER .M,Naam Tamilar Katchi,1
JAGADISH.S,Republican Party of India (Athawale),1
JAGANATHAN. A,Independent,1
JAGAN. M,Independent,1
JAGAN. T.,Independent,1
J.AGNI SELVARASU,Naadaalum Makkal Katchi,1
JAIKUMAR BALACHANDRAN,Independent,1
JAISANKAR. M,Independent,1
JAIVISHNUDEVI. M,Independent,1
JAKIRUSAN.D,Tamizhaga Vaazhvurimai Katchi,1
JAKKAIYAN S.T.K.,All India Anna Dravida Munnetra Kazhagam,1
JAMAL MOHAMED,Independent,1
JAMAL MOHAMED YOUNOOS. Y.N,Indian National Congress,1
JAMBU.B,Independent,1
JAMUNARANI. M,Naadaalum Makkal Katchi,1
JANAGARAJ,Independent,1
JANAGARAJ RAVI GUNASEELAN,Independent,1
JANAKIRAMAN.R,Aanaithinthiya Jananayaka Pathukappu Kazhagam,1
JANANI.D,Independent,1
JANARTHANAN P,Independent,1
JAYABALAN G.,Vada Tamil Nadu Munnetra Katchi,1
JAYA BHARATH. J,Independent,1
JAYACHANDRAN. B,Independent,1
JAYACHANDRAN. P,Independent,1
JAYAGANDHI. R,Independent,1
JAYAGOPAL. P,Bahujan Samaj Party,1
JAYAGOPI. M,Independent,1
JAYAINDHRAESWARAN,Independent,1
JAYA K,Tamizhaga Vaazhvurimai Katchi,1
JAYAKUMAR M.,Dravida Munnetra Kazhagam,1
JAYAKUMAR R,Independent,1
JAYAKUMAR. S,All India Anna Dravida Munnetra Kazhagam,1
JAYAKUMAR. T,Independent,1
JAYANTHI. E,Independent,1
JAYANTHI M,Independent,1
JAYANTHI. M,Independent,1
JAYAPRAKASH K,Independent,1
JAYAPRAKASH. K,Independent,1
JAYAPRAKASH.S,Independent,1
JAYARAJ. S,Independent,1
JAYARAMAN M,Independent,1
JAYARAMAN. M,Independent,1
JAYARAMAN N,Bahujan Dravida Party,1
JAYARAMAN PERUMAL. P.,Tamizhaga Vaazhvurimai Katchi,1
JAYARAM. N,Anna Makkal Katchi,1
JAYASANGAR.A,Independent,1
JAYASANKARAN. A.P.,All India Anna Dravida Munnetra Kazhagam,1
JAYASHANKAR. J,Independent,1
JAYASUDHA. L,All India Anna Dravida Munnetra Kazhagam,1
JAYAVEL,Independent,1
JAYAVEL. M,Independent,1
JAYA ZEBA C,Independent,1
JEBARSON S,Tamizhaga Vaazhvurimai Katchi,1
JEEVANANTHAM.M,Independent,1
JEEVITHA. A,Independent,1
JEEVITHA NACHIYAR.B,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,1
JEGADESHWARI. K,Tamilaga Vettri Kazhagam,1
JEGANATHAN. A,Independent,1
JEGANATHMISHRA PLA,Tamilaga Vettri Kazhagam,1
JEGAN. M,Independent,1
JEGAN MOORTHY. M,All India Anna Dravida Munnetra Kazhagam,1
JEGATHISHWARI. N,Independent,1
J.EMALAN,Naam Tamilar Katchi,1
JESURAJENDRAN.J,Naam Indiar Party,1
JEYACHITRA,Independent,1
