constituency_code,candidate,party,constituency,state,votes
U071,K. BHARATHITHASAN,Tamilaga Vettri Kazhagam,MANNADIPET,PUDUCHERRY,3032
U077,JAYANTHI RAJAVELU,Tamilaga Vettri Kazhagam,KADIRGAMAM,PUDUCHERRY,3024
U079,VE. VAITHILINGAM,Indian National Congress,THATTANCHAVADY,PUDUCHERRY,2990
U0728,GANESH @ PRANADARTI GARESWARAN,Tamilaga Vettri Kazhagam,NERAVY-T.R.PATTINAM,PUDUCHERRY,2878
U0721,V. TAMILSELVAN,Tamilaga Vettri Kazhagam,EMBALAM,PUDUCHERRY,2708
U077,A. P. R. VADIVEL,Dravida Munnetra Kazhagam,KADIRGAMAM,PUDUCHERRY,2417
U0714,V.J. CHANDRAN,Tamilaga Vettri Kazhagam,RAJ BHAVAN,PUDUCHERRY,2361
U078,N. RAJAKUMAR,Indian National Congress,INDIRA NAGAR,PUDUCHERRY,2104
U0712,M.O.H.F. SHAHJAHAN,Indian National Congress,KALAPET,PUDUCHERRY,1990
U078,G. ROBERT JESUDASS,Independent,INDIRA NAGAR,PUDUCHERRY,1946
U0724,U. KAMARAJ,Tamilaga Vettri Kazhagam,NEDUNGADU,PUDUCHERRY,1865
U0714,R KUMARAN,Indian National Congress,RAJ BHAVAN,PUDUCHERRY,1538
U0722,N ARIKRISHNAN,Independent,NETTAPAKKAM,PUDUCHERRY,1511
U074,K. RAGUBADY,Indian National Congress,MANGALAM,PUDUCHERRY,1414
U0727,M. ARUL MURUGAN,Bharatiya Janata Party,KARAIKAL SOUTH,PUDUCHERRY,1354
U0724,DINESH KUMAR,Indian National Congress,NEDUNGADU,PUDUCHERRY,1354
U076,PUSHPALATHA,Viduthalai Chiruthaigal Katchi,OZHUKARAI,PUDUCHERRY,1142
U0729,MOHAMED SAMEEL,Indian Union Muslim League,MAHE,PUDUCHERRY,800
U0720,R. PERUMAL,Independent,MANAVELY,PUDUCHERRY,754
U0718,M. VELAVAN,Naam Tamilar Katchi,MUDALIARPET,PUDUCHERRY,730
U0710,B. COWRI,Naam Tamilar Katchi,KAMARAJ NAGAR,PUDUCHERRY,693
U078,T. DEVIKA,Naam Tamilar Katchi,INDIRA NAGAR,PUDUCHERRY,675
U0712,K. KAMARAJ,Naam Tamilar Katchi,KALAPET,PUDUCHERRY,639
U076,R. ARULSEZHIAN,Independent,OZHUKARAI,PUDUCHERRY,607
U0720,M.S. ELANGOVAN,Naam Tamilar Katchi,MANAVELY,PUDUCHERRY,589
U079,S. KARTHI KUMARI,Naam Tamilar Katchi,THATTANCHAVADY,PUDUCHERRY,534
U075,D.RAMESH,Naam Tamilar Katchi,VILLIANUR,PUDUCHERRY,518
U0726,MURUGANANDAM,Independent,KARAIKAL NORTH,PUDUCHERRY,516
U0724,A. VIGNESH,Naam Tamilar Katchi,NEDUNGADU,PUDUCHERRY,510
U0726,S. ANUSUYA,Naam Tamilar Katchi,KARAIKAL NORTH,PUDUCHERRY,480
U0719,K. SUNDARAVADIVELU,Naam Tamilar Katchi,ARIANKUPPAM,PUDUCHERRY,462
U073,GOWRI,Naam Tamilar Katchi,OUSSUDU,PUDUCHERRY,458
U074,M. SUBRAMANI,Naam Tamilar Katchi,MANGALAM,PUDUCHERRY,447
U0710,NOTA,None of the Above,KAMARAJ NAGAR,PUDUCHERRY,440
U0711,S. JAYACHITRA,Naam Tamilar Katchi,LAWSPET,PUDUCHERRY,433
U077,T. SUBASRI TAMILSELVAN,Naam Tamilar Katchi,KADIRGAMAM,PUDUCHERRY,427
U076,S. CHITRA,Naam Tamilar Katchi,OZHUKARAI,PUDUCHERRY,418
U076,NARA. KALAINATHAN,Communist Party of India,OZHUKARAI,PUDUCHERRY,402
U0717,MUTH. AM. SIVAKUMAR,Naam Tamilar Katchi,NELLITHOPE,PUDUCHERRY,392
U0718,N. ANNATHURAI,Independent,MUDALIARPET,PUDUCHERRY,384
U076,V. PRABADEVI,Independent,OZHUKARAI,PUDUCHERRY,374
U072,K. RANJIT,Naam Tamilar Katchi,THIRUBHUVANAI,PUDUCHERRY,335
U0724,NOTA,None of the Above,NEDUNGADU,PUDUCHERRY,335
U0728,M. MALA,Naam Tamilar Katchi,NERAVY-T.R.PATTINAM,PUDUCHERRY,334
U076,NOTA,None of the Above,OZHUKARAI,PUDUCHERRY,331
U0715,V DEVIPRIYA,Naam Tamilar Katchi,OUPALAM,PUDUCHERRY,326
U078,NOTA,None of the Above,INDIRA NAGAR,PUDUCHERRY,316
U0713,M. FARITHA BEGUM,Naam Tamilar Katchi,MUTHIALPET,PUDUCHERRY,315
U0722,S. GNANAPRAGASH,Naam Tamilar Katchi,NETTAPAKKAM,PUDUCHERRY,309
U0718,NOTA,None of the Above,MUDALIARPET,PUDUCHERRY,308
U0721,S. MANOJ CHANDAR,Naam Tamilar Katchi,EMBALAM,PUDUCHERRY,303
U0711,R. RAJANGAM,Communist Party of India (Marxist),LAWSPET,PUDUCHERRY,301
U0716,A. GANDHI,All India Anna Dravida Munnetra Kazhagam,ORLEAMPETH,PUDUCHERRY,300
U0710,S. LENIN DURAI,Socialist Unity Centre Of India (COMMUNIST),KAMARAJ NAGAR,PUDUCHERRY,299
U0712,NOTA,None of the Above,KALAPET,PUDUCHERRY,293
U072,GEETHA. V,Tamilaga Makkal Thannurimai Katchi,THIRUBHUVANAI,PUDUCHERRY,284
U0727,S. MARIE ANTHUVAN,Naam Tamilar Katchi,KARAIKAL SOUTH,PUDUCHERRY,283
U0725,S. VINOTH,Naam Tamilar Katchi,THIRUNALLAR,PUDUCHERRY,281
U073,NOTA,None of the Above,OUSSUDU,PUDUCHERRY,273
U075,NOTA,None of the Above,VILLIANUR,PUDUCHERRY,266
U0723,S. NAVEENA,Naam Tamilar Katchi,BAHOUR,PUDUCHERRY,265
U0719,NOTA,None of the Above,ARIANKUPPAM,PUDUCHERRY,262
U071,B. VENKATESAN,Naam Tamilar Katchi,MANNADIPET,PUDUCHERRY,260
U0713,R. CHANDRUJI,Independent,MUTHIALPET,PUDUCHERRY,255
U072,M. DATCHANAMURTHY,Communist Party of India (Marxist),THIRUBHUVANAI,PUDUCHERRY,255
U0717,NOTA,None of the Above,NELLITHOPE,PUDUCHERRY,237
U0720,NOTA,None of the Above,MANAVELY,PUDUCHERRY,235
U0721,G. RAGU,Independent,EMBALAM,PUDUCHERRY,232
U0711,NOTA,None of the Above,LAWSPET,PUDUCHERRY,228
U077,NOTA,None of the Above,KADIRGAMAM,PUDUCHERRY,224
U0714,S. KARPAGAVALLI,Naam Tamilar Katchi,RAJ BHAVAN,PUDUCHERRY,213
U0714,NOTA,None of the Above,RAJ BHAVAN,PUDUCHERRY,209
U0720,PAVITHRA VEERAMANY,Independent,MANAVELY,PUDUCHERRY,206
U072,NOTA,None of the Above,THIRUBHUVANAI,PUDUCHERRY,203
U076,R. RAVITCHANDIRANE,Independent,OZHUKARAI,PUDUCHERRY,198
U079,NOTA,None of the Above,THATTANCHAVADY,PUDUCHERRY,196
U0730,NOTA,None of the Above,YANAM,PUDUCHERRY,195
U0722,NOTA,None of the Above,NETTAPAKKAM,PUDUCHERRY,191
U074,NOTA,None of the Above,MANGALAM,PUDUCHERRY,190
U0721,NOTA,None of the Above,EMBALAM,PUDUCHERRY,187
U0716,ANITHA VEERAPAN,Naam Tamilar Katchi,ORLEAMPETH,PUDUCHERRY,184
U0726,NOTA,None of the Above,KARAIKAL NORTH,PUDUCHERRY,182
U0711,GOPALAKRISHNAN,Independent,LAWSPET,PUDUCHERRY,178
U0730,THOTA RAJU,Tamilaga Vettri Kazhagam,YANAM,PUDUCHERRY,167
U071,NOTA,None of the Above,MANNADIPET,PUDUCHERRY,164
U0713,NOTA,None of the Above,MUTHIALPET,PUDUCHERRY,162
U0716,NOTA,None of the Above,ORLEAMPETH,PUDUCHERRY,153
U0715,NOTA,None of the Above,OUPALAM,PUDUCHERRY,151
U071,J. YUVARAJ,Independent,MANNADIPET,PUDUCHERRY,147
U0723,NOTA,None of the Above,BAHOUR,PUDUCHERRY,147
U0710,M. GOPI,Independent,KAMARAJ NAGAR,PUDUCHERRY,144
U0729,NOTA,None of the Above,MAHE,PUDUCHERRY,143
U0727,NOTA,None of the Above,KARAIKAL SOUTH,PUDUCHERRY,142
U0719,SELVAKUMAR .V,Independent,ARIANKUPPAM,PUDUCHERRY,137
U0728,NOTA,None of the Above,NERAVY-T.R.PATTINAM,PUDUCHERRY,137
U0723,A. ARULPRAKASH @ ARUL OLI,Independent,BAHOUR,PUDUCHERRY,135
U0722,S. THIRUNAVUKKARASU,Independent,NETTAPAKKAM,PUDUCHERRY,134
U0725,NOTA,None of the Above,THIRUNALLAR,PUDUCHERRY,133
U078,K. RAJASEKAR,Independent,INDIRA NAGAR,PUDUCHERRY,130
U0724,ARUL PRAKASH,Independent,NEDUNGADU,PUDUCHERRY,130
U0710,SELVAKUMARAN,Loktantrik Janta Dal,KAMARAJ NAGAR,PUDUCHERRY,127
U0710,HEMACHANDRAN,Pattali Makkal Katchi,KAMARAJ NAGAR,PUDUCHERRY,124
U074,I. THAVAMANI,Independent,MANGALAM,PUDUCHERRY,123
U0729,PRIJESH. M,Tamilaga Vettri Kazhagam,MAHE,PUDUCHERRY,122
U0728,I. KADAR MAIDINE,Independent,NERAVY-T.R.PATTINAM,PUDUCHERRY,119
U072,V. PUNITHA,Independent,THIRUBHUVANAI,PUDUCHERRY,117
U0722,V. MURALI,Independent,NETTAPAKKAM,PUDUCHERRY,112
U0719,A. RAGU @ RAGUNATHAN,Independent,ARIANKUPPAM,PUDUCHERRY,107
U0727,A.H. ABDUL BASITH,Independent,KARAIKAL SOUTH,PUDUCHERRY,107
U0722,R. AYANAR,Independent,NETTAPAKKAM,PUDUCHERRY,103
U076,M. LAVANYA,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,OZHUKARAI,PUDUCHERRY,103
U074,E. BALARAMAN,Independent,MANGALAM,PUDUCHERRY,100
U0712,J. GUNASEKARAN,Independent,KALAPET,PUDUCHERRY,96
U0721,PRAGASH. K,Tamilaga Makkal Thannurimai Katchi,EMBALAM,PUDUCHERRY,96
U0722,A VELU,Independent,NETTAPAKKAM,PUDUCHERRY,94
U0719,RATHINAM,Naadaalum Makkal Katchi,ARIANKUPPAM,PUDUCHERRY,94
U0723,SATHIYAMOORTHY. G,Tamilaga Makkal Thannurimai Katchi,BAHOUR,PUDUCHERRY,94
U0730,SURIMILLI SUBBA RAO,Independent,YANAM,PUDUCHERRY,94
U073,P. ARIAPOUTRY,Viduthalai Chiruthaigal Katchi,OUSSUDU,PUDUCHERRY,90
