CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
"BASIT HAYAT ZARGAR","Rashtriya Lok Dal",HAZRATBAL,"JAMMU & KASHMIR",185
"SAMEER AHMED BHAT","National Republic Party Of India","CENTRAL SHALTENG","JAMMU & KASHMIR",184
"MOHD ABASS KANT","National Loktantrik Party",CHADOORA,"JAMMU & KASHMIR",182
"HEMKANT SHARMA",Independent,RAJOURI,"JAMMU & KASHMIR",180
"FAROOQ AHMAD RATHER","Rashtriya Lok Dal",SOPORE,"JAMMU & KASHMIR",178
"ARUN KUMAR RAINA","Nationalist Congress Party",RAJPORA,"JAMMU & KASHMIR",177
"RAVI KUMAR",Independent,KISHTWAR,"JAMMU & KASHMIR",177
"MOHINDER SINGH",Independent,"UDHAMPUR EAST","JAMMU & KASHMIR",176
"DEV RAJ SINGH",Independent,RAMBAN,"JAMMU & KASHMIR",175
"SHABIR AHMAD GANIE",Independent,HAZRATBAL,"JAMMU & KASHMIR",175
"RAKESH KUMAR","Jammu & Kashmir National Panthers Party (Bhim)","JAMMU WEST","JAMMU & KASHMIR",174
"OMAR MAJEED WANI",Independent,HAZRATBAL,"JAMMU & KASHMIR",171
"ABDUL MAJEED KHAN","Bhim Sena",SHANGUS,"JAMMU & KASHMIR",170
"SANJEEV KUMAR","Shiv Sena (Uddhav Balasaheb Thackeray)","UDHAMPUR WEST","JAMMU & KASHMIR",170
"KAMAL KUMAR","Hindustan Shakti Sena",BISHNAH,"JAMMU & KASHMIR",170
"SHRI KANT",Independent,PADDER,"JAMMU & KASHMIR",169
"KRISHAN DUTT",Independent,VIJAYPUR,"JAMMU & KASHMIR",169
"GULAM RASOOL","Jammu & Kashmir National Panthers Party (Bhim)",CHENANI,"JAMMU & KASHMIR",167
"PANKAJ KUMAR RAINA",Independent,KALAKOTE,"JAMMU & KASHMIR",167
"IRSHAD AHMAD",Independent,"CENTRAL SHALTENG","JAMMU & KASHMIR",167
"VINOD KUMAR","Shiv Sena (Uddhav Balasaheb Thackeray)",BHADARWAH,"JAMMU & KASHMIR",165
"PARAMVEER SINGH",Independent,VIJAYPUR,"JAMMU & KASHMIR",165
"KULDEEP KUMAR RAO",Independent,"JAMMU NORTH","JAMMU & KASHMIR",163
"TILAK RAJ SHAN","Shiv Sena (Uddhav Balasaheb Thackeray)","DODA WEST","JAMMU & KASHMIR",162
"UTTAM CHAND","Jammu & Kashmir National Panthers Party (Bhim)",VIJAYPUR,"JAMMU & KASHMIR",162
"MOHD ARIF",Independent,RAJOURI,"JAMMU & KASHMIR",162
"SHEIKH MASOODI JOHN",Independent,ZADIBAL,"JAMMU & KASHMIR",162
"SANJAY SARAF","Rashtriya Lok Janshakti Party",ANANTNAG,"JAMMU & KASHMIR",161
"JAYESH KUMAR",Independent,BAHU,"JAMMU & KASHMIR",160
"RAJ KUMAR LALOTRA",Independent,"JAMMU WEST","JAMMU & KASHMIR",160
"ASIF AHMAD BEIGH",Independent,HABBAKADAL,"JAMMU & KASHMIR",160
"GHULAM QADIR RATHER","Rashtriya Lok Dal",GANDERBAL,"JAMMU & KASHMIR",158
"ANIL KUMAR",Independent,PADDER,"JAMMU & KASHMIR",158
"VINOD KUMAR",Independent,SAMBA,"JAMMU & KASHMIR",158
"RAFIQ AHMAD KUNROO","Jammu & Kashmir Awami National Conference",ANANTNAG,"JAMMU & KASHMIR",155
"SANJEEV LUTHRA","Sainik Samaj Party","JAMMU EAST","JAMMU & KASHMIR",155
"MOHAMMAD ABDULLAH KHAN","Republican Party of India (Athawale)",SONAWARI,"JAMMU & KASHMIR",153
"AASIFUL HASSAN",Independent,ZADIBAL,"JAMMU & KASHMIR",153
"BALWAN SINGH",Independent,VIJAYPUR,"JAMMU & KASHMIR",152
"BODH RAJ MEANIA","Jammu & Kashmir Peoples Democratic Party",REASI,"JAMMU & KASHMIR",151
"SHEIKH SARWAR HUSSAIN",Independent,"LAL CHOWK","JAMMU & KASHMIR",151
NOTA,"None of the Above",GUREZ,"JAMMU & KASHMIR",150
"NARESH KUMAR CHIB","Jammu & Kashmir National Panthers Party (Bhim)","JAMMU NORTH","JAMMU & KASHMIR",150
"HARBANS LAL",Independent,"R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",149
"SHIKHA BANDRAL","National Awami United Party","JAMMU WEST","JAMMU & KASHMIR",149
"ATUL RAINA",Independent,"R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",148
NOTA,"None of the Above",HABBAKADAL,"JAMMU & KASHMIR",148
"MEENAKSHI KALRA",Independent,"DODA WEST","JAMMU & KASHMIR",146
"RAJESH GONDHI","Jammu & Kashmir National Panthers Party (Bhim)","JAMMU EAST","JAMMU & KASHMIR",144
"SAT PAUL","Samajwadi Party",NAGROTA,"JAMMU & KASHMIR",144
"ASIF D.M",Independent,"JAMMU EAST","JAMMU & KASHMIR",142
"KULWANT SINGH",Independent,BAHU,"JAMMU & KASHMIR",140
"DR SAJJAD HUSSAIN QANUNGO","Jammu & Kashmir All Alliance Democratic Party",HAZRATBAL,"JAMMU & KASHMIR",139
"ANOOP KUMAR",Independent,KISHTWAR,"JAMMU & KASHMIR",138
"ROHIT SHARMA","Jammu & Kashmir National Panthers Party (Bhim)",BAHU,"JAMMU & KASHMIR",138
"ABID HUSSAIN MALIK","Bhim Sena",GULMARG,"JAMMU & KASHMIR",137
"BISHAN DASS BABORIA","Nationalist Congress Party",BAHU,"JAMMU & KASHMIR",136
"RAJAN JAMWAL","Jammu & Kashmir National Panthers Party (Bhim)",SAMBA,"JAMMU & KASHMIR",134
"AJAZ AHMAD SOFI",Independent,HABBAKADAL,"JAMMU & KASHMIR",134
"AIJAZ AHMAD GUROO",Independent,SOPORE,"JAMMU & KASHMIR",129
"SANTOSH LABROO","Jammu & Kashmir All Alliance Democratic Party",BARAMULLA,"JAMMU & KASHMIR",127
"MEENAKSHI CHIBBER","ShivSena (Uddhav Balasaheb Thackeray)","JAMMU WEST","JAMMU & KASHMIR",126
"RAKESH KUMAR","Shiv Sena (Uddhav Balasaheb Thackeray)",KALAKOTE,"JAMMU & KASHMIR",126
"MIRZA SAJAD HUSSAIN BEIGH",Independent,ZADIBAL,"JAMMU & KASHMIR",125
"INAM HUSSAIN",Independent,"CENTRAL SHALTENG","JAMMU & KASHMIR",124
"A. R. WANI","Jammu & Kashmir Awami National Conference",CHANNAPORA,"JAMMU & KASHMIR",123
"MOHD SIDIQ SHAH",Independent,HAZRATBAL,"JAMMU & KASHMIR",117
"ABDUL HAMID WANI","Jammu & Kashmir All Alliance Democratic Party",SHANGUS,"JAMMU & KASHMIR",117
"GHULAM RASOOL",Independent,GUREZ,"JAMMU & KASHMIR",113
"MOHAMMAD SHAFI KHAN KASHI",Independent,KHANYAR,"JAMMU & KASHMIR",112
"GANESH DUTT SHARMA","Jammu & Kashmir Peoples Democratic Party",JASROTA,"JAMMU & KASHMIR",112
"BASHIR AHMAD PARRAY","Sampoorna Bharat Kranti Party",PATTAN,"JAMMU & KASHMIR",111
"FAROOQ AHMED","Jammu & Kashmir National Panthers Party (Bhim)",KHANYAR,"JAMMU & KASHMIR",111
"MEHRAJ UD DIN AHANGER","Samajwadi Party",EIDGAH,"JAMMU & KASHMIR",110
"MOHAMMAD HAMZA LONE","Jammu & Kashmir People Conference",GUREZ,"JAMMU & KASHMIR",109
"PRIYANKA SHARMA",Independent,"JAMMU NORTH","JAMMU & KASHMIR",109
"PINTY DEVI",Independent,KALAKOTE,"JAMMU & KASHMIR",109
"MOHAMMAD MAQBOOL MAKNU",Independent,BARAMULLA,"JAMMU & KASHMIR",107
"RAJESH KUMAR","Shiv Sena (Uddhav Balasaheb Thackeray)",JASROTA,"JAMMU & KASHMIR",104
"KULBIR KUMAR",Independent,SUCHETGARH,"JAMMU & KASHMIR",104
"SHABIR CHOWDHARY","Jammu and Kashmir Apni Party",NAGROTA,"JAMMU & KASHMIR",103
"QARI ZAHEER ABBAS BHATTI","All India Forward Bloc","LAL CHOWK","JAMMU & KASHMIR",103
"MOHAMMAD FAROOQ KHAN","Samajwadi Party",HABBAKADAL,"JAMMU & KASHMIR",100
"JEELANI HAMID KUMAR","Jammu and Kashmir Apni Party",HABBAKADAL,"JAMMU & KASHMIR",97
"ASHOK SHAIB",Independent,HABBAKADAL,"JAMMU & KASHMIR",97
"RAVINDER SINGH",Independent,"R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",97
"DR SOHAIL MUZAMMIL GONI","Jammu & Kashmir All Alliance Democratic Party",BAHU,"JAMMU & KASHMIR",96
"SHADIB HANIEF KHAN","Nationalist Congress Party",HAZRATBAL,"JAMMU & KASHMIR",96
"SHABIR AHMAD MALIK",Independent,KHANYAR,"JAMMU & KASHMIR",94
"SULAKSH GUPTA",Independent,BAHU,"JAMMU & KASHMIR",93
"SUNNY KANT CHIB",Independent,"R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",92
"RISHI KAUL",Independent,"JAMMU WEST","JAMMU & KASHMIR",87
"QARI ZAHEER ABBAS BHATTI","All India Forward Bloc",BAHU,"JAMMU & KASHMIR",84
"RIYAZ AHMAD BHAT",Independent,KHANYAR,"JAMMU & KASHMIR",76
"SAWTANTER BHARAT BAKSHI","Haq Insaaf Party","JAMMU WEST","JAMMU & KASHMIR",73
"NANAJI DEMBI","Sampoorna Bharat Kranti Party",HABBAKADAL,"JAMMU & KASHMIR",65
"NISSAR AHMED DAR","Nationalist Congress Party",EIDGAH,"JAMMU & KASHMIR",65
"OM PRAKASH GUPTA",Independent,"JAMMU NORTH","JAMMU & KASHMIR",61
"FAYAZ AHMAD BUTT",Independent,HABBAKADAL,"JAMMU & KASHMIR",58
"SULAKSH GUPTA",Independent,"R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",57
"RUBINA AKHTER","National Loktantrik Party",HABBAKADAL,"JAMMU & KASHMIR",46
"FAISAL MANZOOR","Jammu & Kashmir National Panthers Party (Bhim)",HABBAKADAL,"JAMMU & KASHMIR",40
"SUBASH CHANDER",Independent,"R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",28
