CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
"NARINDER SINGH",Independent,CHHAMB,"JAMMU & KASHMIR",8005
"IRSHAD HUSSAIN GANAIE","Indian National Congress",LANGATE,"JAMMU & KASHMIR",7823
"MOOL RAJ","Indian National Congress",RAMNAGAR,"JAMMU & KASHMIR",7800
"GULAM AHMAD KHAN","Jammu & Kashmir Peoples Democratic Party",BEERWAH,"JAMMU & KASHMIR",7718
"MUBARIK GUL","Jammu & Kashmir National Conference",EIDGAH,"JAMMU & KASHMIR",7700
"ABDUL MAJID BANDAY",Independent,HANDWARA,"JAMMU & KASHMIR",7639
"MOHD AMIN DAR","Jammu & Kashmir Peoples Democratic Party",KULGAM,"JAMMU & KASHMIR",7561
"MOHD SHABIR KHAN","Indian National Congress",THANNAMANDI,"JAMMU & KASHMIR",7508
"SAJAD GANI LONE","Jammu & Kashmir People Conference",KUPWARA,"JAMMU & KASHMIR",7457
"FAQEER MOHAMMAD KHAN","Bharatiya Janata Party",GUREZ,"JAMMU & KASHMIR",7246
"NADEEM SHARIEF","Indian National Congress",BHADARWAH,"JAMMU & KASHMIR",7151
"NADEEM AHMED KHAN","Jammu & Kashmir Peoples Democratic Party",MENDHAR,"JAMMU & KASHMIR",7135
"ANWAR JAAN",Independent,KOKERNAG,"JAMMU & KASHMIR",6977
"MOHAMMAD AMIN BHAT","Democratic Progressive Azad Party",DEVSAR,"JAMMU & KASHMIR",6959
"JAVID AHMAD QADRI","Bharatiya Janata Party",SHOPIAN,"JAMMU & KASHMIR",6895
"PEERZADA MOHAMMAD SYED","Indian National Congress",ANANTNAG,"JAMMU & KASHMIR",6679
"SYED SHAFAT QAZMI","Jammu and Kashmir Apni Party",BANDIPORA,"JAMMU & KASHMIR",6650
"MURSALEEN AAJIR",Independent,SOPORE,"JAMMU & KASHMIR",6619
"MOHD RAFIQ WANI","Bharatiya Janata Party","ANANTNAG WEST","JAMMU & KASHMIR",6574
"BILAL AHMAD DEVA","Democratic Progressive Azad Party","ANANTNAG WEST","JAMMU & KASHMIR",6530
"ABDUL GANI VAKIL","Jammu & Kashmir People Conference",RAFIABAD,"JAMMU & KASHMIR",6370
"NASEER AHMAD RATHER",Independent,WAGOORA,"JAMMU & KASHMIR",6355
"FIRDOUS AHMAD MIR","Jammu & Kashmir Peoples Democratic Party",KARNAH,"JAMMU & KASHMIR",6354
"HAJI FAROOQ AHMAD MIR",Independent,LOLAB,"JAMMU & KASHMIR",6292
"MOHD SALEEM BHAT","Bharatiya Janata Party",BANIHAL,"JAMMU & KASHMIR",6285
"GH MOHI UD DIN WANI","Jammu & Kashmir Peoples Democratic Party",ZAINAPORA,"JAMMU & KASHMIR",6209
"ISHFAQ AHMAD SHEIKH",Independent,GANDERBAL,"JAMMU & KASHMIR",6060
"GHULAM NABI BHAT",Independent,EIDGAH,"JAMMU & KASHMIR",6020
"ABID HUSSAIN ANSARI","Jammu & Kashmir People Conference",ZADIBAL,"JAMMU & KASHMIR",6016
"SHABIR AHMED MIR","Jammu & Kashmir Peoples Democratic Party",GULMARG,"JAMMU & KASHMIR",6012
"BALBIR SINGH","Indian National Congress",NAGROTA,"JAMMU & KASHMIR",5979
"MUZAFAR HUSSAIN BAIG",Independent,BARAMULLA,"JAMMU & KASHMIR",5872
"MOHAMMAD MAQBOOL SHAH",Independent,PAMPORE,"JAMMU & KASHMIR",5846
"NAZIR AHMAD BHAT",Independent,DEVSAR,"JAMMU & KASHMIR",5838
"UDESH PAUL SHARMA",Independent,"POONCH HAVELI","JAMMU & KASHMIR",5731
"PIRZADA FIRDOUS AHMAD",Independent,KUPWARA,"JAMMU & KASHMIR",5672
"BHUPINDER SINGH","Indian National Congress","SHRI MATA VAISHNO DEVI","JAMMU & KASHMIR",5655
"ARSHEED AHMAD BHAT","Bharatiya Janata Party",RAJPORA,"JAMMU & KASHMIR",5584
"SUHIL AHMAD BHAT",Independent,DEVSAR,"JAMMU & KASHMIR",5506
"YAWAR SHAFI BANDAY","Peoples Democratic Party",SHOPIAN,"JAMMU & KASHMIR",5486
"PEER BILAL AHMAD","Democratic Progressive Azad Party",HAZRATBAL,"JAMMU & KASHMIR",5471
"MOHAMMAD ASHRAF MIR","Jammu and Kashmir Apni Party","LAL CHOWK","JAMMU & KASHMIR",5388
"TOUSEEF MEHRAJ RAINA",Independent,BARAMULLA,"JAMMU & KASHMIR",5324
"ABDUL RASHID DAR","Indian National Congress",SOPORE,"JAMMU & KASHMIR",5167
"GOWHAR HUSSAIN WANI","Jammu and Kashmir Apni Party",ZAINAPORA,"JAMMU & KASHMIR",5163
"RAJA MANZOOR AHMAD KHAN","Jammu and Kashmir Apni Party",KARNAH,"JAMMU & KASHMIR",5151
"SHEIKH IMRAN",Independent,KHANYAR,"JAMMU & KASHMIR",4994
"MEHBOOB BEG","Jammu & Kashmir Peoples Democratic Party",ANANTNAG,"JAMMU & KASHMIR",4993
"ZUHAIB YOUSF MIR","Jammu & Kashmir Peoples Democratic Party","LAL CHOWK","JAMMU & KASHMIR",4966
"AMAN ULLAH MANTOO","Indian National Congress",DEVSAR,"JAMMU & KASHMIR",4746
"MIR IQBAL AHMAD","Indian National Congress",BARAMULLA,"JAMMU & KASHMIR",4669
"AADIL NAZIR KHAN",Independent,GULMARG,"JAMMU & KASHMIR",4656
"MUHAMMAD IRFAN SHAH",Independent,"CENTRAL SHALTENG","JAMMU & KASHMIR",4538
"SUNIL VERMA","Jammu & Kashmir National Conference","UDHAMPUR EAST","JAMMU & KASHMIR",4495
"MANZOOR AHMAD BHAT",Independent,"LAL CHOWK","JAMMU & KASHMIR",4475
"HAKEEM MOHAMMAD YASEEN SHAH","Jammu And Kashmir Peoples Democratic Front (Secular)","CHRAR-I- SHARIEF","JAMMU & KASHMIR",4401
"VINOD KUMAR","Democratic Progressive Azad Party",SAMBA,"JAMMU & KASHMIR",4289
"HILAL AHMAD SHAH","Jammu and Kashmir Apni Party",ANANTNAG,"JAMMU & KASHMIR",4245
"USHA DEVI",Independent,SUCHETGARH,"JAMMU & KASHMIR",4210
"SHAM SINGH",Independent,"SHRI MATA VAISHNO DEVI","JAMMU & KASHMIR",4191
"ROSHAN HUSSAIN KHAN GOJAR","Bharatiya Janata Party",KOKERNAG,"JAMMU & KASHMIR",4173
"SHEIKH RIAZ AHMED","Indian National Congress",DODA,"JAMMU & KASHMIR",4170
"NOOR MOHAMMAD SHEIKH",Independent,"CENTRAL SHALTENG","JAMMU & KASHMIR",4103
