STATE,CANDIDATE,CONSTITUENCY_COUNT
"NEW DELHI","KAILASH GAHLOT",1
"NEW DELHI","KAILASH GANGWAL",1
"NEW DELHI","KALI CHARAN",1
"NEW DELHI","KAMAL ARORA (DABBU)",1
"NEW DELHI","KAMAL BAGRI",1
"NEW DELHI","KAMAL KISHORE",1
"NEW DELHI","KAMAL SINGH",1
"NEW DELHI","KAMLA DEVI",1
"NEW DELHI","KAMLESH KUMAR",1
"NEW DELHI","KANCHAN SHARMA",1
"NEW DELHI","KANEEZ FATIMA",1
"NEW DELHI","KANWAR KARAN SINGH",1
"NEW DELHI","KAPIL MISHRA",1
"NEW DELHI","KARAM SINGH KARMA",1
"NEW DELHI","KARAN SINGH",1
"NEW DELHI","KARAN TALWAR",1
"NEW DELHI","KARNAIL SINGH",1
"NEW DELHI","KARTAR SINGH TANWAR",1
"NEW DELHI","KASHMIR CHAND",1
"NEW DELHI","KHALID UR REHMAN",1
"NEW DELHI",KHILKHILAKAR,1
"NEW DELHI","KHURSHEED ABBAS ZAIDI",1
"NEW DELHI","KHUSHI RAM CHUNAR",1
"NEW DELHI","KRISHNA THAKUR",1
"NEW DELHI","KRISHNA TIRATH",1
"NEW DELHI","KU. RINKU",1
"NEW DELHI","KULDEEP KUMAR (MONU)",1
"NEW DELHI","KULDEEP SINGH AHLAWAT",1
"NEW DELHI","KULDEEP SOLANKI",1
"NEW DELHI","KULWANT RANA",1
"NEW DELHI","KULWANT RANA",1
"NEW DELHI","KUSUM LATA",1
"NEW DELHI","LAL SINGH",1
"NEW DELHI","LALA RAM",1
"NEW DELHI","LALITA TRIVEDI",1
"NEW DELHI",LAXMI,1
"NEW DELHI","LAXMI THAKUR SINGHAL",1
"NEW DELHI","LOKENDRA KALYAN SINGH",1
"NEW DELHI","LOKESH KUMAR MASTERJI",1
"NEW DELHI","MADHU BALA",1
"NEW DELHI",MAHAVIR,1
"NEW DELHI","MAHAVIR SINGH",1
"NEW DELHI","MAHENDER CHAUDHARY",1
"NEW DELHI","MAHENDER KUMAR",1
"NEW DELHI","MAHENDER SINGH RATHOR",1
"NEW DELHI","MAHESH BANSAL",1
"NEW DELHI","MAHESH DUBEY",1
"NEW DELHI","MAHESH KUMAR",1
"NEW DELHI","MAHINDER YADAV",1
"NEW DELHI","MALIK NEYAZ AHMAD",1
"NEW DELHI","MANGE RAM",1
"NEW DELHI","MANGE RAM SANGWAN",1
"NEW DELHI","MANGESH TYAGI",1
"NEW DELHI","MANI RAM",1
"NEW DELHI","MANISH CHAUDHARY",1
"NEW DELHI","MANISH SISODIA",1
"NEW DELHI","MANJEET SINGH",1
"NEW DELHI","MANJINDER SINGH SIRSA",1
"NEW DELHI",MANOJ,1
"NEW DELHI","MANOJ KUMAR",1
"NEW DELHI","MANOJ KUMAR",1
"NEW DELHI","MANOJ KUMAR JINDAL",1
"NEW DELHI","MANOJ KUMAR SHOKEEN",1
"NEW DELHI","MANOJ KUMAR TYAGI",1
"NEW DELHI","MANU GAUTAM",1
"NEW DELHI","MAYANK MEHTA",1
"NEW DELHI","MD HAROON",1
"NEW DELHI","MD INJAMAMUL HASSAN",1
"NEW DELHI","MD KHALID",1
"NEW DELHI","MD NAVEEN",1
"NEW DELHI","MD NAZIR",1
"NEW DELHI","MD: RAHMAT ALI",1
"NEW DELHI","MEENAKSHI KUMARI",1
"NEW DELHI","MEGHNAD S.",1
"NEW DELHI","MEHAR CHARAN",1
"NEW DELHI","MOAZAM KHAN",1
"NEW DELHI","MOHAMMAD ABDULLAH ANSARI",1
"NEW DELHI","MOHAMMAD AHMED SAIFI",1
"NEW DELHI","MOHAMMAD MURSALEEN",1
"NEW DELHI","MOHAN LAL BHARDWAJ",1
"NEW DELHI","MOHAN SINGH BISHT",1
"NEW DELHI","MOHD ISHRAQ KHAN",1
"NEW DELHI","MOHD ISLAM",1
"NEW DELHI","MOHD JAVED",1
"NEW DELHI","MOHD NAZIR",1
"NEW DELHI","MOHD OJER",1
"NEW DELHI","MOHD SHAFI",1
"NEW DELHI","MOHD USMAN BAKHSH",1
"NEW DELHI","MOHD WAQAR CHOUDHARY",1
"NEW DELHI","MOHD ZAKIULLAH",1
"NEW DELHI","MOHD ZUBAIR MALIK",1
"NEW DELHI","MOHD. SHADAB",1
"NEW DELHI","MOHD. TAHIR HUSSAIN",1
"NEW DELHI","MOHD. USMAN",1
"NEW DELHI","MOHINDER GOYAL",1
"NEW DELHI","MOHINDER SINGH",1
"NEW DELHI","MONIS KURESHI",1
"NEW DELHI","MUDIT AGARWAL",1
"NEW DELHI","MUKESH JAIN",1
"NEW DELHI","MUKESH JAIN",1
"NEW DELHI","MUKESH KUMAR AHLAWAT",1
"NEW DELHI","MUKESH KUMAR GOEL",1
"NEW DELHI","MUKESH PRASAD",1
"NEW DELHI","MUKESH SHARMA",1
"NEW DELHI","MULAYAM SINGH",1
"NEW DELHI",NAMAHA,1
"NEW DELHI","NAMIT KUMAR GAUTAM",1
"NEW DELHI","NAND LAL",1
"NEW DELHI","NARAYAN DUTT SHARMA",1
"NEW DELHI",NARENDER,1
"NEW DELHI","NARENDER SINGH",1
"NEW DELHI","NARENDER SINGH PANWAR",1
"NEW DELHI","NARESH KUMAR",1
"NEW DELHI","NARESH KUMAR",1
"NEW DELHI","NASEEM USMAN",1
"NEW DELHI","NASIRUDDIN GAURI",1
"NEW DELHI","NAVEEN CHAUDHARY (DEEPU)",1
"NEW DELHI","NAVEEN KUMAR",1
"NEW DELHI","NAVEEN RAM",1
"NEW DELHI","NEELAM PAHALWAN",1
"NEW DELHI","NEELAM SINGH",1
"NEW DELHI",NEERAJ,1
"NEW DELHI","NEERAJ BASOYA",1
"NEW DELHI","NEERAJ CHOURASIYA",1
"NEW DELHI","NEETU SINGH",1
"NEW DELHI","NEYAZ KHAN",1
"NEW DELHI","NIKHIL KUMAR PIPAL",1
"NEW DELHI","NIRAJ KUMAR",1
"NEW DELHI","NISHANT SEHRAWAT",1
"NEW DELHI",NISHTHA,1
"NEW DELHI","NITIN GARG",1
"NEW DELHI","NITIN MITTAL",1
"NEW DELHI","NITYA NAND SINGH",1
"NEW DELHI","NIYATI CHOUDHARY",1
"NEW DELHI","NIZAMUDDIN KHAN",1
"NEW DELHI","OM PRAKASH GUPTA",1
"NEW DELHI","OM PRAKASH SHARMA",1
"NEW DELHI","OM SHANKAR PANDEY",1
"NEW DELHI","PANKAJ GUPTA",1
"NEW DELHI","PANKAJ JAGYA",1
"NEW DELHI","PANKAJ KUMAR",1
"NEW DELHI","PANKAJ KUMAR SINGH",1
"NEW DELHI","PANKAJ SHARMA",1
"NEW DELHI","PARAG JAIN",1
"NEW DELHI",PARDEEP,1
"NEW DELHI","PARDEEP KUMAR",1
"NEW DELHI","PARDEEP MITTAL",1
"NEW DELHI","PARDUYMN SINGH RAJPUT",1
"NEW DELHI","PARMOD KUMAR",1
"NEW DELHI","PARTEEK GUPTA",1
"NEW DELHI","PARVEEN CHAUHAN",1
"NEW DELHI","PARVEEN CHOUDHRY",1
"NEW DELHI","PARVEEN KUMAR",1
"NEW DELHI","PARVEEN KUMAR JAIN",1
"NEW DELHI","PARVESH SAHIB SINGH",1
"NEW DELHI","PARVINDER SINGH ALIAS P S BAWA",1
"NEW DELHI","PAWAN CHOUDHRY",1
"NEW DELHI","PAWAN GARG",1
"NEW DELHI","PAWAN SHARMA",1
"NEW DELHI",PERMILA,1
"NEW DELHI","POONAM MAINI",1
"NEW DELHI","POONAM SHARMA",1
"NEW DELHI","POSH BALYAN",1
"NEW DELHI","PRABHAT KUMAR",1
"NEW DELHI","PRADEEP KUMAR UPMANYU",1
"NEW DELHI","PRAKASH CHAND",1
"NEW DELHI","PRAKASH CHANDRA JOSHI",1
"NEW DELHI","PRAKASH SRIVASTAV",1
"NEW DELHI","PRAMILA TOKAS",1
"NEW DELHI",PRAMOD,1
"NEW DELHI","PRASHANT CHAUHAN",1
"NEW DELHI","PRAVEEN KUMAR",1
"NEW DELHI","PRAVEEN KUMAR BHARTI",1
"NEW DELHI","PRAVEEN NIMESH",1
"NEW DELHI","PRAVESH RATN",1
"NEW DELHI","PREETAM CHAND",1
"NEW DELHI",PREETI,1
"NEW DELHI","PREETI JITENDER TOMAR",1
"NEW DELHI","PREM BALLABH",1
"NEW DELHI","PREM CHAND",1
"NEW DELHI","PREM CHAUHAN",1
"NEW DELHI","PREM PAL SINGH",1
"NEW DELHI","PRITAM SINGH",1
"NEW DELHI",PRIYA,1
"NEW DELHI","PRIYANKA GAUTAM",1
"NEW DELHI","PUNAM PANDEY",1
"NEW DELHI","PUNAM PANDEY",1
"NEW DELHI","PUNARDEEP SINGH SAWHNEY (SABBY)",1
"NEW DELHI","PUSHPA SINGH",1
"NEW DELHI","QAMAR ALI",1
"NEW DELHI","R. C. SHARMA",1
"NEW DELHI","RAAJ KUMAR ANAND",1
"NEW DELHI","RAGHUVINDER SHOKEEN",1
"NEW DELHI","RAGHVINDER SINGH",1
"NEW DELHI","RAGINI NAYAK",1
"NEW DELHI","RAHISUDDIN AHMAD",1
"NEW DELHI","RAHUL KUMAR",1
"NEW DELHI","RAHUL KUMAR",1
"NEW DELHI","RAHUL RAI",1
"NEW DELHI","RAHUL TIWARI",1
"NEW DELHI","RAI SINGH",1
"NEW DELHI","RAJ KARAN KHATRI",1
"NEW DELHI","RAJ KUMAR",1
"NEW DELHI","RAJ KUMAR BHATIA",1
"NEW DELHI","RAJ KUMAR CHAUHAN",1
"NEW DELHI","RAJ KUMARI DHILLON",1
"NEW DELHI","RAJA RAM",1
"NEW DELHI","RAJAN SINGH",1
"NEW DELHI",RAJBIR,1
"NEW DELHI",RAJENDER,1
"NEW DELHI","RAJENDER SINGH",1
"NEW DELHI","RAJENDER SINGH TANWAR",1
"NEW DELHI","RAJENDRA KUMAR PAL",1
"NEW DELHI",RAJESH,1
"NEW DELHI","RAJESH CHAUHAN",1
"NEW DELHI","RAJESH GUPTA",1
"NEW DELHI","RAJESH GUPTA",1
"NEW DELHI","RAJESH KUMAR",1
"NEW DELHI","RAJESH KUMAR",1
"NEW DELHI","RAJESH KUMAR GUPTA",1
"NEW DELHI","RAJESH KUMAR LOHIYA",1
"NEW DELHI","RAJESH KUMAR YADAV",1
"NEW DELHI","RAJESH LILOTHIA",1
"NEW DELHI","RAJIV BHRIGUKUMAR",1
"NEW DELHI","RAJIV CHAUDHARY",1
"NEW DELHI","RAJIV KUMAR",1
"NEW DELHI","RAJIV KUMAR BABBAR",1
"NEW DELHI","RAJKUMAR BHARTI",1
"NEW DELHI","RAJNEESH KUMAR JHA",1
"NEW DELHI",RAJNI,1
"NEW DELHI","RAJNI SHARMA",1
"NEW DELHI","RAJU RICHARIYA",1
"NEW DELHI",RAKESH,1
"NEW DELHI","RAKESH RANJAN SHRIVASTAV",1
"NEW DELHI","RAKESH SAGAR",1
"NEW DELHI","RAKHI BIRLA",1
"NEW DELHI","RAM AVTAR",1
"NEW DELHI","RAM BAHADUR",1
"NEW DELHI","RAM NIWAS",1
"NEW DELHI","RAM RAJ SINGH",1
"NEW DELHI","RAM SAJIVAN",1
"NEW DELHI","RAM SINGH NETAJI",1
"NEW DELHI","RAMBIR SHOKEEN",1
"NEW DELHI","RAMESH ADVOCATE",1
"NEW DELHI","RAMESH BIDHURI",1
"NEW DELHI","RAMESH JAGANNATH SHAH",1
"NEW DELHI","RAMESH PAHELWAN",1
"NEW DELHI","RAMESHWAR MAHTO",1
"NEW DELHI","RAMSWAROOP SAMRIA",1
"NEW DELHI","RANDHIR KUMAR",1
"NEW DELHI","RANDHIR SINGH TANDI",1
"NEW DELHI",RANJEET,1
"NEW DELHI","RANJEET KUMAR",1
"NEW DELHI","RANJEET VERMA",1
"NEW DELHI","RATAN TYAGI",1
"NEW DELHI","RAVI KANT",1
"NEW DELHI","RAVI PARTAP RAO",1
"NEW DELHI","RAVI RATHORE",1
"NEW DELHI","RAVINDER INDRAJ SINGH",1
"NEW DELHI","RAVINDER KUMAR",1
"NEW DELHI","RAVINDER SINGH",1
"NEW DELHI","Ravinder Singh Negi (Ravi Negi)",1
"NEW DELHI","RAVINDER SINGH RAWAT",1
"NEW DELHI","RAVINDRA SINGH RAVIYODAYA",1
"NEW DELHI","REKHA GUPTA",1
"NEW DELHI","REKHA SINGH",1
"NEW DELHI","RICHA KUMARI",1
"NEW DELHI","RINA DEVI",1
"NEW DELHI","RIZWANA KHATOON",1
"NEW DELHI",ROHIT,1
"NEW DELHI","ROHIT CHOUDHARY",1
"NEW DELHI","ROHIT KASHYAP",1
"NEW DELHI","ROHTASH KUMAR",1
"NEW DELHI","ROMAN RASHID",1
"NEW DELHI","ROOP SINGH AHIRWAR",1
"NEW DELHI","S. M. AQIF",1
"NEW DELHI","SABIR KHAN",1
"NEW DELHI",SACHIN,1
"NEW DELHI","SADRE ALAM",1
"NEW DELHI","SAGAR TANHA",1
"NEW DELHI","SAHI RAM",1
"NEW DELHI",SANAULLAH,1
"NEW DELHI","SANDEEP DIKSHIT",1
"NEW DELHI","SANDEEP SEHRAWAT",1
"NEW DELHI","SANDHIYA TIWARI",1
"NEW DELHI",SANGEETA,1
"NEW DELHI","SANGH MITRA",1
"NEW DELHI","SANGH PRIYA SIDDHARTHA",1
"NEW DELHI","SANGHA NAND BAUDDH",1
"NEW DELHI",SANJAY,1
"NEW DELHI","SANJAY GOYAL",1
"NEW DELHI","SANJAY MISHRA (SITARAM)",1
"NEW DELHI","SANJAY NEGI",1
"NEW DELHI","SANJAY RAWAT",1
"NEW DELHI","SANJAY YADAV ADVOCATE",1
"NEW DELHI","SANJAYA KUMAR YADAV",1
"NEW DELHI","SANJEEV JHA",1
"NEW DELHI","SANJEEV KUMAR",1
"NEW DELHI","SANJEEV KUMAR RANA",1
"NEW DELHI",SANTOSH,1
"NEW DELHI","SANTOSH KUMAR",1
"NEW DELHI","SANTOSH RAI",1
"NEW DELHI",SARAVANAN,1
"NEW DELHI","SARITA SINGH",1
"NEW DELHI","SARITA SINGH",1
"NEW DELHI","SAROJ BALA",1
"NEW DELHI","SATENDER SHARMA",1
"NEW DELHI","SATISH JAIN",1
"NEW DELHI","SATISH KUMAR",1
"NEW DELHI","SATISH KUMAR GULLIYA",1
"NEW DELHI","SATISH KUMAR LUTHRA",1
"NEW DELHI","SATISH UPADHYAY",1
"NEW DELHI",SATPAL,1
"NEW DELHI","SATYENDAR JAIN",1
"NEW DELHI","SAURABH BHARADWAJ",1
"NEW DELHI","SAURABH GUPTA",1
"NEW DELHI",SEEMA,1
"NEW DELHI","SEWA DASS",1
"NEW DELHI",SHABANA,1
"NEW DELHI","SHAIL KUMARI",1
"NEW DELHI","SHAILENDRA KUMAR",1
"NEW DELHI","SHARAD KUMAR",1
"NEW DELHI","SHARDA DIXIT",1
"NEW DELHI","SHARDA SINGH",1
"NEW DELHI","SHASHI PABHA",1
"NEW DELHI","SHEELA DEVI",1
"NEW DELHI","SHEIKH ARSALAN ULLAH CHISHTI",1
"NEW DELHI","SHEJO VARGHESE",1
"NEW DELHI","SHER MOHAMMAD",1
"NEW DELHI","SHIFA UR REHMAN KHAN",1
"NEW DELHI","SHIKHA ROY",1
"NEW DELHI","SHIV KUMAR",1
"NEW DELHI","SHIV KUMAR(KAKE)",1
"NEW DELHI","SHIV PRASAD VERMA",1
"NEW DELHI","SHIVANK SINGAL",1
"NEW DELHI","SHIVCHARAN GOEL",1
"NEW DELHI",SHUBHAM,1
"NEW DELHI","SHVETA SAINI",1
"NEW DELHI",SHWETA,1
"NEW DELHI","SHYAM BABU",1
"NEW DELHI","SHYAM KUMAR",1
"NEW DELHI","SHYAM SHARMA",1
"NEW DELHI",SIRAJUDDIN,1
"NEW DELHI","SOM DUTT",1
"NEW DELHI","SOM DUTT SHARMA",1
"NEW DELHI","SOMNATH BHARTI",1
"NEW DELHI",SONU,1
"NEW DELHI","SONU KAUSHIK",1
"NEW DELHI",SUBHASH,1
"NEW DELHI","SUBHASH CHAND GUPTA",1
"NEW DELHI","SUDESH SHARMA",1
"NEW DELHI","SUDHIR NEGI",1
"NEW DELHI","SUMAN LATA SEHRAWAT",1
