CANDIDATE,PARTY,CONSTITUENCY,STATE,VOTES
"ISHWAR SINGH RATHEE","Socialist Unity Centre Of India (COMMUNIST)",SONIPAT,HARYANA,246
"MANI RAM","Liberal Socialist Party",SIRSA,HARYANA,246
"MUKESH SHARMA",Independent,GURGAON,HARYANA,246
"LALIT KUMAR",Independent,DADRI,HARYANA,245
KAMAL,Independent,KARNAL,HARYANA,242
"DALBIR SINGH","Peoples Party of India (Democratic)",RANIA,HARYANA,242
DEVENDER,Independent,"UCHANA KALAN",HARYANA,241
"RAVI KUMAR",Independent,NARNAUND,HARYANA,241
"RAMESH SINGLA",Independent,"PANIPAT RURAL",HARYANA,240
"SUBHASH CHAND",Independent,NILOKHERI,HARYANA,238
MANJEET,"Haryana Jan Sevak Party",KALANAUR,HARYANA,237
NARESH,Independent,MEHAM,HARYANA,236
"NATASHA SOOD",Independent,PANCHKULA,HARYANA,235
"RAJESH KANIPLA",Independent,SHAHBAD,HARYANA,235
"NAVEEN BIDLA",Independent,"AMBALA CANTT.",HARYANA,234
"NIRMALJEET KAUR","Indian Praja Congress",YAMUNANAGAR,HARYANA,234
"WASEEM ZAFFER","Aam Aadmi Party","FEROZEPUR JHIRKA",HARYANA,234
"BABU RAM","Socialist Unity Centre Of India (COMMUNIST)",PUNDRI,HARYANA,232
SARITA,Independent,NILOKHERI,HARYANA,230
NOTA,"None of the Above",GANAUR,HARYANA,230
"COMRADE PAL SINGH",Independent,"UCHANA KALAN",HARYANA,230
"BIJENDER SINGH",Independent,"UCHANA KALAN",HARYANA,230
"SATYAVIR SINGH AMBEDKAR","Republican Party of India",KOSLI,HARYANA,230
"PREM CHAND GAUR","Buland Bharat Party",BADKHAL,HARYANA,230
SUKHWINDER,Independent,YAMUNANAGAR,HARYANA,229
NOTA,"None of the Above",PUNDRI,HARYANA,229
"SURENDER KUMAR PHOOLAN",Independent,RATIA,HARYANA,229
"MANOJ KUMAR","Mission Ekta Party",GUHLA,HARYANA,228
"VINOD SINGH","Rashtrawadi Janlok Party (Satya)","FARIDABAD NIT",HARYANA,228
RAJESH,"Aazad Samaj Party (Kanshi Ram)",SONIPAT,HARYANA,227
"DEVENDER SINGH","Socialist Unity Centre Of India (COMMUNIST)",RAI,HARYANA,225
"SNEH ARYA",Independent,KALANAUR,HARYANA,225
SATISH,Independent,BADSHAHPUR,HARYANA,225
"VIJAY PAL",Independent,SAFIDON,HARYANA,224
"RAJNISH KUMAR",Independent,TOSHAM,HARYANA,224
"KRISHAN KUMAR","Aam Aadmi Parivartan Party",MEHAM,HARYANA,223
"RABIA KIDWAI","Aam Aadmi Party",NUH,HARYANA,222
"BABA ISHWAR NATH","Aam Aadmi Parivartan Party",KALANAUR,HARYANA,221
"SANJAY LAL",Independent,GURGAON,HARYANA,221
RAJBIR,Independent,RATIA,HARYANA,220
"SUNEEL RAO","Aam Aadmi Party",ATELI,HARYANA,220
"ASHOK JANGRA","Jannayak Janta Party",GURGAON,HARYANA,220
"JITENDER KUMAR",Independent,PRITHLA,HARYANA,220
"PRASHANT YADAV",Independent,HISAR,HARYANA,218
"DR. PAWAN KUMAR SHARMA",Independent,BHIWANI,HARYANA,218
"JITENDER SINGH URF DHOLA",Independent,KALAYAT,HARYANA,217
"RENU DALJEET SINGH",Independent,BARWALA,HARYANA,217
"RAVINDER GUPTA",Independent,"FARIDABAD NIT",HARYANA,217
"DARBARA SINGH",Independent,FATEHABAD,HARYANA,215
"MAHABIR SINGH",Independent,GURGAON,HARYANA,214
"ASHWINI SHARMA HRITTWAL",Independent,KAITHAL,HARYANA,213
"POOJA NAGRA",Independent,SADHAURA,HARYANA,212
NOTA,"None of the Above",LADWA,HARYANA,211
"KRISHAN KUMAR",Independent,NARNAUL,HARYANA,211
"RAMESH KHATRI LAMBERDAR",Independent,SONIPAT,HARYANA,208
"YOGESH KANODIA",Independent,SIRSA,HARYANA,208
"RAMESH KHATAK","Jannayak Janta Party",KHARKHAUDA,HARYANA,207
"MOKI DEVI","Aazad Samaj Party (Kanshi Ram)",REWARI,HARYANA,206
SAJID,Independent,PUNAHANA,HARYANA,206
"VINOD KUMAR SHARMA","Jannayak Janta Party",LADWA,HARYANA,205
NOTA,"None of the Above",JULANA,HARYANA,202
"MAHABIR PRASAD",Independent,NALWA,HARYANA,201
SANDEEP,Independent,BADLI,HARYANA,201
"RAJENDER KUMAR",Independent,KALAYAT,HARYANA,200
"SANJAY KUMAR","Bhartiya Shakti Chetna Party",INDRI,HARYANA,200
"DEVENDER KUMAR ALIAS NITU MOR",Independent,BARODA,HARYANA,200
"SUBHASH CHANDER","Rashtriya Janhit Vikas Party",TOSHAM,HARYANA,200
"BALRAJ SINGH",Independent,KAITHAL,HARYANA,199
"GULJARI LAL",Independent,DABWALI,HARYANA,199
ATUL,"Akhil Bhartiya Kisan Majdoor Party",BALLABGARH,HARYANA,199
DEVENDER,Independent,"PANIPAT RURAL",HARYANA,198
RAMPHAL,Independent,ADAMPUR,HARYANA,197
SANDEEP,Independent,BADHRA,HARYANA,197
RAJPAL,"Loktanter Suraksha Party",DADRI,HARYANA,197
"USHMA DEVI",Independent,HODAL,HARYANA,194
"NISHA DESWAL","Aam Aadmi Party",SAFIDON,HARYANA,193
"BANTI BARETH","Peoples Party of India (Democratic)",FATEHABAD,HARYANA,193
JAIDEEP,"Republican Party of India (A)",JHAJJAR,HARYANA,193
MANISH,"Akhil Bhartiya Kisan Majdoor Party","FARIDABAD NIT",HARYANA,193
"AJIT KUMAR",Independent,SAFIDON,HARYANA,192
"MASTER AJIT ARYA","Republican Party of India (A)","UCHANA KALAN",HARYANA,192
"BALDEV KUMAR",Independent,ELLENABAD,HARYANA,192
"RAMBHAGAT YADAV",Independent,BADSHAHPUR,HARYANA,192
"DEVENDER SHEORAN",Independent,"UCHANA KALAN",HARYANA,191
"MUKESH KUMAR",Independent,KOSLI,HARYANA,191
PARDEEP,"Bahujan Mukti Party",TOSHAM,HARYANA,190
ANWAR,"Bharat Jodo Party",NUH,HARYANA,190
"DR. PARVEEN KHARKHODA","Yuga Thulasi Party",KHARKHAUDA,HARYANA,188
SANJAY,Independent,LOHARU,HARYANA,188
NOTA,"None of the Above","UCHANA KALAN",HARYANA,187
SUNITA,Independent,BAHADURGARH,HARYANA,187
"SHIV NATH",Independent,SHAHBAD,HARYANA,185
"COMRADE OM PARKASH","Socialist Unity Centre Of India (COMMUNIST)",ATELI,HARYANA,185
ARVIND,Independent,GOHANA,HARYANA,184
"MOHD. HASHIM",Independent,"FEROZEPUR JHIRKA",HARYANA,183
"MAYANK GIDRA","Haryana Lokhit Party",ELLENABAD,HARYANA,182
"SUMAN KUMAR",Independent,HANSI,HARYANA,182
"VIRENDER PAL",Independent,"UCHANA KALAN",HARYANA,181
"HARISH VERMA",Independent,HANSI,HARYANA,180
"BABA DARSHAN GIRI",Independent,BARWALA,HARYANA,180
"JASSI JASBIR S/O BANI SINGH",Independent,NARNAUND,HARYANA,179
"VINOD KUMAR",Independent,BADSHAHPUR,HARYANA,179
"ARUN NINANIYA",Independent,GOHANA,HARYANA,178
"ANIL KUMAR BATTA",Independent,RADAUR,HARYANA,177
"KRISHAN MAJRA","Mission Ekta Party",NARNAUND,HARYANA,176
ROHIT,Independent,HANSI,HARYANA,176
"ASHOK KUMAR",Independent,RADAUR,HARYANA,174
"SAROJ BALA","Aam Aadmi Party",GANAUR,HARYANA,174
"RANBIR SINGH","Rashtriya Lokswaraj Party",REWARI,HARYANA,174
"RAVINDER MANGALI",Independent,NALWA,HARYANA,173
NOTA,"None of the Above",SAFIDON,HARYANA,172
"PARVEEN KUMAR","Yuga Thulasi Party",ROHTAK,HARYANA,172
"NEERAJ SOUROT",Independent,HODAL,HARYANA,172
"RAJ NARAYAN",Independent,BAWAL,HARYANA,170
"SAWAMI AGNIVESH",Independent,"PANIPAT CITY",HARYANA,169
SUNDARI,Independent,NILOKHERI,HARYANA,168
"NAND KISHOR CHAWLA","Sarva Jan Smaj Party (Nand Kishore Chawla)",HISAR,HARYANA,168
"JOGENDER FOUJI",Independent,ATELI,HARYANA,167
BHUPINDER,Independent,"AMBALA CITY",HARYANA,166
"ADITYA KUMAR SHASTRI",Independent,JAGADHRI,HARYANA,166
"SHYAM LAL GUMTHALA GARHU",Independent,PEHOWA,HARYANA,166
"DR. MAHESH CHAND GAUR",Independent,KAITHAL,HARYANA,166
"RAM LAL KALYAN","Aam Janshakti Party",NARWANA,HARYANA,166
"MANGAT RAM",Independent,BAWAL,HARYANA,166
"YOGESH ODD","Jan Sewak Kranti Party",SIRSA,HARYANA,165
BALJEET,Independent,BAWAL,HARYANA,165
"HIMANSHU SHARMA",Independent,"PANIPAT CITY",HARYANA,164
"BIJENDER KUMAR",Independent,JULANA,HARYANA,164
AMARJEET,Independent,HANSI,HARYANA,163
"BABA BALWAN NATH","Peoples Party of India (Democratic)",TOSHAM,HARYANA,162
"ABHISHEK PUNIA",Independent,THANESAR,HARYANA,159
"RAKESH BHARDWAJ",Independent,BADSHAHPUR,HARYANA,159
"MANOJ DUREJA",Independent,FARIDABAD,HARYANA,158
"BAKIL AKHTAR",Independent,BADKHAL,HARYANA,157
"RENU CHAHAL BALSAMAND",Independent,ADAMPUR,HARYANA,156
"MAHENDER SINGH",Independent,MEHAM,HARYANA,156
"BIJENDER SINGH",Independent,"GARHI SAMPLA",HARYANA,155
CHANDERPAL,"Bhartiya Shakti Chetna Party",BADSHAHPUR,HARYANA,155
"M. GAJE SINGH ADVOCATE",Independent,KHARKHAUDA,HARYANA,154
"KARTAR SINGH THEKEDAR","Peoples Party of India (Democratic)",REWARI,HARYANA,154
"NARENDER KUMAR",Independent,GURGAON,HARYANA,154
"AMIT KUMAR",Independent,PUNDRI,HARYANA,153
JOGIENDER,Independent,"UCHANA KALAN",HARYANA,153
"SUNIL KUMAR",Independent,JHAJJAR,HARYANA,153
"NARENDER SIWACH TINU",Independent,TOHANA,HARYANA,151
"SAROJ BALA",Independent,PANCHKULA,HARYANA,150
"MAHENDER JEVALI","Bhartiya Kisan Party",BADHRA,HARYANA,150
SONI,"Indian Praja Congress",JAGADHRI,HARYANA,149
"VARINDER KUMAR CHAWLA",Independent,KARNAL,HARYANA,149
SATNARAYAN,Independent,KHARKHAUDA,HARYANA,149
MUKESH,Independent,"GARHI SAMPLA",HARYANA,148
"KRISHAN KUMAR",Independent,NARNAUL,HARYANA,148
"RAM MEHAR SINGH",Independent,GANAUR,HARYANA,147
"JASWINDER GOLU",Independent,"AMBALA CANTT.",HARYANA,146
"VIKRAM SINGH SAINI","Bhartiya Shakti Chetna Party",LADWA,HARYANA,144
"NAVEEN KUMAR",Independent,NILOKHERI,HARYANA,144
"BHUPINDER SINGH",Independent,GHARAUNDA,HARYANA,144
JAIBIR,Independent,FATEHABAD,HARYANA,144
"PARDUMAN JOSHILA",Independent,NALWA,HARYANA,143
"KRISHAN KUMAR",Independent,TOSHAM,HARYANA,143
"NARENDER SINGH FAUJI",Independent,JHAJJAR,HARYANA,143
"KANCHAN SHARMA","Bhartiya Shakti Chetna Party",YAMUNANAGAR,HARYANA,142
"VISHNU YADAV","Bharatiya Asha Party",MAHENDRAGARH,HARYANA,142
"JAIVEER SINGH RANGA","Republican Party of India (A)",THANESAR,HARYANA,141
VIKASH,Independent,MEHAM,HARYANA,141
"MAMTA SOLANKI",Independent,PALWAL,HARYANA,141
SUNNY,Independent,GOHANA,HARYANA,140
"LUCKY BALMIKI","Jan Sewak Kranti Party",RANIA,HARYANA,140
"SUNIL DUTT",Independent,"AMBALA CITY",HARYANA,138
"PARVEEN KUMAR",Independent,HISAR,HARYANA,138
"MAHENDER BAGRI","Mission Ekta Party",ROHTAK,HARYANA,138
"MAYUR NANDA",Independent,"AMBALA CITY",HARYANA,137
"CHAND KALYAN",Independent,KAITHAL,HARYANA,135
"MAN SINGH BAPDA","Peoples Party of India (Democratic)",LADWA,HARYANA,133
"RAMESH KUMAR CHAUDHARY",Independent,"PANIPAT CITY",HARYANA,133
"ANIL MAHLA",Independent,HISAR,HARYANA,132
"JALKARAN BALHARA",Independent,MEHAM,HARYANA,132
"RANBIR SINGH",Independent,MEHAM,HARYANA,132
"DILBAG BHANA",Independent,PUNDRI,HARYANA,131
"RAMESH KUMAR",Independent,"BAWANI KHERA",HARYANA,131
"SIMARJEET SINGH",Independent,FATEHABAD,HARYANA,130
RAMAN,Independent,FATEHABAD,HARYANA,129
RANJOT,Independent,"FARIDABAD NIT",HARYANA,129
"BALJIT SINGH",Independent,ASSANDH,HARYANA,128
"MASTER KULDEEP REDHU",Independent,"PANIPAT RURAL",HARYANA,128
"RAVITA SATBIR RATERA",Independent,"BAWANI KHERA",HARYANA,128
"COMRADE RAMESH KHATKAR",Independent,"UCHANA KALAN",HARYANA,127
"SUNITA BATTAN",Independent,PUNDRI,HARYANA,125
"SATENDER SINGH",Independent,DADRI,HARYANA,125
"SACHIN KUMAR",Independent,"AMBALA CITY",HARYANA,124
PARDEEP,Independent,ASSANDH,HARYANA,124
"ANIL KUMAR S/O CHARANJIT LAL",Independent,HISAR,HARYANA,124
"AMIT KUMAR",Independent,BADLI,HARYANA,124
GIRRAJ,Independent,PALWAL,HARYANA,124
"OM PARKASH","Peoples Party of India (Democratic)",KALANAUR,HARYANA,119
PREM,Independent,JULANA,HARYANA,117
"DR. KAMLESH KUMAR SAINI",Independent,SONIPAT,HARYANA,116
"RAJBIR S/O MOOLA RAM",Independent,LOHARU,HARYANA,115
VINOD,Independent,KALANAUR,HARYANA,115
"GURDEV SINGH",Independent,JAGADHRI,HARYANA,114
KITABA,Independent,NARWANA,HARYANA,114
"TEJ PRAKASH","Bhartiya Shakti Chetna Party",NARNAUL,HARYANA,114
"SANDEEP KUMAR",Independent,NARNAUND,HARYANA,113
"AABID KHAN",Independent,BADKHAL,HARYANA,113
"RAM PARTAP GAUR","Rashtriya Lokswaraj Party","FARIDABAD NIT",HARYANA,112
"KISHAN SINGH NEGI","Right to Recall Party",PANCHKULA,HARYANA,110
"KARTAR SINGH",Independent,"NANGAL CHAUDHRY",HARYANA,110
MANJEET,Independent,DADRI,HARYANA,109
"KULVEER SHAANT INSAN","Peoples Party of India (Democratic)",DABWALI,HARYANA,108
"KULDEEP SINGH","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",PEHOWA,HARYANA,107
SUYAG,Independent,SAFIDON,HARYANA,107
"DR. LEKHRAM MEHRA","Loktanter Suraksha Party",BAWAL,HARYANA,107
"JAI PRAKASH",Independent,NALWA,HARYANA,106
"SUSHIL KUMAR MANAV","Yuga Thulasi Party",SONIPAT,HARYANA,104
"KASHMIRI LAL GROVER",Independent,HANSI,HARYANA,103
"SANT DHARAMVEER CHOTIVALA","Yuga Thulasi Party",RAI,HARYANA,102
"DANA RAM","Bhartiya Shakti Chetna Party",DABWALI,HARYANA,101
"SUNIL VERMA",Independent,"AMBALA CANTT.",HARYANA,100
RAJKUMAR,Independent,LADWA,HARYANA,100
"ENGINEER SURESH KUMAR","Peoples Party of India (Democratic)",PUNDRI,HARYANA,100
"RITESH SANGWAN SANGU",Independent,JIND,HARYANA,100
YASHVEER,Independent,HODAL,HARYANA,100
"NEERU BALA SAINI",Independent,KARNAL,HARYANA,98
"VED PARKASH",Independent,JIND,HARYANA,98
"VIKRAM SHARMA","Rashtrawadi Janlok Party (Satya)",DADRI,HARYANA,98
"BISHAMBER KUMAR",Independent,ROHTAK,HARYANA,98
"LALIT WALIA",Independent,"AMBALA CITY",HARYANA,97
"MAHABIR BOHRA",Independent,BHIWANI,HARYANA,97
VIKASH,Independent,BADHRA,HARYANA,96
"RAJENDER SINGH",Independent,NALWA,HARYANA,95
"SATBIR SINGH","Akhil Bharatiya Socialist Party",PALWAL,HARYANA,95
"RAKESH KUMAR","Right to Recall Party",SAFIDON,HARYANA,94
KRISHAN,"Peoples Party of India (Democratic)",MEHAM,HARYANA,94
"PARVEEN KUMAR",Independent,BAHADURGARH,HARYANA,94
RAJBIR,Independent,GOHANA,HARYANA,93
"ANKIT KUMAR",Independent,DABWALI,HARYANA,93
"MANJU DHANAK","Aam Aadmi Parivartan Party","BAWANI KHERA",HARYANA,93
MEHAR,Independent,THANESAR,HARYANA,92
"ARJUN DASS",Independent,RANIA,HARYANA,92
"RANDHIR SINGH GOLLEN",Independent,PUNDRI,HARYANA,90
"COACH JASVIR SINGH AHLAWAT",Independent,JULANA,HARYANA,90
"ANAND KUMAR",Independent,BHIWANI,HARYANA,89
"JITENDER SINGH SHEORAIN",Independent,BADHRA,HARYANA,88
"BALWAN SINGH",Independent,TOSHAM,HARYANA,88
"ARTI RAO",Independent,KOSLI,HARYANA,88
"RAJIV KUMAR",Independent,NILOKHERI,HARYANA,87
DIPTI,Independent,"PANIPAT RURAL",HARYANA,87
"BHARAT BHUSHAN",Independent,ROHTAK,HARYANA,87
"RAO JITENDER KUMAR",Independent,REWARI,HARYANA,86
"BHATERI DEVI","Rashtriya Mazdoor Ekta Party","PANIPAT CITY",HARYANA,84
"ANKUR KAUSHIK",Independent,GANAUR,HARYANA,84
JOGENDER,Independent,BHIWANI,HARYANA,84
"ANKIT KUMAR",Independent,JIND,HARYANA,83
"OM PARKASH",Independent,SIRSA,HARYANA,83
"SUMIT BLODA",Independent,BARWALA,HARYANA,82
RAJAL,Independent,JHAJJAR,HARYANA,82
"AMAR SINGH BALMIKI","Rashtra Nirman Party",KHARKHAUDA,HARYANA,81
"SAJJAN BHARDWAJ",Independent,LOHARU,HARYANA,81
"ARUN GOYAL",Independent,BAHADURGARH,HARYANA,81
"VIRENDER SINGH BILU",Independent,BADLI,HARYANA,81
"RAM PARKASH TAYAL",Independent,JIND,HARYANA,80
"TEJPAL YADAV KOSLI","Buland Bharat Party",KOSLI,HARYANA,80
"RADHEY SHYAM","Peoples Party of India (Democratic)",KHARKHAUDA,HARYANA,78
RAMPAL,"Bahujan Janata Dal (Khodawal)",PALWAL,HARYANA,78
"AMIT SHARMA",Independent,JULANA,HARYANA,76
SANJAY,Independent,"GARHI SAMPLA",HARYANA,76
SADHNA,Independent,ATELI,HARYANA,76
"MANDEEP KUMAR",Independent,FATEHABAD,HARYANA,75
"SANDEEP KUMAR",Independent,RAI,HARYANA,74
"SUBHASH SAINI",Independent,SAFIDON,HARYANA,74
"GURMAIL SINGH",Independent,"UCHANA KALAN",HARYANA,73
VEERBHAN,"Aam Aadmi Parivartan Party",HANSI,HARYANA,72
"AMIT HOODA",Independent,"GARHI SAMPLA",HARYANA,72
"ASHOK KUMAR",Independent,THANESAR,HARYANA,71
"VIDY NAND",Independent,BADHRA,HARYANA,71
"PUSHKAR RAJ GUPTA",Independent,MAHENDRAGARH,HARYANA,71
"SOHAN LAL SHARMA",Independent,GURGAON,HARYANA,71
"PAWAN SANATANI","Rashtriya Jatigat Aarakshan Virodhi Party",SONIPAT,HARYANA,70
"DHARAMPAL SHERE GILL",Independent,TOHANA,HARYANA,70
"SUNIL KUMAR",Independent,DADRI,HARYANA,70
"SATISH KUMAR","Rashtriya Garib Dal",LADWA,HARYANA,69
RAMRATTAN,Independent,JULANA,HARYANA,69
NAVIN,Independent,HANSI,HARYANA,69
"RAJBIR S/O BEGRAJ",Independent,LOHARU,HARYANA,69
"DINESH KUMAR",Independent,BADHRA,HARYANA,69
KARAMJEET,Independent,KOSLI,HARYANA,68
"GOPAL DUTT","Samata Party",PALWAL,HARYANA,68
"NIKHIL KUMAR",Independent,TOHANA,HARYANA,67
"TAHIR HUSAIN",Independent,FATEHABAD,HARYANA,67
NEERAJ,Independent,MEHAM,HARYANA,67
"SATBIR CHUMBAK ADVOCATE",Independent,JHAJJAR,HARYANA,67
"INDER SINGH",Independent,BAWAL,HARYANA,67
"JAWAHAR LAL","Nehru Janhit Congress",GURGAON,HARYANA,67
"BIJENDER KUMAR",Independent,RAI,HARYANA,66
CHESTA,Independent,BAHADURGARH,HARYANA,66
"MONU LOHAN",Independent,SAFIDON,HARYANA,65
"DEEPAK KUMAR","Rashtriya Garib Dal",NILOKHERI,HARYANA,64
MAHENDER,Independent,HISAR,HARYANA,64
KRISHAN,Independent,MEHAM,HARYANA,64
"ADVOCATE PARDEEP SAINI","Rashtriya Garib Dal",KARNAL,HARYANA,63
RAJNI,Independent,HODAL,HARYANA,63
VIKAS,Independent,JIND,HARYANA,62
"DINESH KUMAR SAINI",Independent,HISAR,HARYANA,62
"JAGAT SINGH",Independent,BHIWANI,HARYANA,62
"MUKESH TAPSI","Rashtriya Majdoor Vikas Party",RAI,HARYANA,60
"RAJESH KUMAR",Independent,RAI,HARYANA,60
"DHARAMBIR FOJI",Independent,SONIPAT,HARYANA,60
VIKAS,"Rashtrawadi Janlok Party (Satya)","BAWANI KHERA",HARYANA,60
"VIJENDER SINGH","Rashtrawadi Janlok Party (Satya)",TOSHAM,HARYANA,59
"BHARAT BHUSHAN GURJAR","Bhartiya Veer Dal",PANCHKULA,HARYANA,58
"MANISHA MOKHRA","Socialist Unity Centre Of India (COMMUNIST)",ROHTAK,HARYANA,58
"PARMOD BASWANA",Independent,ADAMPUR,HARYANA,57
"PANKAJ TAYAL",Independent,BHIWANI,HARYANA,57
RANBIR,"Nationalist Congress Party",KALANAUR,HARYANA,56
VIKAS,"Right to Recall Party",NARNAUL,HARYANA,56
"ANIL KUMAR",Independent,KOSLI,HARYANA,56
"HARDEEP SINGH","Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",KARNAL,HARYANA,55
DHARMENDER,Independent,KARNAL,HARYANA,55
"SURESH CHAND",Independent,JIND,HARYANA,55
"NAVAL SINGH","Right to Recall Party",KOSLI,HARYANA,55
"KULDEEP KUMAR",Independent,HODAL,HARYANA,55
"OMDUTT YADAV",Independent,REWARI,HARYANA,54
"YASH DEV GOYAL",Independent,KARNAL,HARYANA,53
"ANIL KUMAR",Independent,NALWA,HARYANA,53
"DAYA KRISHAN",Independent,MEHAM,HARYANA,52
"CHANDER PARKASH S/O RAJA RAM",Independent,ADAMPUR,HARYANA,51
SABHARAM,Independent,NARNAUL,HARYANA,51
"RAJESH SHEORAN","Bhartiya Kisan Party",GURGAON,HARYANA,51
"ANIL KUMAR",Independent,TOSHAM,HARYANA,49
"SUBHASH SAINI","Bhartiya Sarvodaya Party",LADWA,HARYANA,48
"JOGI SUNIL","Rashtriya Garib Dal",JULANA,HARYANA,47
SUNIL,"Haryana Lokhit Party",HISAR,HARYANA,47
"ANIL KUMAR",Independent,DADRI,HARYANA,47
INDERJEET,Independent,JULANA,HARYANA,46
ARCHANA,Independent,DADRI,HARYANA,46
"NARENDER KUMAR",Independent,MAHENDRAGARH,HARYANA,45
"PARVEEN KUMAR",Independent,LADWA,HARYANA,43
POONAM,Independent,BADLI,HARYANA,43
"AKSHAT GAIT",Independent,GURGAON,HARYANA,42
"CHITAR SINGH",Independent,BADHRA,HARYANA,41
"BHAGIRATH DABLA BOHTWAS","Bhartiya Janraj Party",KOSLI,HARYANA,41
"BALJEET SINGH","Bhartiya Kisan Party",ADAMPUR,HARYANA,40
"AJAY SAINI",Independent,HISAR,HARYANA,40
"KRISHAN KUMAR",Independent,LOHARU,HARYANA,39
"PANCH LAL PRASAD","Bharat Jan Jagran Dal",PALWAL,HARYANA,39
"ASHWANI MALIK",Independent,ROHTAK,HARYANA,38
"RAJBIR S/O BHARAT SINGH",Independent,LOHARU,HARYANA,35
"RAJ KUMAR","Rashtravadi Bharat Party",NALWA,HARYANA,34
HEMANT,Independent,DADRI,HARYANA,34
YASHPAL,Independent,ROHTAK,HARYANA,32
"SUSHIL KUMAR",Independent,SAFIDON,HARYANA,31
"AJAY CHAUDHARY",Independent,NARNAUND,HARYANA,31
INDERJEET,Independent,KOSLI,HARYANA,31
"ANAND KUMAR",Independent,ROHTAK,HARYANA,30
AMIT,Independent,ADAMPUR,HARYANA,29
"RAMSHARAN PHOGAT",Independent,DADRI,HARYANA,29
SANJAY,Independent,JHAJJAR,HARYANA,29
"NAVDEEP SINGH  RAMAN",Independent,ROHTAK,HARYANA,27
"JAIBIR ALIAS JAI VIR",Independent,NARNAUND,HARYANA,26
"JAI PARKASH",Independent,HANSI,HARYANA,23
"ATAM PARKASH",Independent,NALWA,HARYANA,23
"BHAI SATISH MASUDPUR","Aam Aadmi Parivartan Party",NARNAUND,HARYANA,22
"JAIBIR S/O CHANDER BHAN",Independent,NARNAUND,HARYANA,19
"SURENDER KUMAR",Independent,ROHTAK,HARYANA,18
ASHOK,Independent,BADHRA,HARYANA,17
